gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
KCNMA1,,,,no,2.849,3.362,32628,39284,0.239,ENSG00000156113,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)",Cell membrane,type B pancreatic cell;Kupffer cell;bipolar neuron;retinal bipolar neuron,
KCNMB1,,,,no,0.241,0.498,2765,5817,1.044,ENSG00000145936,"Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)",Membrane,microglial cell;mature microglial cell;smooth muscle cell;enteric smooth muscle cell;uterine smooth muscle cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;Langerhans cell,
KCNN3,,,,no,0.134,0.203,1532,2367,0.599,ENSG00000143603,Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3),Membrane,interstitial cell of Cajal;vasa recta descending limb cell;astrocyte,
KCNN4,,,,no,0.204,0.517,2341,6042,1.339,ENSG00000104783,Intermediate conductance calcium-activated potassium channel protein 4 (SK4) (SKCa 4) (SKCa4) (IKCa1) (IK1) (KCa3.1) (KCa4) (Putative Gardos channel),Cell membrane,placental villous trophoblast;syncytiotrophoblast cell,
KCNQ2,,,,no,0.058,0.027,664,318,-1.091,ENSG00000075043,Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2),Cell membrane,glioblast;Schwann cell precursor,
KCNQ4,,,,no,0.427,0.819,4893,9571,0.939,ENSG00000117013,Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4),Basal cell membrane,brush cell,
KCNS1,,,,no,0.057,0.021,655,244,-1.454,ENSG00000124134,Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1),Cell membrane,,
KCNV1,,,,no,0.197,0.129,2258,1510,-0.609,ENSG00000164794,Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1),Cell membrane,,
NEDD4L,,,,no,6.216,5.657,71195,66100,-0.136,ENSG00000049759,E3 ubiquitin-protein ligase NEDD4-like,Cytoplasm,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;luminal cell of prostate epithelium;retinal pigment epithelial cell;papillary tips cell;lung secretory cell,
RNASE3,,,,no,0.107,0.057,1230,666,-0.914,ENSG00000169397,Eosinophil cationic protein (ECP),Secreted,bone marrow cell;granulocyte monocyte progenitor cell;immature neutrophil;promyelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,
SCNN1A,,,,no,6.872,8.356,78699,97638,0.282,ENSG00000111319,Amiloride-sensitive sodium channel subunit alpha (Alpha-NaCH) (Epithelial Na(+) channel subunit alpha) (Alpha-ENaC) (ENaCA) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA),Apical cell membrane,pulmonary ionocyte;small intestine goblet cell;ionocyte;serous cell of epithelium of trachea,
SCNN1G,,,,no,1.926,1.703,22063,19902,-0.178,ENSG00000166828,Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG),Apical cell membrane,duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;basal epithelial cell of prostatic duct;renal principal cell;pulmonary ionocyte;lung goblet cell;taste receptor cell;epithelial cell of prostate;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;ionocyte;kidney collecting duct cell,
SGK1,,,,no,23.268,16.704,266482,195180,-0.478,ENSG00000118515,Serine/threonine-protein kinase Sgk1,Cytoplasm;Nucleus;Endoplasmic reticulum membrane;Cell membrane;Mitochondrion,pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;glomerular capillary endothelial cell;mesothelial cell of pleura;fenestrated cell;glomerular endothelial cell;hematopoietic cell;liver dendritic cell;myeloid leukocyte,
SRI,,,,no,10.882,10.796,124628,126154,-0.011,ENSG00000075142,Sorcin (22 kDa protein) (CP-22) (CP22) (V19),Cytoplasm;Sarcoplasmic reticulum membrane,paneth cell of colon;microfold cell of epithelium of small intestine;extravillous trophoblast;professional antigen presenting cell;dendritic cell;transit amplifying cell of colon,
TPCN1,,,,no,7.817,9.016,89527,105349,0.206,ENSG00000186815,Two pore channel protein 1 (Two pore calcium channel protein 1) (Voltage-dependent calcium channel protein TPC1),Lysosome membrane,papillary tips cell,
TRPA1,,,,no,0.067,0.013,765,156,-2.323,ENSG00000104321,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),Cell membrane,,
TRPC1,,,,no,0.539,0.535,6173,6251,-0.011,ENSG00000144935,Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1),Membrane,,
TRPC3,,,,no,0.071,0.05,813,587,-0.499,ENSG00000138741,Short transient receptor potential channel 3 (TrpC3) (Transient receptor protein 3) (TRP-3) (hTrp-3) (hTrp3),Cell membrane,neuronal brush cell;pericyte;mural cell,
TRPC4,,,,no,0.536,0.65,6140,7595,0.278,ENSG00000133107,Short transient receptor potential channel 4 (TrpC4) (Trp-related protein 4) (hTrp-4) (hTrp4),Membrane,smooth muscle cell of prostate;alveolar type 2 fibroblast cell;skin fibroblast;renal interstitial pericyte;kidney interstitial cell,
TRPC5,,,,no,0.045,0.021,511,248,-1.072,ENSG00000072315,Short transient receptor potential channel 5 (TrpC5) (Transient receptor protein 5) (TRP-5) (hTRP-5) (hTRP5),Cell membrane,,
TRPC6,,,,no,0.289,0.364,3313,4249,0.33,ENSG00000137672,Short transient receptor potential channel 6 (TrpC6) (Transient receptor protein 6) (TRP-6),Cell membrane,alveolar type 2 fibroblast cell,
TRPC7,,,,no,0.034,,393,0,,ENSG00000069018,Short transient receptor potential channel 7 (TrpC7) (Transient receptor protein 7) (TRP-7) (hTRP7),Cell membrane,ganglion interneuron,
TRPM1,,,,no,0.025,,287,0,,ENSG00000134160,Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1),Cell membrane,pigmented epithelial cell;pigmented ciliary epithelial cell;retinal pigment epithelial cell;melanocyte;melanocyte of skin;neuron;interneuron;bipolar neuron;retinal bipolar neuron;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,
TRPM2,,,,no,0.647,1.184,7407,13834,0.872,ENSG00000142185,Transient receptor potential cation channel subfamily M member 2 (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7) (Transient receptor potential melastatin 2),Cell membrane,mature microglial cell;immature innate lymphoid cell,
TRPM3,,,,no,0.263,0.105,3010,1229,-1.321,ENSG00000083067,Transient receptor potential cation channel subfamily M member 3 (Long transient receptor potential channel 3) (LTrpC-3) (LTrpC3) (Melastatin-2) (MLSN2),Cell membrane,ependymal cell;choroid plexus epithelial cell;pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;retinal pigment epithelial cell;smooth muscle cell of sphincter of pupil;astrocyte;Bergmann glial cell;ganglion interneuron;cerebellar granule cell;neuronal brush cell,
TRPM4,,,,no,4.431,5.79,50751,67658,0.386,ENSG00000130529,Transient receptor potential cation channel subfamily M member 4 (hTRPM4) (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (Melastatin-4),Cell membrane,,
TRPM6,,,,no,0.376,0.326,4305,3812,-0.204,ENSG00000119121,Transient receptor potential cation channel subfamily M member 6,Cell membrane,kidney distal convoluted tubule epithelial cell,
TRPM7,,,,no,9.065,8.254,103826,96445,-0.135,ENSG00000092439,Transient receptor potential cation channel subfamily M member 7,Membrane,kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;ciliary muscle cell,
TRPM8,,,,no,0.109,0.059,1249,692,-0.881,ENSG00000144481,Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8),Cell membrane,epithelial cell of prostate;luminal cell of prostate epithelium,
TRPV1,,,,no,1.559,2.388,17853,27906,0.616,ENSG00000196689,Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1),Postsynaptic cell membrane,,
TRPV4,,,,no,0.738,1.477,8448,17260,1.002,ENSG00000111199,Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Transient receptor potential protein 12) (TRP12) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) (VRL-2) (Vanilloid receptor-related osmotically-activated channel) (VR-OAC),Cell membrane,,
TRPV6,,,,no,10.835,9.779,124087,114264,-0.148,ENSG00000165125,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (CaT-like) (CaT-L) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),Cell membrane,pancreatic ductal cell,
UBD,,,,no,5.531,5.671,63351,66269,0.036,ENSG00000213886,Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10),Nucleus,lung goblet cell;medullary thymic epithelial cell;follicular dendritic cell,
WWP1,,,,no,14.901,13.979,170664,163345,-0.092,ENSG00000123124,NEDD4-like E3 ubiquitin-protein ligase WWP1,Cytoplasm,,
