gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
KCNK4,0.026,0.01,,,Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (Two pore K(+) channel KT4.1),,,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Neuronal System R-HSA-112316;Phase 4 - Resting Membrane Potential R-HSA-5576886;Potassium Channels R-HSA-1296071;Tandem Pore Domain Potassium Channels R-HSA-1296346
KCNK6,1.547,2.061,,,Potassium channel subfamily K member 6 (Inward rectifying potassium channel protein TWIK-2) (TWIK-originated similarity sequence),,,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Neuronal System R-HSA-112316;Phase 4 - Resting Membrane Potential R-HSA-5576886;Potassium Channels R-HSA-1296071;Tandem Pore Domain Potassium Channels R-HSA-1296346
KCNK9,0.06,0.028,,,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2),,Aldosterone synthesis and secretion,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Neuronal System R-HSA-112316;Phase 4 - Resting Membrane Potential R-HSA-5576886;Potassium Channels R-HSA-1296071;Tandem Pore Domain Potassium Channels R-HSA-1296346
KCNN3,0.134,0.203,interstitial cell of Cajal;vasa recta descending limb cell;astrocyte,,Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3),,GnRH secretion;Insulin secretion,Ca2+ Activated K+ Channels R-HSA-1296052;Neuronal System R-HSA-112316;Potassium Channels R-HSA-1296071
KCNQ4,0.427,0.819,brush cell,,Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4),,Cholinergic synapse,Neuronal System R-HSA-112316;Potassium Channels R-HSA-1296071;Sensory Perception R-HSA-9709957;Sensory Processing Of Sound R-HSA-9659379;Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360;Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361;Voltage Gated Potassium Channels R-HSA-1296072
KCNRG,0.16,0.074,,,Potassium channel regulatory protein (Potassium channel regulator) (Protein CLLD4),,,
KCNS1,0.057,0.021,,,Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1),,,Neuronal System R-HSA-112316;Potassium Channels R-HSA-1296071;Voltage Gated Potassium Channels R-HSA-1296072
KCNT1,0.103,0.084,,,Potassium channel subfamily T member 1 (KCa4.1),,,
KCNU1,0.025,,,,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)",,Insulin secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Fertilization R-HSA-1187000;Reproduction R-HSA-1474165;Sperm Motility And Taxes R-HSA-1300642
KCNV1,0.197,0.129,,,Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1),,,Neuronal System R-HSA-112316;Potassium Channels R-HSA-1296071;Voltage Gated Potassium Channels R-HSA-1296072
KCTD10,4.488,3.858,,,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10),,,
KCTD11,1.08,0.96,,,BTB/POZ domain-containing protein KCTD11 (KCASH1 protein) (Potassium channel tetramerization domain-containing protein 11) (RING-type E3 ubiquitin transferase subunit KCTD11),,,Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736
KCTD20,4.54,3.555,,,BTB/POZ domain-containing protein KCTD20 (Potassium channel tetramerization domain containing 20),,,
KCTD5,4.39,4.554,,,BTB/POZ domain-containing protein KCTD5,,,
KCTD9,4.525,4.256,,,BTB/POZ domain-containing protein KCTD9,,,
KDM1A,13.265,13.571,brush cell of bronchus,,Lysine-specific histone demethylase 1A,,Thermogenesis,"Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886;Chromatin Modifying Enzymes R-HSA-3247509;Disease R-HSA-1643685;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;HDACs Deacetylate Histones R-HSA-3214815;HDMs Demethylate Histones R-HSA-3214842;Hemostasis R-HSA-109582;Infectious Disease R-HSA-5663205;Intracellular Signaling By Second Messengers R-HSA-9006925;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Potential Therapeutics For SARS R-HSA-9679191;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate PKNs R-HSA-5625740;Regulation Of PTEN Gene Transcription R-HSA-8943724;SARS-CoV Infections R-HSA-9679506;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
KDM3A,5.26,6.763,,,Lysine-specific demethylase 3A,Hypoxia,Thermogenesis,Chromatin Modifying Enzymes R-HSA-3247509;HDMs Demethylate Histones R-HSA-3214842;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931
KDM4A,6.018,7.838,,,Lysine-specific demethylase 4A,,,Chromatin Modifying Enzymes R-HSA-3247509;DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;HDMs Demethylate Histones R-HSA-3214842;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569;Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931
KDM5B,5.092,5.741,,,Lysine-specific demethylase 5B,,,Chromatin Modifying Enzymes R-HSA-3247509;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HDMs Demethylate Histones R-HSA-3214842;RNA Polymerase II Transcription R-HSA-73857;TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911;Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260
KDM6A,2.547,2.072,enucleate erythrocyte,,Lysine-specific demethylase 6A,,Transcriptional misregulation in cancer,Activation Of HOX Genes During Differentiation R-HSA-5619507;Chromatin Modifying Enzymes R-HSA-3247509;Developmental Biology R-HSA-1266738;HDMs Demethylate Histones R-HSA-3214842
KDM8,3.022,2.727,,,Bifunctional peptidase and arginyl-hydroxylase JMJD5,,,
KEAP1,2.979,3.7,,,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),,Fluid shear stress and atherosclerosis;Hepatocellular carcinoma;Pathways in cancer;Ubiquitin mediated proteolysis,Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Deubiquitination R-HSA-5688426;Disease R-HSA-1643685;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;KEAP1-NFE2L2 Pathway R-HSA-9755511;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;Post-translational Protein Modification R-HSA-597592;Potential Therapeutics For SARS R-HSA-9679191;SARS-CoV Infections R-HSA-9679506;Ub-specific Processing Proteases R-HSA-5689880
KEL,0.143,0.146,erythrocyte;erythroid lineage cell;erythroblast,,Kell blood group glycoprotein,heme Metabolism,,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
KHSRP,10.685,11.157,,,Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75),Unfolded Protein Response,,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604;Metabolism Of RNA R-HSA-8953854;PERK Regulates Gene Expression R-HSA-381042;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;Unfolded Protein Response (UPR) R-HSA-381119
KIAA1191,13.732,10.609,,,Putative monooxygenase p33MONOX,,,
KIAA2013,5.596,5.086,,,Uncharacterized protein KIAA2013,,,
KIF1A,7.171,9.281,endocrine cell;Cajal-Retzius cell;retinal ganglion cell,,Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104),,,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Golgi-to-ER Retrograde Transport R-HSA-8856688;Hemostasis R-HSA-109582;Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Kinesins R-HSA-983189;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656
KIF2A,7.998,7.198,platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;retinal cone cell,,Kinesin-like protein KIF2A (Kinesin-2) (hK2),Complement;Glycolysis,,"Adaptive Immune System R-HSA-1280218;Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444;COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Golgi-to-ER Retrograde Transport R-HSA-8856688;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Kinesins R-HSA-983189;M Phase R-HSA-68886;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Spindle Checkpoint R-HSA-69618;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate Formins R-HSA-5663220;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;Separation Of Sister Chromatids R-HSA-2467813;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Vesicle-mediated Transport R-HSA-5653656"
KIF2C,0.262,0.2,,,Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin) (MCAK),Mitotic Spindle;G2-M Checkpoint;E2F Targets;Spermatogenesis,,"Adaptive Immune System R-HSA-1280218;Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444;COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Golgi-to-ER Retrograde Transport R-HSA-8856688;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Kinesins R-HSA-983189;M Phase R-HSA-68886;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Spindle Checkpoint R-HSA-69618;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate Formins R-HSA-5663220;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;Separation Of Sister Chromatids R-HSA-2467813;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Vesicle-mediated Transport R-HSA-5653656"
KIF5B,21.827,17.651,brush cell of trachea;brush cell of bronchus;salivary gland cell,,Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC),Mitotic Spindle;G2-M Checkpoint;Unfolded Protein Response,Alzheimer disease;Amyotrophic lateral sclerosis;Dopaminergic synapse;Endocytosis;Huntington disease;Non-small cell lung cancer;Parkinson disease;Pathways of neurodegeneration;Prion disease;Salmonella infection,"Adaptive Immune System R-HSA-1280218;COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Golgi-to-ER Retrograde Transport R-HSA-8856688;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Insulin Processing R-HSA-264876;Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Kinesins R-HSA-983189;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371;Peptide Hormone Metabolism R-HSA-2980736;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate KTN1 R-HSA-5625970;Signal Transduction R-HSA-162582;Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Vesicle-mediated Transport R-HSA-5653656"
KISS1R,0.048,0.029,,KISS1,KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor),,GnRH secretion;Neuroactive ligand-receptor interaction,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
KLF14,0.132,0.088,,,Krueppel-like factor 14 (Basic transcription element-binding protein 5) (BTE-binding protein 5) (Transcription factor BTEB5),,,
KLF16,4.59,3.881,,,Krueppel-like factor 16 (Basic transcription element-binding protein 4) (BTE-binding protein 4) (Novel Sp1-like zinc finger transcription factor 2) (Transcription factor BTEB4) (Transcription factor NSLP2),,,
KLF17,0.04,0.016,,,Krueppel-like factor 17 (Zinc finger protein 393),,,
KLHDC2,12.912,14.176,,,Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1),,,
KLHL24,5.459,6.263,,,Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1),Hypoxia,,
KLHL26,1.446,1.391,,,Kelch-like protein 26,,,
KLHL8,4.06,3.823,kidney collecting duct principal cell;renal principal cell;Mueller cell,,Kelch-like protein 8,,,
KLK10,0.042,0.031,,,Kallikrein-10,Estrogen Response Early;Estrogen Response Late,,
KLK15,0.064,0.039,,,Kallikrein-15,,,
KMT2A,10.36,11.145,common lymphoid progenitor,,Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A),,Cushing syndrome;Lysine degradation;Transcriptional misregulation in cancer,Chromatin Modifying Enzymes R-HSA-3247509;Developmental Biology R-HSA-1266738;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;PKMTs Methylate Histone Lysines R-HSA-3214841;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236;Transcriptional Regulation By RUNX1 R-HSA-8878171;Transcriptional Regulation Of Granulopoiesis R-HSA-9616222
KMT2D,9.214,10.829,,,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D),KRAS Signaling Dn,Cushing syndrome;Lysine degradation,Activation Of HOX Genes During Differentiation R-HSA-5619507;Chromatin Modifying Enzymes R-HSA-3247509;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Developmental Biology R-HSA-1266738;Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;PKMTs Methylate Histone Lysines R-HSA-3214841;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Transcriptional Regulation By RUNX1 R-HSA-8878171
KNDC1,0.183,0.118,,,Kinase non-catalytic C-lobe domain-containing protein 1 (KIND domain-containing protein 1) (Cerebral protein 9) (Protein very KIND) (v-KIND) (Ras-GEF domain-containing family member 2),,,
KNSTRN,1.506,1.604,,,Small kinetochore-associated protein (SKAP) (Kinetochore-localized astrin-binding protein) (Kinastrin) (Kinetochore-localized astrin/SPAG5-binding protein) (TRAF4-associated factor 1),,,
KPNA1,5.048,5.114,,,Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta),,Chemical carcinogenesis;Influenza A;Salmonella infection,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410;Apoptosis R-HSA-109581;Apoptosis Induced DNA Fragmentation R-HSA-140342;Apoptotic Execution Phase R-HSA-75153;Assembly Of ORC Complex At Origin Of Replication R-HSA-68616;Assembly Of Pre-Replicative Complex R-HSA-68867;Cytokine Signaling In Immune System R-HSA-1280215;DNA Replication Pre-Initiation R-HSA-69002;DNA Replication R-HSA-69306;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Host Interactions Of HIV Factors R-HSA-162909;ISG15 Antiviral Mechanism R-HSA-1169408;Immune System R-HSA-168256;Infection With Mycobacterium Tuberculosis R-HSA-9635486;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Integration Of Provirus R-HSA-162592;Interactions Of Vpr With Host Cellular Proteins R-HSA-176033;Interferon Signaling R-HSA-913531;Interferon Alpha/Beta Signaling R-HSA-909733;NS1 Mediated Effects On Host Pathways R-HSA-168276;Programmed Cell Death R-HSA-5357801;Response Of Mtb To Phagocytosis R-HSA-9637690;Suppression Of Phagosomal Maturation R-HSA-9637687;Transport Of Ribonucleoproteins Into Host Nucleus R-HSA-168271;Vpr-mediated Nuclear Import Of PICs R-HSA-180910
KPNA2,5.672,4.775,,,Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha),G2-M Checkpoint;E2F Targets;Myc Targets V1,Chemical carcinogenesis;Influenza A,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755;Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410;CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729;Ca-dependent Events R-HSA-111996;CaM Pathway R-HSA-111997;CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932;Cytokine Signaling In Immune System R-HSA-1280215;DAG And IP3 Signaling R-HSA-1489509;DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;G Alpha (I) Signaling Events R-HSA-418594;G-protein Mediated Events R-HSA-112040;GPCR Downstream Signaling R-HSA-388396;ISG15 Antiviral Mechanism R-HSA-1169408;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Interferon Signaling R-HSA-913531;Intracellular Signaling By Second Messengers R-HSA-9006925;NS1 Mediated Effects On Host Pathways R-HSA-168276;Neuronal System R-HSA-112316;Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314;Opioid Signaling R-HSA-111885;PLC Beta Mediated Events R-HSA-112043;Post NMDA Receptor Activation Events R-HSA-438064;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671;SARS-CoV-2-host Interactions R-HSA-9705683;Sensing Of DNA Double Strand Breaks R-HSA-5693548;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By Nuclear Receptors R-HSA-9006931;Transmission Across Chemical Synapses R-HSA-112315
KPNA3,6.884,5.879,,,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),,Chemical carcinogenesis;Salmonella infection,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410;Cytokine Signaling In Immune System R-HSA-1280215;Disease R-HSA-1643685;ISG15 Antiviral Mechanism R-HSA-1169408;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Interferon Signaling R-HSA-913531;NS1 Mediated Effects On Host Pathways R-HSA-168276
KPNA6,10.818,11.826,,,Importin subunit alpha-7 (Karyopherin subunit alpha-6),,Chemical carcinogenesis;Influenza A,Assembly Of ORC Complex At Origin Of Replication R-HSA-68616;Assembly Of Pre-Replicative Complex R-HSA-68867;DNA Replication Pre-Initiation R-HSA-69002;DNA Replication R-HSA-69306
KPRP,0.013,,,,Keratinocyte proline-rich protein (hKPRP),,,
KRAS,7.627,4.406,,,GTPase KRas,,"AGE-RAGE signaling pathway in diabetic complications;Acute myeloid leukemia;Alcoholism;Aldosterone-regulated sodium reabsorption;Alzheimer disease;Apelin signaling pathway;Apoptosis;Autophagy;Axon guidance;B cell receptor signaling pathway;Bladder cancer;Breast cancer;C-type lectin receptor signaling pathway;Cellular senescence;Central carbon metabolism in cancer;Chemical carcinogenesis;Chemokine signaling pathway;Choline metabolism in cancer;Cholinergic synapse;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Estrogen signaling pathway;Fc epsilon RI signaling pathway;FoxO signaling pathway;Gap junction;Gastric cancer;Glioma;GnRH secretion;GnRH signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Hepatitis C;Hepatocellular carcinoma;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;Insulin signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;Long-term depression;Long-term potentiation;Longevity regulating pathway;MAPK signaling pathway;Melanogenesis;Melanoma;MicroRNAs in cancer;Mitophagy;Natural killer cell mediated cytotoxicity;Neurotrophin signaling pathway;Non-small cell lung cancer;Oxytocin signaling pathway;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Pathways in cancer;Pathways of neurodegeneration;Phospholipase D signaling pathway;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Prostate cancer;Proteoglycans in cancer;Rap1 signaling pathway;Ras signaling pathway;Regulation of actin cytoskeleton;Relaxin signaling pathway;Renal cell carcinoma;Serotonergic synapse;Signaling pathways regulating pluripotency of stem cells;Sphingolipid signaling pathway;T cell receptor signaling pathway;Thermogenesis;Thyroid cancer;Thyroid hormone signaling pathway;VEGF signaling pathway;Viral carcinogenesis;mTOR signaling pathway",
L1CAM,0.384,0.38,renal principal cell,CNTN;L1CAM;NCAM,Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171),Hedgehog Signaling,Axon guidance;Cell adhesion molecules,Axon Guidance R-HSA-422475;Basigin Interactions R-HSA-210991;Cell Surface Interactions At Vascular Wall R-HSA-202733;Developmental Biology R-HSA-1266738;Hemostasis R-HSA-109582;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Nervous System Development R-HSA-9675108;Recycling Pathway Of L1 R-HSA-437239;Signal Transduction By L1 R-HSA-445144
LACRT,0.03,,keratocyte,,Extracellular glycoprotein lacritin,,,
LAIR1,1.549,1.948,early lymphoid progenitor;early T lineage precursor,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1 (LAIR-1) (hLAIR1) (CD antigen CD305),,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
LAMP2,15.269,15.904,intrahepatic cholangiocyte;acinar cell of salivary gland;duodenum glandular cell,,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),Protein Secretion;Complement;heme Metabolism;Coagulation,Autophagy;Lysosome;Phagosome;Tuberculosis,"Autophagy R-HSA-9612973;Chaperone Mediated Autophagy R-HSA-9613829;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Degranulation R-HSA-114608;Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005"
LANCL2,2.054,1.858,theca cell,,LanC-like protein 2 (Testis-specific adriamycin sensitivity protein),,,
LARP4,12.798,10.497,,,La-related protein 4 (La ribonucleoprotein domain family member 4),,,
LARP4B,9.835,10.386,,,La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5),,,
LASP1,13.757,14.406,,,LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50),,,
LATS1,7.326,8.209,,,Serine/threonine-protein kinase LATS1,Mitotic Spindle,Hippo signaling pathway,Signal Transduction R-HSA-162582;Signaling By Hippo R-HSA-2028269
LATS2,4.013,3.461,,,Serine/threonine-protein kinase LATS2,Interferon Gamma Response,Hippo signaling pathway,Signal Transduction R-HSA-162582;Signaling By Hippo R-HSA-2028269
