gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ABHD6,2.274,1.57,,,Monoacylglycerol lipase ABHD6,Xenobiotic Metabolism,Retrograde endocannabinoid signaling,"Arachidonate Production From DAG R-HSA-426048;Effects Of PIP2 Hydrolysis R-HSA-114508;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;Hemostasis R-HSA-109582;Platelet Activation, Signaling And Aggregation R-HSA-76002;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790"
ABL1,8.123,7.796,brown preadipocyte,,Tyrosine-protein kinase ABL1,Mitotic Spindle;G2-M Checkpoint,Axon guidance;Cell cycle;Chronic myeloid leukemia;ErbB signaling pathway;MicroRNAs in cancer;Neurotrophin signaling pathway;Pathogenic Escherichia coli infection;Pathways in cancer;Ras signaling pathway;Viral myocarditis,"Axon Guidance R-HSA-422475;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cyclin D Associated Events In G1 R-HSA-69231;DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;FCGR3A-mediated Phagocytosis R-HSA-9664422;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;HDR Thru Single Strand Annealing (SSA) R-HSA-5685938;Hemostasis R-HSA-109582;Homology Directed Repair R-HSA-5693538;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Leishmania Infection R-HSA-9658195;Mitotic G1 Phase And G1/S Transition R-HSA-453279;Myogenesis R-HSA-525793;Nervous System Development R-HSA-9675108;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate WASPs And WAVEs R-HSA-5663213;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236;RUNX2 Regulates Bone Development R-HSA-8941326;RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973;Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Role Of ABL In ROBO-SLIT Signaling R-HSA-428890;Signal Transduction R-HSA-162582;Signaling By ROBO Receptors R-HSA-376176;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Transcriptional Regulation By RUNX1 R-HSA-8878171;Transcriptional Regulation By RUNX2 R-HSA-8878166"
ABL2,5.625,5.663,,,Tyrosine-protein kinase ABL2,,ErbB signaling pathway;Ras signaling pathway;Viral myocarditis,"Axon Guidance R-HSA-422475;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;FLT3 Signaling R-HSA-9607240;Immune System R-HSA-168256;Negative Regulation Of FLT3 R-HSA-9706369;Nervous System Development R-HSA-9675108;RAC1 GTPase Cycle R-HSA-9013149;RAC3 GTPase Cycle R-HSA-9013423;RHO GTPase Cycle R-HSA-9012999;Role Of ABL In ROBO-SLIT Signaling R-HSA-428890;Signal Transduction R-HSA-162582;Signaling By ROBO Receptors R-HSA-376176;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
ABO,1.756,0.203,,,Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase),,Glycosphingolipid biosynthesis,Blood Group Systems Biosynthesis R-HSA-9033658;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387
ACAA2,9.261,7.544,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,,"3-ketoacyl-CoA thiolase, mitochondrial",Adipogenesis;Fatty Acid Metabolism;Oxidative Phosphorylation,"Fatty acid degradation;Fatty acid elongation;Valine, leucine and isoleucine degradation",Fatty Acid Metabolism R-HSA-8978868;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289
ACAP2,3.049,3.485,,,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",,Endocytosis,
ACAT1,7.2,7.078,kidney collecting duct intercalated cell;renal intercalated cell,,"Acetyl-CoA acetyltransferase, mitochondrial",Oxidative Phosphorylation,"Butanoate metabolism;Fat digestion and absorption;Fatty acid degradation;Glyoxylate and dicarboxylate metabolism;Lysine degradation;Propanoate metabolism;Pyruvate metabolism;Synthesis and degradation of ketone bodies;Terpenoid backbone biosynthesis;Tryptophan metabolism;Valine, leucine and isoleucine degradation",
ACOD1,0.023,,,,Cis-aconitate decarboxylase (CAD),,,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320
ACPP,0.373,0.298,,,ACPP protein,,,
ACRBP,0.205,0.207,blood cell;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,,"Acrosin-binding protein (Acrosin-binding protein, 60 kDa form) (Cancer/testis antigen 23) (CT23) (Cancer/testis antigen OY-TES-1) (Proacrosin-binding protein sp32)",Spermatogenesis,,
