gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
HNRNPM,,,,no,30.733,30.859,351978,360584,0.006,ENSG00000099783,Heterogeneous nuclear ribonucleoprotein M (hnRNP M),Nucleus,,
HSPA1L,,,,no,0.331,0.361,3786,4214,0.126,ENSG00000204390,Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 1-Hom) (HSP70-Hom),,,
HSPA2,,,,no,2.694,2.337,30855,27313,-0.205,ENSG00000126803,Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2),Cytoplasm,intestinal crypt stem cell of large intestine;bronchial smooth muscle cell;extravillous trophoblast,
HSPA6,,,,no,0.55,0.961,6304,11226,0.804,ENSG00000173110,Heat shock 70 kDa protein 6 (Heat shock 70 kDa protein B'),,"glomerular capillary endothelial cell;cerebral cortex endothelial cell;double-positive, alpha-beta thymocyte;T-helper 1 cell;immature T cell;thymocyte;double negative thymocyte;early T lineage precursor;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;theca cell",
HSPA8,,,,no,70.479,61.871,807194,722951,-0.188,ENSG00000109971,Heat shock cognate 71 kDa protein,Cytoplasm,"mature conventional dendritic cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",
HSPA9,,,,no,30.042,24.573,344065,287133,-0.29,ENSG00000113013,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",Mitochondrion,,
HSPD1,,,,no,36.856,35.731,422107,417503,-0.045,ENSG00000144381,"60 kDa heat shock protein, mitochondrial",Mitochondrion matrix,professional antigen presenting cell;dendritic cell;mast cell;mucosal type mast cell;proerythroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,
IFNG,,,,no,0.062,0.022,705,255,-1.496,ENSG00000111537,Interferon gamma (IFN-gamma) (Immune interferon),Secreted,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II
MSI1,,,,no,2.046,2.125,23435,24825,0.054,ENSG00000135097,RNA-binding protein Musashi homolog 1 (Musashi-1),Cytoplasm,,
MSI2,,,,no,3.307,3.171,37880,37055,-0.061,ENSG00000153944,RNA-binding protein Musashi homolog 2 (Musashi-2),Cytoplasm,ependymal cell;choroid plexus epithelial cell;corneal endothelial cell;pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;lens epithelial cell,
