subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
04_immune_B_plasma,MYB,brush cell of trachebronchial tree;brush cell of bronchus;bone marrow cell;granulocyte monocyte progenitor cell;precursor B cell;late pro-B cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;promyelocyte;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,no,0.145,0.105
04_immune_B_plasma,MYBL2,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;germinal center B cell",,no,3.288,2.79
04_immune_B_plasma,NCF1,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;immature neutrophil;leukocyte;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;mature B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;plasmablast;myeloid leukocyte;monocyte;CD14-positive monocyte;B cell;immature B cell;small pre-B-II cell;pre-B-I cell;myelocyte",,no,0.709,1.514
04_immune_B_plasma,NCOA3,cardiac endothelial cell;IgA plasmablast;papillary tips cell,,no,5.617,5.999
04_immune_B_plasma,NFKB2,medullary thymic epithelial cell;IgG memory B cell;group 2 innate lymphoid cell,,no,9.249,11.489
04_immune_B_plasma,NR4A1,intestinal crypt stem cell of large intestine;paneth cell of epithelium of small intestine;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;B cell;tendon cell,,no,13.472,14.389
04_immune_B_plasma,NUSAP1,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,no,0.434,0.38
04_immune_B_plasma,OGG1,germinal center B cell,,no,0.461,0.398
04_immune_B_plasma,ORAI2,IgG memory B cell;IgG-negative class switched memory B cell,,no,2.264,2.21
04_immune_B_plasma,PABPC4,intestinal crypt stem cell of large intestine;pancreatic acinar cell;acinar cell;IgA plasma cell,,no,37.964,42.059
04_immune_B_plasma,PAIP2,pancreatic D cell;early lymphoid progenitor;fraction A pre-pro B cell,,no,14.023,11.041
04_immune_B_plasma,PARP1,germinal center B cell;B cell;large pre-B-II cell;fraction A pre-pro B cell,,no,17.235,18.289
04_immune_B_plasma,PARP15,mature B cell;memory B cell;unswitched memory B cell;naive B cell;B-1b B cell;B cell;immature B cell;transitional stage B cell,,no,0.216,0.322
04_immune_B_plasma,PBXIP1,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;brush cell;intestinal tuft cell;tuft cell of colon;T-helper 1 cell;memory regulatory T cell;regulatory T cell;late pro-B cell;group 2 innate lymphoid cell",,no,6.081,6.095
04_immune_B_plasma,PDIA4,plasmablast;IgG plasmablast;IgA plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,no,30.12,27.531
04_immune_B_plasma,PDK1,plasma cell,,no,2.098,2.007
04_immune_B_plasma,PIM2,B-1a B cell;plasmablast;IgG plasmablast;IgA plasmablast;T follicular helper cell;naive regulatory T cell;regulatory T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell,,no,0.595,0.769
04_immune_B_plasma,PLEKHA2,B cell,,no,1.138,1.059
04_immune_B_plasma,PNOC,B cell;IgG plasma cell;IgM plasma cell;cortical interneuron;cerebral cortex GABAergic interneuron,OPIOID,no,0.036,0.042
04_immune_B_plasma,POLD1,professional antigen presenting cell;dendritic cell;B cell,,no,1.573,1.902
04_immune_B_plasma,POU2AF1,mature B cell;memory B cell;germinal center B cell;plasmablast;IgA plasmablast;B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;pro-B cell;fraction A pre-pro B cell,,no,0.066,0.218
04_immune_B_plasma,POU2F2,"mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;B-1b B cell;germinal center B cell;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;B cell;peripheral blood mononuclear cell",,no,0.307,0.411
04_immune_B_plasma,PPP1CA,large pre-B-II cell;pre-conventional dendritic cell,,no,16.15,16.684
04_immune_B_plasma,PRDM1,"plasmablast;IgA plasmablast;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;DN1 thymic pro-T cell",,no,0.42,0.903
04_immune_B_plasma,PRKCB,IgG memory B cell;IgG-negative class switched memory B cell;amacrine cell;stellate neuron,,no,0.4,0.534
04_immune_B_plasma,PSIP1,"glioblast;Schwann cell precursor;neural crest cell;epithelial cell of thymus;cortical thymic epithelial cell;ovarian surface epithelial cell;double-positive, alpha-beta thymocyte;large pre-B-II cell;hematopoietic multipotent progenitor cell;common lymphoid progenitor",,no,1.868,2.515
04_immune_B_plasma,PTPN6,"eosinophil;leukocyte;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;B-1a B cell;B-1b B cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;B cell",,no,3.889,5.335
04_immune_B_plasma,PTTG1,T-helper 17 cell;large pre-B-II cell;erythroid lineage cell;fraction A pre-pro B cell,,no,0.441,0.251
04_immune_B_plasma,RAG1,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;common lymphoid progenitor",,no,0.282,0.219
04_immune_B_plasma,RAN,"glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;activated CD4-positive, alpha-beta T cell;primitive red blood cell;fraction A pre-pro B cell",,no,19.777,16.793
04_immune_B_plasma,RBBP4,large pre-B-II cell;macrophage dendritic cell progenitor;early lymphoid progenitor;fraction A pre-pro B cell,,no,25.184,22.951
04_immune_B_plasma,RBM38,enucleate erythrocyte;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;erythroid lineage cell;reticulocyte,,no,5.42,4.922
04_immune_B_plasma,RBMX,neural crest cell;mesodermal cell;large pre-B-II cell;basophil mast progenitor cell;enteric neuron,,no,19.925,24.039
04_immune_B_plasma,REL,"elicited macrophage;inflammatory macrophage;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;mature conventional dendritic cell;liver dendritic cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell",,no,2.557,1.933
04_immune_B_plasma,REXO2,pancreatic D cell;pre-B-I cell;proerythroblast,,no,4.903,4.871
04_immune_B_plasma,RFC5,precursor B cell,,no,2.272,2.945
04_immune_B_plasma,RFTN1,cardiac endothelial cell;germinal center B cell,,no,1.502,1.548
04_immune_B_plasma,RHOH,hematopoietic cell;leukocyte;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;B-1b B cell;germinal center B cell;mast cell;mononuclear cell;lymphocyte;double negative thymocyte;DN4 thymocyte;pre-B-I cell;group 2 innate lymphoid cell;early T lineage precursor,,no,0.199,0.26
04_immune_B_plasma,RNASEH2B,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;large pre-B-II cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,no,6.463,7.646
04_immune_B_plasma,RPN1,plasmablast;plasma cell;IgG plasma cell,,no,33.4,28.823
04_immune_B_plasma,RRM1,large pre-B-II cell;fraction A pre-pro B cell,,no,5.861,6.411
04_immune_B_plasma,RRM2,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;precursor B cell;pro-B cell;fraction A pre-pro B cell",,no,0.617,0.402
04_immune_B_plasma,RUBCNL,B-1a B cell;B-1b B cell;germinal center B cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell,,no,0.618,1.241
04_immune_B_plasma,SCIMP,"memory B cell;germinal center B cell;CD14-positive, CD16-positive monocyte",,no,0.857,1.262
04_immune_B_plasma,SDF2L1,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;enteroendocrine cell;endocrine cell;plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,no,6.707,5.942
04_immune_B_plasma,SEC13,plasmablast;macrophage dendritic cell progenitor;osteoblast,,no,22.519,21.102
04_immune_B_plasma,SEL1L,pancreatic acinar cell;acinar cell;IgG plasmablast;IgA plasmablast;plasma cell;IgA plasma cell,,no,51.009,45.792
04_immune_B_plasma,SEPTIN6,"hematopoietic stem cell;T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;immature T cell;thymocyte;double negative thymocyte;DN4 thymocyte;large pre-B-II cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor",,no,2.85,2.701
04_immune_B_plasma,SEPTIN9,mast cell;mucosal type mast cell;late pro-B cell;early lymphoid progenitor;papillary tips cell,,no,17.655,17.64
04_immune_B_plasma,SH2B2,germinal center B cell,,no,0.488,0.693
04_immune_B_plasma,SHMT2,"B-1a B cell;activated CD4-positive, alpha-beta T cell;DN4 thymocyte;macrophage dendritic cell progenitor",,no,16.398,19.342
04_immune_B_plasma,SLAMF7,"plasmacytoid dendritic cell;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;plasmablast;IgG plasmablast;IgA plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell",,no,0.174,0.478
04_immune_B_plasma,SLC2A3,anterior lens cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;gut endothelial cell;granulocyte;neutrophil;liver dendritic cell;B-1b B cell;T follicular helper cell;group 2 innate lymphoid cell,,no,2.956,5.208
04_immune_B_plasma,SMAD1,endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;pre-B-I cell;late pro-B cell,,no,2.885,3.103
04_immune_B_plasma,SMAP2,"granulocyte;neutrophil;mature conventional dendritic cell;memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive regulatory T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;immature innate lymphoid cell;DN1 thymic pro-T cell",,no,6.121,7.156
04_immune_B_plasma,SMARCB1,glioblast;Schwann cell precursor;large pre-B-II cell,,no,9.409,8.376
04_immune_B_plasma,SMC3,common dendritic progenitor;fraction A pre-pro B cell,,no,12.615,13.699
04_immune_B_plasma,SMC4,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,no,2.994,3.675
04_immune_B_plasma,SMCHD1,granulocyte;neutrophil;IgG memory B cell;memory regulatory T cell,,no,5.562,4.617
04_immune_B_plasma,SNX29,lens epithelial cell;anterior lens cell;kidney distal convoluted tubule epithelial cell;lens fiber cell;secondary lens fiber;kidney loop of Henle thin descending limb epithelial cell;mononuclear cell;lymphocyte;B cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,no,3.183,5.033
04_immune_B_plasma,SP110,"plasmacytoid dendritic cell, human;dendritic cell, human;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;B-1b B cell;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;B cell",,no,2.55,3.45
04_immune_B_plasma,SP140,mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;plasmablast;B cell,,no,0.369,0.483
04_immune_B_plasma,STAP1,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte;germinal center B cell,,no,0.073,0.04
04_immune_B_plasma,STK4,"liver dendritic cell;IgG memory B cell;IgG-negative class switched memory B cell;CD4-positive helper T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;DN3 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",,no,2.164,2.86
04_immune_B_plasma,SYVN1,germinal center B cell;plasmablast;precursor B cell;small pre-B-II cell;pre-B-I cell;plasma cell;IgG plasma cell,,no,7.591,10.407
04_immune_B_plasma,TAP1,"leukocyte;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;plasmablast;mononuclear cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;exhausted T cell;pre-conventional dendritic cell",,no,4.706,5.339
04_immune_B_plasma,TCF3,precursor B cell;late pro-B cell;lymphoid lineage restricted progenitor cell;pro-B cell,,no,3.231,2.699
04_immune_B_plasma,TCOF1,IgG memory B cell;IgG-negative class switched memory B cell,,no,3.238,3.421
04_immune_B_plasma,TENT5C,"erythrocyte;enucleate erythrocyte;plasmablast;IgG plasmablast;IgA plasmablast;alpha-beta T cell;mature alpha-beta T cell;naive regulatory T cell;mucosal invariant T cell;mature T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;decidual natural killer cell, human;erythroid lineage cell;reticulocyte;enucleated reticulocyte;DN1 thymic pro-T cell;tracheobronchial serous cell",,no,13.15,16.11
04_immune_B_plasma,TKT,late pro-B cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,no,44.914,42.653
04_immune_B_plasma,TLR10,memory B cell;follicular B cell,,no,0.094,0.088
04_immune_B_plasma,TMPO,"double-positive, alpha-beta thymocyte;DN4 thymocyte;precursor B cell;large pre-B-II cell;common dendritic progenitor;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,no,8.587,8.686
04_immune_B_plasma,TNFRSF13B,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;follicular B cell;plasmablast;B cell;transitional stage B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,APRIL;BAFF,no,0.015,0.03
04_immune_B_plasma,TNFRSF18,"stem cell of epidermis;Langerhans cell;alpha-beta T cell;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;mature T cell;regulatory T cell;intraepithelial lymphocyte;IgA plasma cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor",GITRL,no,0.075,0.043
04_immune_B_plasma,TOP2A,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;DN4 thymocyte;precursor B cell;large pre-B-II cell;promonocyte;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell;salivary gland cell",,no,0.538,0.346
04_immune_B_plasma,TOP2B,late pro-B cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;common lymphoid progenitor,,no,13.445,13.264
04_immune_B_plasma,TOR3A,plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,no,2.247,1.514
04_immune_B_plasma,TPX2,"double-positive, alpha-beta thymocyte;DN4 thymocyte;fraction A pre-pro B cell",,no,0.412,0.244
04_immune_B_plasma,TRAF3IP3,"hematopoietic cell;leukocyte;B-1a B cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;central memory CD8-positive, alpha-beta T cell;mature T cell;regulatory T cell;naive T cell;exhausted T cell;double negative T regulatory cell;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,no,0.25,0.531
04_immune_B_plasma,TRAF4,"urothelial cell;bladder urothelial cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;B-1a B cell;bladder cell",,no,6.23,4.589
04_immune_B_plasma,TRIB1,skeletal muscle satellite stem cell;ileal goblet cell;medullary thymic epithelial cell;skeletal muscle satellite cell;IgA plasma cell,,no,1.729,0.733
04_immune_B_plasma,TUBB3,lung neuroendocrine cell;small pre-B-II cell;sympathetic neuron,,no,0.225,0.265
04_immune_B_plasma,TYMS,"double-positive, alpha-beta thymocyte;T-helper 17 cell;large pre-B-II cell;primitive red blood cell;macrophage dendritic cell progenitor;hematopoietic precursor cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,no,1.741,0.895
04_immune_B_plasma,U2AF1,stem cell of epidermis;pancreatic D cell;endocrine cell;T-helper 17 cell;exhausted T cell;large pre-B-II cell;transit amplifying cell of colon,,no,1.515,1.015
04_immune_B_plasma,UBE2I,large pre-B-II cell,,no,10.059,10.856
04_immune_B_plasma,UBE2T,large pre-B-II cell,,no,0.495,0.292
04_immune_B_plasma,UCP2,"erythrocyte;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;dendritic cell, human;B-1a B cell;B-1b B cell;germinal center B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;erythroid lineage cell;reticulocyte;enucleated reticulocyte",,no,1.737,1.662
04_immune_B_plasma,UHRF1,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;precursor B cell;large pre-B-II cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;early T lineage precursor;common lymphoid progenitor",,no,1.003,0.908
04_immune_B_plasma,WASHC4,B cell,,no,9.39,9.697
04_immune_B_plasma,WDFY4,"central nervous system macrophage;microglial cell;professional antigen presenting cell;plasmacytoid dendritic cell;CD141-positive myeloid dendritic cell;Langerhans cell;myeloid dendritic cell, human;B cell",,no,0.225,0.431
04_immune_B_plasma,ZBP1,"mature B cell;plasmablast;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-negative, CD56-bright natural killer cell, human",,no,0.042,0.144
04_immune_B_plasma,ZNF296,immature B cell;small pre-B-II cell;pre-B-I cell,,no,0.132,0.126
05_immune_NK_ILC,ABCA1,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,no,4.024,9.526
05_immune_NK_ILC,ACAP1,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",,no,0.377,0.869
05_immune_NK_ILC,ADAM8,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,no,1.243,2.199
05_immune_NK_ILC,ADGRE5,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE,no,12.141,11.433
05_immune_NK_ILC,AFAP1L2,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",,no,7.496,5.21
05_immune_NK_ILC,AHR,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,no,5.117,6.008
05_immune_NK_ILC,ANP32E,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,no,4.221,3.748
05_immune_NK_ILC,AOAH,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,no,0.894,2.817
05_immune_NK_ILC,AP2A2,Kupffer cell;immature innate lymphoid cell,,no,9.342,10.757
05_immune_NK_ILC,APMAP,"placental villous trophoblast;syncytiotrophoblast cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;white fat cell;sebaceous gland cell",,no,8.848,7.818
05_immune_NK_ILC,APOBEC3C,"decidual natural killer cell, human",,no,2.812,2.273
05_immune_NK_ILC,APOBEC3G,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,no,0.489,0.712
05_immune_NK_ILC,ARF6,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,no,11.185,8.344
05_immune_NK_ILC,ATG7,Kupffer cell;immature innate lymphoid cell,,no,1.781,2.171
05_immune_NK_ILC,BATF,"duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell;mast cell;CD4-positive helper T cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",,no,0.664,0.516
05_immune_NK_ILC,BMP2K,lens epithelial cell;anterior lens cell;macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;enucleate erythrocyte;mast cell;immature innate lymphoid cell,,no,4.076,4.833
05_immune_NK_ILC,CCND2,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,no,17.11,16.337
05_immune_NK_ILC,CCND3,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,no,2.449,1.864
05_immune_NK_ILC,CD160,"CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",CD160,no,0.056,0.047
05_immune_NK_ILC,CD244,innate lymphoid cell;natural killer cell,,no,0.062,0.147
05_immune_NK_ILC,CD300A,"colon macrophage;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human",,no,1.536,1.941
05_immune_NK_ILC,CD7,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;exhausted T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor",,no,0.109,0.249
05_immune_NK_ILC,CD96,"taste receptor cell;T cell;T-helper 1 cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;exhausted T cell;intraepithelial lymphocyte;decidual natural killer cell, human;group 3 innate lymphoid cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle",CD96,no,0.18,0.31
05_immune_NK_ILC,CLIC3,"stratified epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;mature NK T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",,no,0.056,0.072
