subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,ANP32E,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,no,4.221,3.748
03_immune_T_cell,ANXA2,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,no,39.275,44.388
03_immune_T_cell,AOAH,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,no,0.894,2.817
03_immune_T_cell,AP3M2,"CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,no,0.504,0.639
03_immune_T_cell,APMAP,"placental villous trophoblast;syncytiotrophoblast cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;white fat cell;sebaceous gland cell",,no,8.848,7.818
03_immune_T_cell,APOBEC3G,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,no,0.489,0.712
03_immune_T_cell,APOL2,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,no,5.605,5.386
03_immune_T_cell,AQP5,respiratory basal cell;basal cell of epithelium of trachea;epithelial cell;epithelial cell of lacrimal sac;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;acinar cell of salivary gland;duodenum glandular cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;epithelial cell of sweat gland;conjunctival epithelial cell;tracheobronchial serous cell;serous cell of epithelium of trachea;serous cell of epithelium of bronchus,,no,0.12,0.059
03_immune_T_cell,AQP7,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,1.301,1.59
03_immune_T_cell,ARF6,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,no,11.185,8.344
