gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
GNB1L,,,,no,0.179,0.273,2055,3188,0.605,ENSG00000185838,Guanine nucleotide-binding protein subunit beta-like protein 1 (G protein subunit beta-like protein 1) (DGCRK3) (WD repeat-containing protein 14) (WD40 repeat-containing protein deleted in VCFS) (WDVCF),,,,,,
GPBP1L1,,,,no,19.329,18.213,221379,212816,-0.086,ENSG00000159592,Vasculin-like protein 1 (GC-rich promoter-binding protein 1-like 1),Nucleus,,,,,
GPN1,,,,no,7.412,6.981,84889,81572,-0.086,ENSG00000198522,GPN-loop GTPase 1,Cytoplasm,,,,,
GPN2,,,,no,2.048,1.809,23452,21132,-0.179,ENSG00000142751,GPN-loop GTPase 2 (ATP-binding domain 1 family member B),,,,,,
GPR1,,,,no,0.036,0.011,418,132,-1.692,ENSG00000183671,,,endosteal cell,CHEMERIN,,,
GPR101,,,,no,0.014,,160,0,,ENSG00000165370,Probable G-protein coupled receptor 101,Cell membrane,,,,,
GPR12,,,,no,0.072,0.014,821,167,-2.326,ENSG00000132975,G-protein coupled receptor 12,Cell membrane,,,,,
GPR135,,,,no,0.423,0.401,4842,4686,-0.076,ENSG00000181619,G-protein coupled receptor 135,Cell membrane,,,,,
GPR137,,,,no,1.58,1.654,18098,19322,0.066,ENSG00000173264,Integral membrane protein GPR137 (Transmembrane 7 superfamily member 1-like 1 protein),Lysosome membrane,,,,,
GPR139,,,,no,0.022,,251,0,,ENSG00000180269,Probable G-protein coupled receptor 139 (G(q)-coupled orphan receptor GPRg1) (G-protein-coupled receptor PGR3),Cell membrane,,,,,
GPR149,,,,no,0.138,0.121,1586,1419,-0.189,ENSG00000174948,Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10),Cell membrane,,,,,
GPR158,,,,no,0.067,0.033,767,386,-1.02,ENSG00000151025,Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158),Cell membrane,interneuron;amacrine cell;retina horizontal cell;cerebellar granule cell,,,,
GPR22,,,,no,0.055,0.009,634,101,-2.679,ENSG00000172209,G-protein coupled receptor 22,Cell membrane,,,,,
GPR26,,,,no,0.015,,173,0,,ENSG00000154478,G-protein coupled receptor 26,Cell membrane,,,,,
GPR63,,,,no,1.044,0.872,11955,10185,-0.26,ENSG00000112218,Probable G-protein coupled receptor 63 (PSP24-2) (PSP24-beta),Cell membrane,,,,,
GPR85,,,,no,0.059,0.027,673,312,-1.138,ENSG00000164604,Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2),Cell membrane,,,,,
GPR88,,,,no,0.11,0.042,1262,488,-1.4,ENSG00000181656,Probable G-protein coupled receptor 88 (Striatum-specific G-protein coupled receptor),Cell membrane,,,,,
GPRASP1,,,,no,2.057,2.895,23556,33828,0.493,ENSG00000198932,G-protein coupled receptor-associated sorting protein 1 (GASP-1),Cytoplasm,,,,,
GPRASP2,,,,no,1.625,1.662,18611,19425,0.033,ENSG00000158301,G-protein coupled receptor-associated sorting protein 2 (GASP-2),,,,,,
GPRIN2,,,,no,1.792,2.222,20524,25966,0.31,ENSG00000204175,G protein-regulated inducer of neurite outgrowth 2 (GRIN2),,,,,,
GRAMD1A,,,,no,20.845,25.421,238741,297038,0.286,ENSG00000089351,Protein Aster-A (GRAM domain-containing protein 1A),Endoplasmic reticulum membrane,,,,,
GRAMD2B,,,,no,1.633,1.632,18708,19070,-0.001,ENSG00000155324,GRAM domain-containing protein 2B (HCV NS3-transactivated protein 2),,,,,,
GSX2,,,,no,0.021,,241,0,,ENSG00000180613,GS homeobox 2 (Genetic-screened homeobox 2) (Homeobox protein GSH-2),Nucleus,,,,,
GTPBP1,,,,no,8.053,9.585,92229,111997,0.251,ENSG00000100226,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),Cytoplasm,,,,,
GTPBP10,,,,no,2.881,2.393,32997,27966,-0.268,ENSG00000105793,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),Nucleus,,,,,
H2AFX,,,,no,4.326,4.586,49543,53584,0.084,ENSG00000188486,,,,,,,
H3F3B,,,,no,46.67,39.591,534510,462606,-0.237,ENSG00000132475,,,,,,,
HABP2,,,,no,6.43,5.647,73646,65978,-0.188,ENSG00000148702,Hyaluronan-binding protein 2,Secreted,,,,,
HEATR3,,,,no,5.028,4.562,57582,53309,-0.14,ENSG00000155393,HEAT repeat-containing protein 3,,,,,,
HEATR5A,,,,no,1.47,1.625,16834,18987,0.145,ENSG00000129493,HEAT repeat-containing protein 5A,,,,,,
HEATR5B,,,,no,6.113,6.766,70007,79054,0.146,ENSG00000008869,HEAT repeat-containing protein 5B,Cytoplasm,,,,,
HEATR6,,,,no,2.434,3.118,27879,36429,0.357,ENSG00000068097,HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1),,,,,,
HECTD4,,,,no,8.233,9.524,94295,111283,0.21,ENSG00000173064,Probable E3 ubiquitin-protein ligase HECTD4,Membrane,enucleate erythrocyte,,,,
