gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
PCID2,,,,no,6.783,6.914,77684,80785,0.028,ENSG00000126226,PCI domain-containing protein 2 (CSN12-like protein),Cytoplasm,,,,,
PCNX3,,,,no,5.886,7.084,67409,82775,0.267,ENSG00000197136,Pecanex-like protein 3 (Pecanex homolog protein 3),Membrane,,,,,
PDCD10,,,,no,2.505,1.842,28689,21527,-0.443,ENSG00000114209,Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15),Cytoplasm;Golgi apparatus membrane,,,,,
PDZD4,,,,no,0.515,0.544,5901,6356,0.078,ENSG00000067840,PDZ domain-containing protein 4 (PDZ domain-containing RING finger protein 4-like protein),Cytoplasm,,,,,
PDZD7,,,,no,0.127,0.185,1451,2156,0.542,ENSG00000186862,PDZ domain-containing protein 7,Cell projection,,,,,
PGAP2,,,,no,2.703,2.938,30961,34326,0.12,ENSG00000148985,Post-GPI attachment to proteins factor 2 (FGF receptor-activating protein 1),Golgi apparatus membrane,,,,,
PGBD1,,,,no,0.676,0.7,7746,8181,0.05,ENSG00000137338,PiggyBac transposable element-derived protein 1 (Cerebral protein 4),,,,,,
PGGT1B,,,,no,2.829,2.832,32398,33093,0.002,ENSG00000164219,Geranylgeranyl transferase type-1 subunit beta,,,,,,
PHETA1,,,,no,4.11,3.966,47066,46345,-0.051,ENSG00000198324,Sesquipedalian-1 (Ses1) (27 kDa inositol polyphosphate phosphatase-interacting protein A) (IPIP27A) (PH domain-containing endocytic trafficking adaptor 1),Early endosome,,,,,
PHF12,,,,no,2.116,2.742,24232,32043,0.374,ENSG00000109118,PHD finger protein 12 (PHD factor 1) (Pf1),Nucleus,,,,,
PHF21B,,,,no,0.105,0.09,1205,1050,-0.228,ENSG00000056487,PHD finger protein 21B,,,,,,
PHF23,,,,no,3.35,3.159,38368,36908,-0.085,ENSG00000040633,PHD finger protein 23 (PDH-containing protein JUNE-1),Nucleus,,,,,
PHF6,,,,no,4.438,4.154,50830,48537,-0.096,ENSG00000156531,PHD finger protein 6 (PHD-like zinc finger protein),Nucleus;Nucleus,,,,,
PHLDB3,,,,no,1.787,1.824,20465,21308,0.029,ENSG00000176531,Pleckstrin homology-like domain family B member 3,,,,,,
PIBF1,,,,no,3.378,3.877,38684,45302,0.199,ENSG00000083535,Progesterone-induced-blocking factor 1 (PIBF) (Centrosomal protein of 90 kDa) (CEP90),Cytoplasm,,,,,
PIEZO1,,,,no,5.899,7.768,67563,90769,0.397,ENSG00000103335,Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A),Endoplasmic reticulum membrane,,,,,
PIH1D1,,,,no,6.344,7.51,72662,87750,0.243,ENSG00000104872,PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog),Nucleus,,,,,
PIMREG,,,,no,0.242,0.147,2767,1717,-0.717,ENSG00000129195,Protein PIMREG (CALM-interactor expressed in thymus and spleen) (PICALM-interacting mitotic regulator) (Regulator of chromosome segregation protein 1),Nucleus,,,,,
PLAGL2,,,,no,2.095,1.603,23994,18731,-0.386,ENSG00000126003,Zinc finger protein PLAGL2 (Pleiomorphic adenoma-like protein 2),Nucleus,,,,,
PLEKHB2,,,,no,3.884,4.218,44487,49289,0.119,ENSG00000115762,Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2),Recycling endosome membrane,luminal cell of prostate epithelium,,,,
PM20D2,,,,no,8.365,5.719,95805,66820,-0.549,ENSG00000146281,Xaa-Arg dipeptidase,,,,,,
PMFBP1,,,,no,0.348,0.373,3989,4356,0.098,ENSG00000118557,Polyamine-modulated factor 1-binding protein 1 (PMF-1-binding protein),Cell projection,,,,,
PMS1,,,,no,4.288,5.716,49115,66787,0.414,ENSG00000064933,PMS1 protein homolog 1 (DNA mismatch repair protein PMS1),Nucleus,,,,,
PNMA2,,,,no,1.473,0.963,16866,11251,-0.613,ENSG00000240694,Paraneoplastic antigen Ma2 (40 kDa neuronal protein) (Onconeuronal antigen Ma2) (Paraneoplastic neuronal antigen MM2),Nucleus,PP cell,,,,
PNPLA1,,,,no,0.025,,289,0,,ENSG00000180316,Omega-hydroxyceramide transacylase,Cytoplasm,,,,,
POGLUT2,,,,no,0.873,0.893,9996,10436,0.033,ENSG00000134901,Protein O-glucosyltransferase 2,Endoplasmic reticulum lumen,,,,,
POGZ,,,,no,12.535,16.193,143566,189206,0.369,ENSG00000143442,Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635),Nucleus,,,,,
POLDIP2,,,,no,14.831,14.011,169855,163720,-0.082,ENSG00000004142,Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38),Mitochondrion matrix,,,,,
POLR2M,,,,no,13.327,8.997,152637,105123,-0.567,ENSG00000255529,DNA-directed RNA polymerase II subunit GRINL1A (DNA-directed RNA polymerase II subunit M) (Glutamate receptor-like protein 1A),Nucleus,,,,,
POPDC3,,,,no,0.087,0.046,1002,535,-0.934,ENSG00000132429,Popeye domain-containing protein 3 (Popeye protein 3),Membrane,,,,,
POTEI,,,,no,0.343,0.108,3934,1260,-1.671,ENSG00000196834,POTE ankyrin domain family member I,,,,,,
POTEJ,,,,no,0.119,0.017,1359,203,-2.772,ENSG00000222038,POTE ankyrin domain family member J,,,,,,
POU3F4,,,,no,0.033,,383,0,,ENSG00000196767,"POU domain, class 3, transcription factor 4 (Brain-specific homeobox/POU domain protein 4) (Brain-4) (Brn-4) (Octamer-binding protein 9) (Oct-9) (Octamer-binding transcription factor 9) (OTF-9)",Nucleus,cortical interneuron;cerebral cortex GABAergic interneuron,,,,
PPIC,,,,no,6.015,3.482,68895,40690,-0.789,ENSG00000168938,Peptidyl-prolyl cis-trans isomerase C (PPIase C),Cytoplasm,endosteal cell;preosteoblast;reticular cell;osteoblast,,,,
PPP1R16B,,,,no,0.558,0.849,6394,9917,0.604,ENSG00000101445,Protein phosphatase 1 regulatory inhibitor subunit 16B (Ankyrin repeat domain-containing protein 4) (CAAX box protein TIMAP) (TGF-beta-inhibited membrane-associated protein) (hTIMAP),Cell membrane,,,,,
PPP1R1C,,,,no,0.382,0.189,4378,2205,-1.018,ENSG00000150722,Protein phosphatase 1 regulatory subunit 1C (Inhibitor-5 of protein phosphatase 1) (IPP5),Cytoplasm,,,,,
PPP1R37,,,,no,4.49,5.81,51422,67890,0.372,ENSG00000104866,Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68),,,,,,
PPP1R7,,,,no,6.081,5.963,69651,69674,-0.028,ENSG00000115685,Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22),Nucleus,,,,,
PPP1R9B,,,,no,7.819,9.539,89550,111466,0.287,ENSG00000108819,Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin),Cytoplasm,,,,,
PPP4R4,,,,no,0.38,0.315,4357,3678,-0.273,ENSG00000119698,Serine/threonine-protein phosphatase 4 regulatory subunit 4,Cytoplasm,,,,,
PRDM10,,,,no,1.826,1.753,20916,20478,-0.059,ENSG00000170325,PR domain zinc finger protein 10,Nucleus,,,,,
PRDM12,,,,no,0.068,0.01,782,115,-2.794,ENSG00000130711,PR domain zinc finger protein 12,Nucleus,,,,,
PRDM15,,,,no,1.502,1.589,17208,18562,0.08,ENSG00000141956,PR domain zinc finger protein 15,Nucleus,,,,,
PREPL,,,,no,6.236,5.94,71418,69409,-0.07,ENSG00000138078,Prolyl endopeptidase-like,Cytoplasm,retinal ganglion cell,,,,
PRMT8,,,,no,0.102,0.076,1164,884,-0.426,ENSG00000111218,Protein arginine N-methyltransferase 8,Cell membrane,,,,,
PRNCR1,,,,no,0.297,0.238,3406,2784,-0.32,ENSG00000282961,,,,,,,
PROM2,,,,no,2.722,2.304,31176,26924,-0.24,ENSG00000155066,Prominin-2 (PROM-2) (Prominin-like protein 2) (hPROML2),Apical cell membrane,,,,,
PROSER1,,,,no,6.145,5.013,70374,58573,-0.294,ENSG00000120685,Proline and serine-rich protein 1,,,,,,
PRPSAP1,,,,no,10.327,11.254,118271,131495,0.124,ENSG00000161542,Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39),,,,,,
PRR11,,,,no,0.607,0.483,6952,5638,-0.331,ENSG00000068489,Proline-rich protein 11,Cytoplasm,,,,,
PRR13,,,,no,14.568,13.151,166841,153665,-0.148,ENSG00000205352,Proline-rich protein 13 (Taxane-resistance protein),Nucleus,enterocyte of colon;enterocyte of epithelium proper of ileum;M cell of gut,,,,
PRR14L,,,,no,3.016,2.781,34539,32491,-0.117,ENSG00000183530,Protein PRR14L (Proline rich 14-like protein),,,,,,
PRRC2A,,,,no,19.234,18.896,220286,220792,-0.026,ENSG00000204469,Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2),Cytoplasm,,,,,
PRRG2,,,,no,4.023,3.607,46080,42141,-0.158,ENSG00000126460,Transmembrane gamma-carboxyglutamic acid protein 2 (Proline-rich gamma-carboxyglutamic acid protein 2) (Proline-rich Gla protein 2),Cell membrane,,,,,
PRRT2,,,,no,0.264,0.373,3024,4360,0.499,ENSG00000167371,Proline-rich transmembrane protein 2 (Dispanin subfamily B member 3) (DSPB3),Cell membrane,,,,,
PSKH1,,,,no,5.483,4.816,62794,56277,-0.187,ENSG00000159792,Serine/threonine-protein kinase H1,Golgi apparatus;Cytoplasm,,,,,
PSPC1,,,,no,7.123,10.094,81578,117944,0.503,ENSG00000121390,Paraspeckle component 1 (Paraspeckle protein 1),Nucleus,,,,,
PTCD1,,,,no,1.25,1.67,14320,19508,0.417,ENSG00000106246,"Pentatricopeptide repeat-containing protein 1, mitochondrial",Mitochondrion,,,,,
PTGFRN,,,,no,8.475,8.044,97062,93991,-0.075,ENSG00000134247,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315),Endoplasmic reticulum membrane,,,,,
PTP4A1,,,,no,17.266,12.409,197751,144996,-0.477,ENSG00000112245,Protein tyrosine phosphatase type IVA 1,Cell membrane,stem cell of epidermis,,,,
PTPDC1,,,,no,1.209,0.932,13845,10889,-0.375,ENSG00000158079,Protein tyrosine phosphatase domain-containing protein 1,,,,,,
PUM3,,,,no,7.791,7.311,89235,85426,-0.092,ENSG00000080608,Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8),Nucleus,,,,,
PURB,,,,no,9.901,6.198,113390,72425,-0.676,ENSG00000146676,Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B),Nucleus,skeletal muscle satellite cell,,,,
PUSL1,,,,no,1.454,1.441,16658,16841,-0.013,ENSG00000169972,tRNA pseudouridine synthase-like 1,,,,,,
PWWP3A,,,,no,0.625,0.753,7153,8804,0.271,ENSG00000160953,PWWP domain-containing DNA repair factor 3A (PWWP3A) (Mutated melanoma-associated antigen 1) (MUM-1) (PWWP domain-containing protein MUM1) (Protein expandere),Nucleus,,,,,
QPCTL,,,,no,0.795,0.71,9107,8292,-0.164,ENSG00000011478,Glutaminyl-peptide cyclotransferase-like protein,Golgi apparatus membrane,,,,,
R3HDM1,,,,no,4.322,3.543,49494,41395,-0.287,ENSG00000048991,R3H domain-containing protein 1,,Purkinje cell,,,,
R3HDM2,,,,no,7.254,7.858,83084,91820,0.115,ENSG00000179912,R3H domain-containing protein 2,Nucleus,,,,,
RAB28,,,,no,3.451,3.465,39529,40487,0.006,ENSG00000157869,Ras-related protein Rab-28,Cell membrane,,,,,
RAB6C,,,,no,0.943,0.586,10800,6842,-0.687,ENSG00000222014,Ras-related protein Rab-6C (Rab6-like protein WTH3),Nucleus,,,,,
RABL2B,,,,no,0.416,0.351,4769,4101,-0.247,ENSG00000079974,Rab-like protein 2B,Cytoplasm,,,,,
RABL3,,,,no,2.324,1.463,26614,17093,-0.668,ENSG00000144840,Rab-like protein 3,,,,,,
RABL6,,,,no,15.611,18.133,178797,211878,0.216,ENSG00000196642,Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1),Nucleus,salivary gland cell,,,,
RAD54L2,,,,no,4.798,5.056,54955,59077,0.075,ENSG00000164080,Helicase ARIP4,Nucleus,,,,,
RAI2,,,,no,5.409,5.232,61948,61139,-0.048,ENSG00000131831,Retinoic acid-induced protein 2,,,,,,
RALGPS1,,,,no,2.776,3.469,31798,40530,0.321,ENSG00000136828,Ras-specific guanine nucleotide-releasing factor RalGPS1 (Ral GEF with PH domain and SH3-binding motif 1) (Ral guanine nucleotide exchange factor 2) (RalGEF 2) (RalA exchange factor RalGPS1),Cytoplasm,,,,,
RAP2A,,,,no,5.013,4.028,57414,47065,-0.316,ENSG00000125249,Ras-related protein Rap-2a,Recycling endosome membrane,,,,,
RASSF3,,,,no,12.122,9.983,138834,116645,-0.28,ENSG00000153179,Ras association domain-containing protein 3,Cytoplasm,,,,,
RAVER1,,,,no,3.082,3.558,35300,41579,0.207,ENSG00000161847,Ribonucleoprotein PTB-binding 1 (Protein raver-1),Nucleus,,,,,
RBM10,,,,no,6.228,9.016,71329,105355,0.534,ENSG00000182872,RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1),Nucleus,,,,,
RBM12,,,,no,8.766,8.68,100399,101428,-0.014,ENSG00000244462,RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN),Nucleus,,,,,
RBM19,,,,no,5.918,8.668,67779,101288,0.551,ENSG00000122965,Probable RNA-binding protein 19 (RNA-binding motif protein 19),Nucleus,,,,,
RBM20,,,,no,0.118,0.086,1346,1006,-0.449,ENSG00000203867,RNA-binding protein 20 (RNA-binding motif protein 20),Nucleus,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;smooth muscle myoblast;cardiac muscle myoblast,,,,
RBM23,,,,no,7.483,8.229,85698,96155,0.137,ENSG00000100461,Probable RNA-binding protein 23 (CAPER beta) (CAPERbeta) (RNA-binding motif protein 23) (RNA-binding region-containing protein 4) (Splicing factor SF2),Nucleus,,,,,
RBM27,,,,no,4.862,4.872,55686,56926,0.003,ENSG00000091009,RNA-binding protein 27 (RNA-binding motif protein 27),Cytoplasm;Nucleus speckle,neural progenitor cell,,,,
RBM34,,,,no,3.498,3.35,40061,39149,-0.062,ENSG00000188739,RNA-binding protein 34 (RNA-binding motif protein 34),Nucleus,,,,,
RC3H1,,,,no,6.844,6.115,78388,71452,-0.163,ENSG00000135870,Roquin-1 (Roquin),Cytoplasm,,,,,
RC3H2,,,,no,6.081,4.871,69645,56911,-0.32,ENSG00000056586,Roquin-2,Cytoplasm,,,,,
RCOR3,,,,no,5.032,6.544,57631,76463,0.379,ENSG00000117625,REST corepressor 3,Nucleus,,,,,
RDM1,,,,no,0.33,0.11,3782,1284,-1.587,ENSG00000278023,RAD52 motif-containing protein 1 (RAD52 homolog B),Nucleus,,,,,
RECQL4,,,,no,0.216,0.221,2477,2586,0.033,ENSG00000160957,ATP-dependent DNA helicase Q4,Cytoplasm,,,,,
REEP4,,,,no,1.163,1.364,13322,15938,0.23,ENSG00000168476,Receptor expression-enhancing protein 4,Endoplasmic reticulum membrane,,,,,
RETREG3,,,,no,8.794,8.012,100716,93613,-0.134,ENSG00000141699,Reticulophagy regulator 3,Endoplasmic reticulum membrane,,,,,
RFPL3,,,,no,0.039,0.009,443,100,-2.176,ENSG00000128276,Ret finger protein-like 3,Cytoplasm,,,,,
RFX1,,,,no,2.914,2.802,33371,32745,-0.056,ENSG00000132005,MHC class II regulatory factor RFX1 (Enhancer factor C) (EF-C) (Regulatory factor X 1) (RFX) (Transcription factor RFX1),Nucleus,,,,,
RFX4,,,,no,0.032,0.021,366,250,-0.579,ENSG00000111783,Transcription factor RFX4 (Regulatory factor X 4) (Testis development protein NYD-SP10),Nucleus,astrocyte;mature astrocyte,,,,
RGPD6,,,,no,13.601,13.234,155774,154638,-0.039,ENSG00000183054,RANBP2 like and GRIP domain containing 6,,,,,,
RGPD8,,,,no,9.451,8.337,108242,97419,-0.181,ENSG00000169629,RANBP2-like and GRIP domain-containing protein 8 (Ran-binding protein 2-like 3) (RanBP2-like 3) (RanBP2L3),,,,,,
RHBDD1,,,,no,4.291,3.566,49141,41666,-0.267,ENSG00000144468,Rhomboid-related protein 4 (RRP4),Endoplasmic reticulum membrane,,,,,
RHOXF2,,,,no,0.047,,539,0,,ENSG00000131721,Rhox homeobox family member 2 (Paired-like homeobox protein PEPP-2) (Testis homeobox gene 1),Nucleus,,,,,
RIC8A,,,,no,10.004,11.566,114570,135141,0.209,ENSG00000177963,Synembryn-A (Protein Ric-8A),Cytoplasm,,,,,
RIMS3,,,,no,0.358,0.384,4102,4485,0.1,ENSG00000117016,Regulating synaptic membrane exocytosis protein 3 (Nim3) (RIM3 gamma) (Rab-3-interacting molecule 3) (RIM 3),Synapse,,,,,
RIMS4,,,,no,0.06,0.025,687,290,-1.273,ENSG00000101098,Regulating synaptic membrane exocytosis protein 4 (RIM4 gamma) (Rab3-interacting molecule 4) (RIM 4),Synapse,Sertoli cell;mesothelial cell,,,,
RIOX1,,,,no,2.488,2.409,28492,28147,-0.046,ENSG00000170468,Ribosomal oxygenase 1 (60S ribosomal protein L8 histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66),Nucleus,,,,,
RITA1,,,,no,0.757,0.598,8670,6993,-0.339,ENSG00000139405,RBPJ-interacting and tubulin-associated protein 1 (RBPJ-interacting and tubulin-associated protein),Cytoplasm,,,,,
RLF,,,,no,1.81,1.584,20725,18507,-0.192,ENSG00000117000,Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein),Nucleus,,,,,
RMDN1,,,,no,2.448,2.173,28041,25388,-0.172,ENSG00000176623,Regulator of microtubule dynamics protein 1 (RMD-1) (hRMD-1) (Protein FAM82B),Cytoplasm,,,,,
RMND1,,,,no,3.579,3.535,40991,41302,-0.018,ENSG00000155906,Required for meiotic nuclear division protein 1 homolog,Mitochondrion,,,,,
RMND5A,,,,no,13.549,13.698,155176,160059,0.016,ENSG00000153561,E3 ubiquitin-protein transferase RMND5A,Nucleus,erythroid lineage cell,,,,
RNF112,,,,no,0.402,0.469,4605,5481,0.222,ENSG00000128482,RING finger protein 112,Membrane,,,,,
RNF121,,,,no,4.873,5.167,55815,60370,0.084,ENSG00000137522,E3 ubiquitin ligase RNF121,Endoplasmic reticulum membrane,,,,,
RNF180,,,,no,2.953,2.853,33819,33340,-0.049,ENSG00000164197,E3 ubiquitin-protein ligase RNF180,Endoplasmic reticulum membrane,,,,,
RNF187,,,,no,22.372,24.308,256224,284030,0.12,ENSG00000168159,E3 ubiquitin-protein ligase RNF187,Cytoplasm,,,,,
RNF26,,,,no,0.824,0.678,9439,7920,-0.282,ENSG00000173456,E3 ubiquitin-protein ligase RNF26,Endoplasmic reticulum membrane,,,,,
RNF38,,,,no,9.275,7.781,106222,90919,-0.253,ENSG00000137075,E3 ubiquitin-protein ligase RNF38,Nucleus,,,,,
RP1L1,,,,no,0.03,0.023,339,269,-0.363,ENSG00000183638,Retinitis pigmentosa 1-like 1 protein,Cytoplasm,,,,,
RPAP1,,,,no,2.98,4.166,34129,48680,0.483,ENSG00000103932,RNA polymerase II-associated protein 1,Nucleus,,,,,
RPAP3,,,,no,2.548,2.415,29177,28217,-0.077,ENSG00000005175,RNA polymerase II-associated protein 3,,,,,,
RPF1,,,,no,5.996,6.096,68677,71235,0.024,ENSG00000117133,Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1),Nucleus,,,,,
RPRML,,,,no,0.026,0.019,298,220,-0.467,ENSG00000179673,Reprimo-like protein,Membrane,type EC enteroendocrine cell,,,,
RPUSD2,,,,no,0.853,0.978,9765,11422,0.197,ENSG00000166133,Pseudouridylate synthase RPUSD2,,,,,,
RRP15,,,,no,3.451,3.004,39523,35101,-0.2,ENSG00000067533,RRP15-like protein (Ribosomal RNA-processing protein 15),,,,,,
RRS1,,,,no,11.21,11.641,128390,136021,0.054,ENSG00000179041,Ribosome biogenesis regulatory protein homolog,Nucleus,,,,,
RS1,,,,no,0.02,,232,0,,ENSG00000102104,Retinoschisin (X-linked juvenile retinoschisis protein),Secreted,retinal cone cell,,,,
RSBN1,,,,no,3.972,4.565,45488,53342,0.201,ENSG00000081019,Lysine-specific demethylase 9 (KDM9),Nucleus,,,,,
RSPH9,,,,no,0.481,0.394,5509,4602,-0.288,ENSG00000172426,Radial spoke head protein 9 homolog,Cytoplasm,lung ciliated cell,,,,
RSPRY1,,,,no,6.213,5.782,71161,67556,-0.104,ENSG00000159579,RING finger and SPRY domain-containing protein 1,Secreted,,,,,
RSRC1,,,,no,4.004,3.717,45852,43437,-0.107,ENSG00000174891,Serine/Arginine-related protein 53 (SRrp53) (Arginine/serine-rich coiled-coil protein 1),Nucleus,,,,,
RTL1,,,,no,0.02,,224,0,,ENSG00000254656,Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11),Membrane,,,,,
RTN4IP1,,,,no,1.269,1.298,14539,15168,0.032,ENSG00000130347,"Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)",Mitochondrion outer membrane,,,,,
RWDD1,,,,no,6.298,4.423,72135,51685,-0.51,ENSG00000111832,RWD domain-containing protein 1 (DRG family-regulatory protein 2),,,,,,
RWDD4,,,,no,7.92,6.733,90710,78669,-0.234,ENSG00000182552,RWD domain-containing protein 4 (Protein FAM28A),,,,,,
S100A3,,,,no,0.183,0.191,2099,2226,0.056,ENSG00000188015,Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3),Cytoplasm,osteoclast,,,,
SAA4,,,,no,0.025,0.012,292,139,-1.1,ENSG00000148965,Serum amyloid A-4 protein (Constitutively expressed serum amyloid A protein) (C-SAA),Secreted,,,,,
SACS,,,,no,2.891,2.496,33112,29167,-0.212,ENSG00000151835,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),Cytoplasm,,,,,
SAMD5,,,,no,1.43,0.729,16379,8518,-0.972,ENSG00000203727,Sterile alpha motif domain-containing protein 5 (SAM domain-containing protein 5),Cytoplasm,lens fiber cell;secondary lens fiber,,,,
SAPCD2,,,,no,0.325,0.203,3717,2373,-0.676,ENSG00000186193,Suppressor APC domain-containing protein 2 (Tumor specificity and mitosis phase-dependent expression protein) (TS/MDEP) (p42.3),Cytoplasm,,,,,
SART3,,,,no,6.227,7.596,71320,88756,0.287,ENSG00000075856,Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein),Nucleus,,,,,
SAXO1,,,,no,0.033,0.017,382,193,-1.014,ENSG00000155875,Stabilizer of axonemal microtubules 1,Cytoplasm,,,,,
SBNO1,,,,no,5.198,4.865,59529,56849,-0.095,ENSG00000139697,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),,,,,,
SCAMP4,,,,no,1.856,1.718,21261,20077,-0.112,ENSG00000227500,Secretory carrier-associated membrane protein 4 (Secretory carrier membrane protein 4),Membrane,,,,,
SCAPER,,,,no,3.435,3.404,39336,39772,-0.013,ENSG00000140386,S phase cyclin A-associated protein in the endoplasmic reticulum (S phase cyclin A-associated protein in the ER) (Zinc finger protein 291),Endoplasmic reticulum,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,,,
SCFD2,,,,no,3.732,3.536,42737,41320,-0.078,ENSG00000184178,Sec1 family domain-containing protein 2 (Syntaxin-binding protein 1-like 1),,,,,,
SCML2,,,,no,0.498,0.551,5701,6437,0.146,ENSG00000102098,Sex comb on midleg-like protein 2,Nucleus,,,,,
SDHAF3,,,,no,4.037,2.972,46238,34724,-0.442,ENSG00000196636,"Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3)",Mitochondrion matrix,,,,,
SENP6,,,,no,15.393,13.962,176293,163147,-0.141,ENSG00000112701,Sentrin-specific protease 6,Nucleus,,,,,
SERPINA12,,,,no,0.041,,464,0,,ENSG00000165953,Serpin A12 (OL-64) (Visceral adipose tissue-derived serine protease inhibitor) (Vaspin) (Visceral adipose-specific serpin),Secreted,,,,,
SERPINA9,,,,no,0.022,,252,0,,ENSG00000170054,Serpin A9 (Centerin) (Germinal center B-cell-expressed transcript 1 protein),Membrane,,,,,
SERPINB7,,,,no,0.059,0.014,678,159,-2.121,ENSG00000166396,Serpin B7 (Megsin) (TP55),Cytoplasm,stem cell of epidermis,,,,
SETD4,,,,no,3.445,4.382,39454,51203,0.347,ENSG00000185917,SET domain-containing protein 4,Cytoplasm,,,,,
SFSWAP,,,,no,2.972,3.973,34034,46429,0.419,ENSG00000061936,"Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)",Nucleus,,,,,
SFXN2,,,,no,4.012,5.548,45953,64832,0.468,ENSG00000156398,Sideroflexin-2,Mitochondrion inner membrane,,,,,
SH3BP5L,,,,no,5.7,6.228,65279,72770,0.128,ENSG00000175137,SH3 domain-binding protein 5-like (SH3BP-5-like),,,,,,
SH3TC2,,,,no,0.099,0.093,1130,1092,-0.078,ENSG00000169247,SH3 domain and tetratricopeptide repeat-containing protein 2,,,,,,
SHBG,,,,no,0.064,0.085,736,993,0.403,ENSG00000129214,Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin),Secreted,,,,,
SHLD1,,,,no,0.566,0.379,6487,4432,-0.578,ENSG00000171984,Shieldin complex subunit 1 (RINN1-REV7-interacting novel NHEJ regulator 3) (Shield complex subunit 1),Chromosome,,,,,
SHLD2,,,,no,7.829,5.774,89663,67473,-0.439,ENSG00000122376,Shieldin complex subunit 2 (Protein FAM35A) (RINN1-REV7-interacting novel NHEJ regulator 2) (Shield complex subunit 2),Nucleus,,,,,
SHOX,,,,no,0.029,,333,0,,ENSG00000185960,Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein),Nucleus,,,,,
SIAE,,,,no,10.176,11.862,116548,138606,0.221,ENSG00000110013,Sialate O-acetylesterase,Lysosome,,,,,
SIMC1,,,,no,1.235,1.309,14139,15292,0.084,ENSG00000170085,SUMO-interacting motif-containing protein 1 (Platform element for inhibition of autolytic degradation),Nucleus,,,,,
SKA3,,,,no,0.331,0.195,3791,2279,-0.763,ENSG00000165480,Spindle and kinetochore-associated protein 3,Cytoplasm,,,,,
SLAMF8,,,,no,0.264,0.306,3023,3575,0.213,ENSG00000158714,SLAM family member 8 (B-lymphocyte activator macrophage expressed) (BCM-like membrane protein) (CD antigen CD353),Membrane,,,,,
