gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
MT1A,,,,no,0.266,0.128,3047,1496,-1.055,ENSG00000205362,Metallothionein-1A (MT-1A) (Metallothionein-IA) (MT-IA),,skeletal muscle satellite stem cell;vasa recta ascending limb cell;mesothelial cell of pleura;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;bronchial smooth muscle cell;smooth muscle cell of prostate;skeletal muscle satellite cell;connective tissue cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;pericyte;mural cell,
NCOA4,,,,no,18.143,16.985,207791,198469,-0.095,ENSG00000266412,Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator 70 kDa protein) (70 kDa AR-activator) (70 kDa androgen receptor coactivator) (Androgen receptor-associated protein of 70 kDa) (Ret-activating protein ELE1),,eosinophil;erythrocyte;enucleate erythrocyte;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;basophil mast progenitor cell,
PRNP,,,,no,10.654,8.002,122021,93501,-0.413,ENSG00000171867,Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230),Cell membrane,pancreatic D cell,ADGRG
SAT2,,,,no,16.266,20.15,186294,235451,0.309,ENSG00000141504,Thialysine N-epsilon-acetyltransferase,Cytoplasm,granulosa cell,
SKP1,,,,no,10.13,7.124,116015,83245,-0.508,ENSG00000113558,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),,sperm,
SLC11A2,,,,no,11.118,12.882,127330,150525,0.213,ENSG00000110911,Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2),Cell membrane,,
SLC26A3,,,,no,0.035,,397,0,,ENSG00000091138,Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3),Apical cell membrane,basal cell of epidermis;stem cell of epidermis;enterocyte;enterocyte of epithelium of large intestine;paneth cell of epithelium of small intestine;luminal cell of prostate epithelium;epithelial cell of sweat gland;mature microglial cell;melanocyte of skin;mature astrocyte;subcutaneous fat cell;sebaceous gland cell,
SLC30A7,,,,no,3.12,3.294,35735,38484,0.078,ENSG00000162695,Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7) (Znt-like transporter 2),Golgi apparatus membrane,,
SLC30A8,,,,no,2.452,1.612,28088,18830,-0.606,ENSG00000164756,Proton-coupled zinc antiporter SLC30A8 (Solute carrier family 30 member 8) (Zinc transporter 8) (ZnT-8),Cytoplasmic vesicle,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;endocrine cell,
SLC39A8,,,,no,17.459,13.836,199955,161667,-0.336,ENSG00000138821,Metal cation symporter ZIP8 (BCG-induced integral membrane protein in monocyte clone 103 protein) (LIV-1 subfamily of ZIP zinc transporter 6) (LZT-Hs6) (Solute carrier family 39 member 8) (Zrt- and Irt-like protein 8) (ZIP-8),Cell membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;acinar cell of salivary gland;mesothelial fibroblast;lung secretory cell,
