gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
GRN,,,,no,12.503,14.058,143198,164261,0.169,ENSG00000030582,Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI),Secreted,"pancreatic A cell;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;osteoclast;granulocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid cell",GRN
HBG1,,,,no,0.032,,362,0,,ENSG00000213934,Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain),,hepatoblast;endocardial cell;blood cell;eosinophil;erythrocyte;enucleate erythrocyte;erythroid lineage cell;proerythroblast;reticulocyte;erythroblast;primitive red blood cell;promyelocyte;myeloid lineage restricted progenitor cell,
HCAR3,,,,no,0.031,0.021,360,242,-0.602,ENSG00000255398,Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2),Cell membrane,stem cell of epidermis;epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell;basophil,
HCK,,,,no,1.351,1.907,15473,22278,0.497,ENSG00000101336,Tyrosine-protein kinase HCK,Cell membrane,"brush cell;intestinal tuft cell;tuft cell of colon;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",
HDAC2,,,,no,14.86,13.099,170186,153060,-0.182,ENSG00000196591,Histone deacetylase 2 (HD2),Nucleus,glioblast;Schwann cell precursor;neural crest cell;basophil mast progenitor cell;enteric neuron,
HDC,,,,no,0.064,0.092,729,1080,0.538,ENSG00000140287,Histidine decarboxylase (HDC),,"granulocyte;basophil;eosinophil;mast cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;granulocytopoietic cell;neuron",
HLX,,,,no,1.969,1.932,22549,22572,-0.027,ENSG00000136630,H2.0-like homeobox protein (Homeobox protein HB24) (Homeobox protein HLX1),Nucleus,mesodermal cell;immature neutrophil,
HMGA1,,,,no,5.065,4.995,58009,58364,-0.02,ENSG00000137309,High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R),Nucleus;Chromosome,endothelial cell of umbilical vein;epithelial cell of urethra;eosinophil;professional antigen presenting cell;dendritic cell;large pre-B-II cell;erythroid progenitor cell;proerythroblast;primitive red blood cell;basophil mast progenitor cell;early lymphoid progenitor;fraction A pre-pro B cell,
HMGB2,,,,no,0.558,0.318,6396,3717,-0.812,ENSG00000164104,High mobility group protein B2 (High mobility group protein 2) (HMG-2),Nucleus,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;large pre-B-II cell;promonocyte;erythroid lineage cell;primitive red blood cell;myelocyte;hematopoietic precursor cell;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",
HPGD,,,,no,0.212,0.153,2432,1789,-0.472,ENSG00000164120,15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH),Cytoplasm,epithelial cell;enterocyte of epithelium of small intestine;lung endothelial cell;type B pancreatic cell;taste receptor cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree;melanocyte;basophil;eosinophil;mast cell;neuron;bladder cell,
HPGDS,,,,no,0.362,0.298,4150,3479,-0.283,ENSG00000163106,Hematopoietic prostaglandin D synthase (H-PGDS),Cytoplasm,"pancreatic ductal cell;brush cell;intestinal tuft cell;tuft cell of colon;Hofbauer cell;granulocyte;basophil;eosinophil;mast cell;group 2 innate lymphoid cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic multipotent progenitor cell",
HRH2,,,,no,0.389,0.322,4460,3766,-0.273,ENSG00000113749,Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I),Cell membrane,granulocyte;immature neutrophil;connective tissue cell;fibroblast;fibroblast of lung,Histamine
HSPD1,,,,no,36.856,35.731,422107,417503,-0.045,ENSG00000144381,"60 kDa heat shock protein, mitochondrial",Mitochondrion matrix,professional antigen presenting cell;dendritic cell;mast cell;mucosal type mast cell;proerythroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,
IDO1,,,,no,0.041,0.039,469,458,-0.063,ENSG00000131203,"Indoleamine 2,3-dioxygenase 1 (IDO-1)",Cytoplasm,"lens epithelial cell;anterior lens cell;mononuclear phagocyte;hematopoietic cell;blood cell;granulocyte;leukocyte;CD141-positive myeloid dendritic cell;Langerhans cell;myeloid dendritic cell, human;myeloid leukocyte;myeloid cell",
IKZF1,,,,no,1.121,1.479,12839,17286,0.4,ENSG00000185811,DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1),Nucleus,"hematopoietic cell;immature neutrophil;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;common dendritic progenitor;DN1 thymic pro-T cell;common lymphoid progenitor",
IL13,,,,no,0.222,0.067,2538,780,-1.731,ENSG00000169194,Interleukin-13 (IL-13),Secreted,"mast cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;group 2 innate lymphoid cell",IL4
IL17RA,,,,no,3.551,4.276,40675,49965,0.268,ENSG00000177663,Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217),Secreted,"classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;monocyte;CD14-positive monocyte;promonocyte;myeloid lineage restricted progenitor cell",IL17
IL18R1,,,,no,0.512,0.345,5860,4034,-0.568,ENSG00000115604,Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1),Membrane,granulocyte;neutrophil;mast cell;group 3 innate lymphoid cell,IL1
IL1RL1,,,,no,1.634,0.204,18718,2389,-2.999,ENSG00000115602,Interleukin-1 receptor-like 1,Secreted,vasa recta ascending limb cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;basophil;eosinophil;mast cell;mucosal type mast cell;group 2 innate lymphoid cell;fibroblast of breast,IL1
