gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
TOM1L2,,,,no,3.446,3.927,39462,45885,0.189,ENSG00000175662,TOM1-like protein 2 (Target of Myb-like protein 2),,corneal epithelial cell;podocyte,
TP63,,,,no,0.041,0.021,465,248,-0.936,ENSG00000073282,Tumor protein 63 (p63) (Chronic ulcerative stomatitis protein) (CUSP) (Keratinocyte transcription factor KET) (Transformation-related protein 63) (TP63) (Tumor protein p73-like) (p73L) (p40) (p51),Nucleus,stem cell;basal cell;basal cell of epidermis;respiratory basal cell;stem cell of epidermis;basal epithelial cell of prostatic duct;bladder urothelial cell;basal epithelial cell of tracheobronchial tree;skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;papillary tips cell,
TPPP3,,,,no,2.754,3.096,31536,36177,0.169,ENSG00000159713,Tubulin polymerization-promoting protein family member 3 (TPPP/p20),Cytoplasm,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;type B pancreatic cell;bronchial epithelial cell;endosteal cell;bronchial smooth muscle cell;reticular cell;inflammatory cell;lung ciliated cell,
TRAFD1,,,,no,3.458,4.118,39604,48122,0.252,ENSG00000135148,TRAF-type zinc finger domain-containing protein 1 (Protein FLN29),,duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell,
TRIB1,,,,no,1.729,0.733,19802,8561,-1.239,ENSG00000173334,Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1),,skeletal muscle satellite stem cell;ileal goblet cell;medullary thymic epithelial cell;skeletal muscle satellite cell;IgA plasma cell,
TRPM1,,,,no,0.025,,287,0,,ENSG00000134160,Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1),Cell membrane,pigmented epithelial cell;pigmented ciliary epithelial cell;retinal pigment epithelial cell;melanocyte;melanocyte of skin;neuron;interneuron;bipolar neuron;retinal bipolar neuron;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,
TRPM3,,,,no,0.263,0.105,3010,1229,-1.321,ENSG00000083067,Transient receptor potential cation channel subfamily M member 3 (Long transient receptor potential channel 3) (LTrpC-3) (LTrpC3) (Melastatin-2) (MLSN2),Cell membrane,ependymal cell;choroid plexus epithelial cell;pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;retinal pigment epithelial cell;smooth muscle cell of sphincter of pupil;astrocyte;Bergmann glial cell;ganglion interneuron;cerebellar granule cell;neuronal brush cell,
TRPM6,,,,no,0.376,0.326,4305,3812,-0.204,ENSG00000119121,Transient receptor potential cation channel subfamily M member 6,Cell membrane,kidney distal convoluted tubule epithelial cell,
TRPM7,,,,no,9.065,8.254,103826,96445,-0.135,ENSG00000092439,Transient receptor potential cation channel subfamily M member 7,Membrane,kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;ciliary muscle cell,
TRPM8,,,,no,0.109,0.059,1249,692,-0.881,ENSG00000144481,Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8),Cell membrane,epithelial cell of prostate;luminal cell of prostate epithelium,
TRPS1,,,,no,1.053,1.279,12058,14943,0.281,ENSG00000104447,Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79),Nucleus,ependymal cell;epithelial cell of sweat gland;immature innate lymphoid cell;astrocyte;Bergmann glial cell;fibroblast of cardiac tissue;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
TSLP,,,,no,0.21,0.181,2404,2113,-0.215,ENSG00000145777,Thymic stromal lymphopoietin,Secreted,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of bronchus;brush cell of trachebronchial tree;brush cell of bronchus;basal cell of prostate epithelium;basal epithelial cell of tracheobronchial tree,IL2
TSPAN12,,,,no,2.572,2.094,29461,24465,-0.297,ENSG00000106025,Tetraspanin-12 (Tspan-12) (Tetraspan NET-2) (Transmembrane 4 superfamily member 12),Cell membrane,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;parietal epithelial cell,
TSPAN8,,,,no,4.601,2.745,52691,32070,-0.745,ENSG00000127324,Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029),Membrane,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intestine goblet cell;large intestine goblet cell;colon goblet cell;ileal goblet cell;paneth cell;paneth cell of colon;paneth cell of epithelium of small intestine;duodenum glandular cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;transit amplifying cell of colon;transit amplifying cell of small intestine,
