gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
GDF5,,,,no,0.029,,328,0,,ENSG00000125965,Growth/differentiation factor 5 (GDF-5) (Bone morphogenetic protein 14) (BMP-14) (Cartilage-derived morphogenetic protein 1) (CDMP-1) (Lipopolysaccharide-associated protein 4) (LAP-4) (LPS-associated protein 4) (Radotermin),Secreted,,BMP
GDF6,,,,no,0.336,0.203,3846,2372,-0.726,ENSG00000156466,Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16),Secreted,,BMP
GDF7,,,,no,0.443,0.121,5069,1419,-1.866,ENSG00000143869,Growth/differentiation factor 7 (GDF-7),Secreted,uterine smooth muscle cell;stromal cell;stromal cell of ovary,BMP
INHBA,,,,no,0.255,0.167,2915,1953,-0.607,ENSG00000122641,Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF),Secreted,endocardial cell;alveolar macrophage;lung macrophage;myometrial cell;smooth muscle cell of prostate;trophoblast giant cell;fibroblast of connective tissue of glandular part of prostate,ACTIVIN
INHBB,,,,no,1.79,2.391,20497,27943,0.418,ENSG00000163083,Inhibin beta B chain (Activin beta-B chain),Secreted,Sertoli cell;mesothelial cell,ACTIVIN
LRP5,,,,no,4.784,4.444,54794,51928,-0.106,ENSG00000162337,Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7),Membrane,,WNT
LRP6,,,,no,11.025,8.638,126265,100934,-0.352,ENSG00000070018,Low-density lipoprotein receptor-related protein 6 (LRP-6),Cell membrane,,WNT
MCAM,,,,no,6.168,4.668,70644,54548,-0.402,ENSG00000076706,Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146),Membrane,blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;gut endothelial cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;bronchial smooth muscle cell;extravillous trophoblast;pericyte;renal interstitial pericyte;mural cell,ncWNT
NOTCH1,,,,no,6.25,5.839,71582,68226,-0.098,ENSG00000148400,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1),Cell membrane,,CNTN;NOTCH
NOTCH2,,,,no,13.495,13.943,154560,162926,0.047,ENSG00000134250,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2),Nucleus,,CNTN;NOTCH
NOTCH3,,,,no,2.55,2.695,29204,31490,0.08,ENSG00000074181,Neurogenic locus notch homolog protein 3 (Notch 3),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;smooth muscle cell of the pulmonary artery;myometrial cell;bronchial smooth muscle cell;smooth muscle myoblast;pericyte;renal interstitial pericyte;mural cell,NOTCH
