gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
GREM1,,,,no,1.086,0.402,12433,4697,-1.433,ENSG00000166923,"Gremlin-1 (Cell proliferation-inducing gene 2 protein) (Cysteine knot superfamily 1, BMP antagonist 1) (DAN domain family member 2) (Down-regulated in Mos-transformed cells protein) (Increased in high glucose protein 2) (IHG-2)",Secreted,skeletal muscle satellite stem cell;cell of skeletal muscle;skeletal muscle satellite cell,
HTRA1,,,,no,6.655,7.048,76223,82352,0.083,ENSG00000166033,Serine protease HTRA1,Cell membrane,podocyte;retina horizontal cell;reticular cell;tendon cell,
IGFBP2,,,,no,26.323,28.933,301480,338079,0.136,ENSG00000115457,Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2),Secreted,glioblast;Schwann cell precursor;respiratory basal cell;basal cell of epithelium of bronchus;ciliated cell of the bronchus;lung neuroendocrine cell;pancreatic PP cell;PP cell;fallopian tube secretory epithelial cell;granulosa cell;brush cell of trachea;cortical thymic epithelial cell;bronchial epithelial cell;Leydig cell;decidual cell;immature Schwann cell;fibroblast of connective tissue of glandular part of prostate;stromal cell of ovary,
IL15,,,,no,1.094,1.048,12533,12244,-0.063,ENSG00000164136,Interleukin-15 (IL-15),Cytoplasm;Nucleus,decidual cell;glutamatergic neuron;stromal cell,IL2
IL6,,,,no,0.419,0.217,4797,2534,-0.95,ENSG00000136244,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;vascular associated smooth muscle cell;smooth muscle cell of prostate;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mural cell,IL6
INHBA,,,,no,0.255,0.167,2915,1953,-0.607,ENSG00000122641,Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF),Secreted,endocardial cell;alveolar macrophage;lung macrophage;myometrial cell;smooth muscle cell of prostate;trophoblast giant cell;fibroblast of connective tissue of glandular part of prostate,ACTIVIN
ITGA2,,,,no,2.525,2.233,28924,26096,-0.177,ENSG00000164171,Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b),Membrane,basal cell;luminal epithelial cell of mammary gland;basal epithelial cell of prostatic duct;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of prostate;basal cell of prostate epithelium;mammary gland epithelial cell;epithelial cell of urethra;conjunctival epithelial cell,COLLAGEN;LAMININ;CHAD;CSPG4
ITGA5,,,,no,3.693,3.113,42298,36375,-0.247,ENSG00000161638,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;smooth muscle cell of prostate;extravillous trophoblast;fibroblast of breast,CD40;SPP1;VISFATIN;ANGPTL;ANGPT;FN1
ITGAV,,,,no,7.177,5.973,82199,69797,-0.265,ENSG00000138448,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51),Cell membrane,pigmented ciliary epithelial cell;type B pancreatic cell;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell,NRG;IGF;SPP1;ANGPTL;PTN;PERIOSTIN;COLLAGEN;FN1;LAMININ;THBS;VTN;TENASCIN;DSPP;VWF;BSP;DMP1;CD23;JAM;L1CAM;THY1;ADGRA;ADGRB;ADGRE;MMP
ITGB3,,,,no,0.71,0.636,8132,7431,-0.159,ENSG00000259207,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Cell membrane,blood cell;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte,NRG;IGF;CD40;SPP1;ANGPTL;PTN;PERIOSTIN;FN1;THBS;VTN;TENASCIN;VWF;BSP;DMP1;CD23;L1CAM;THY1;ADGRA;ADGRE;MMP
