gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
KCNJ10,,,no,ENSG00000177807,"ATP-sensitive inward rectifier potassium channel 10 (ATP-dependent inwardly rectifying potassium channel Kir4.1) (Inward rectifier K(+) channel Kir1.2) (Potassium channel, inwardly rectifying subfamily J member 10)",Membrane,,,0.057,0.022,0.057,658,258,-1.38,curated,ion_channels,True
KCNJ11,,,no,ENSG00000187486,"ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)",Membrane,,,1.585,0.987,1.585,18151,11533,-0.683,curated,ion_channels,False
KCNJ12,,,no,ENSG00000184185,"ATP-sensitive inward rectifier potassium channel 12 (Inward rectifier K(+) channel Kir2.2) (IRK-2) (Inward rectifier K(+) channel Kir2.2v) (Potassium channel, inwardly rectifying subfamily J member 12)",Membrane,,,0.106,0.126,0.126,1213,1473,0.251,curated,ion_channels,True
KCNJ15,,,no,ENSG00000157551,"ATP-sensitive inward rectifier potassium channel 15 (Inward rectifier K(+) channel Kir1.3) (Inward rectifier K(+) channel Kir4.2) (Potassium channel, inwardly rectifying subfamily J member 15)",Membrane,epithelial cell of proximal tubule;cholangiocyte;kidney collecting duct principal cell;renal principal cell;type II pneumocyte;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle thin descending limb epithelial cell;kidney cell;lung secretory cell,,5.832,7.055,7.055,66789,82440,0.275,curated,ion_channels,False
KCNJ16,,,no,ENSG00000153822,"Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)",Membrane,epithelial cell;epithelial cell of proximal tubule;kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell;kidney collecting duct cell,,4.115,3.782,4.115,47134,44193,-0.122,curated,ion_channels,False
KCNJ2,,,no,ENSG00000123700,"Inward rectifier potassium channel 2 (Cardiac inward rectifier potassium channel) (Inward rectifier K(+) channel Kir2.1) (IRK-1) (hIRK1) (Potassium channel, inwardly rectifying subfamily J member 2)",Membrane,,,0.425,0.411,0.425,4866,4799,-0.049,curated,ion_channels,True
KCNJ6,,,no,ENSG00000157542,"G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)",Membrane,type EC enteroendocrine cell;retina horizontal cell;stellate neuron,,0.373,0.226,0.373,4274,2642,-0.723,curated,ion_channels,False
KCNJ8,,,no,ENSG00000121361,"ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)",Membrane,interstitial cell of Cajal;capillary endothelial cell;pancreatic D cell;cerebral cortex endothelial cell;pericyte;mural cell,,12.276,9.242,12.276,140598,107987,-0.41,curated,ion_channels,False
KCNJ9,,,no,ENSG00000162728,"G protein-activated inward rectifier potassium channel 3 (GIRK-3) (Inward rectifier K(+) channel Kir3.3) (Potassium channel, inwardly rectifying subfamily J member 9)",Membrane,,,0.026,0.01,0.026,301,120,-1.356,curated,ion_channels,True
KCNK1,,,no,ENSG00000135750,Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1),Cell membrane,epithelial cell of urethra;cerebellar granule cell,,1.47,0.86,1.47,16832,10054,-0.772,curated,ion_channels,False
KCNK10,,,no,ENSG00000100433,Potassium channel subfamily K member 10 (Outward rectifying potassium channel protein TREK-2) (TREK-2 K(+) channel subunit),Membrane,,,0.454,0.35,0.454,5200,4095,-0.374,curated,ion_channels,True
KCNK13,,,no,ENSG00000152315,Potassium channel subfamily K member 13 (Tandem pore domain halothane-inhibited potassium channel 1) (THIK-1),Membrane,,,0.317,0.256,0.317,3630,2991,-0.308,curated,ion_channels,True
KCNK16,,,no,ENSG00000095981,Potassium channel subfamily K member 16 (2P domain potassium channel Talk-1) (TWIK-related alkaline pH-activated K(+) channel 1) (TALK-1),Membrane,,,0.714,0.679,0.714,8178,7933,-0.073,curated,ion_channels,True
KCNK17,,,no,ENSG00000124780,Potassium channel subfamily K member 17 (2P domain potassium channel Talk-2) (Acid-sensitive potassium channel protein TASK-4) (TWIK-related acid-sensitive K(+) channel 4) (TWIK-related alkaline pH-activated K(+) channel 2) (TALK-2),Membrane,,,0.375,0.566,0.566,4296,6611,0.593,curated,ion_channels,True
KCNK18,,,no,ENSG00000186795,Potassium channel subfamily K member 18 (TWIK-related individual potassium channel) (TWIK-related spinal cord potassium channel),Cell membrane,,,0.033,,0.033,373,0,,curated,ion_channels,True
