gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
HEXB,,,no,True,ENSG00000049860,Beta-hexosaminidase subunit beta,Lysosome,pancreatic ductal cell;alveolar macrophage;lung macrophage;placental villous trophoblast;syncytiotrophoblast cell,,19.526,16.191,19.526,223634,189184,-0.27
HNF1B,,,no,True,ENSG00000275410,Hepatocyte nuclear factor 1-beta (HNF-1-beta) (HNF-1B) (Homeoprotein LFB3) (Transcription factor 2) (TCF-2) (Variant hepatic nuclear factor 1) (vHNF1),Nucleus,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell,,11.215,17.919,17.919,128449,209380,0.676
HPGDS,,,no,True,ENSG00000163106,Hematopoietic prostaglandin D synthase (H-PGDS),Cytoplasm,"pancreatic ductal cell;brush cell;intestinal tuft cell;tuft cell of colon;Hofbauer cell;granulocyte;basophil;eosinophil;mast cell;group 2 innate lymphoid cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic multipotent progenitor cell",,0.362,0.298,0.362,4150,3479,-0.283
LAD1,,,no,True,ENSG00000159166,Ladinin-1 (Lad-1) (Linear IgA disease antigen) (LADA),Secreted,pancreatic ductal cell;keratinocyte;stratified epithelial cell;epidermal cell,,14.243,16.255,16.255,163123,189940,0.191
MUC1,,,no,True,ENSG00000185499,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227),Apical cell membrane,goblet cell;respiratory goblet cell;tracheal goblet cell;fallopian tube secretory epithelial cell;duodenum glandular cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;kidney loop of Henle thin ascending limb epithelial cell;serous cell of epithelium of trachea,,7.475,10.505,10.505,85610,122752,0.491
MUC5B,,,no,True,ENSG00000117983,"Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",Secreted,intestinal crypt stem cell of colon;lung goblet cell;intestine goblet cell;large intestine goblet cell;colon goblet cell;brush cell of trachebronchial tree;epithelial cell of large intestine;club cell;tracheobronchial serous cell;serous cell of epithelium of trachea,,0.182,0.262,0.262,2079,3064,0.531
P4HB,,,no,True,ENSG00000185624,Protein disulfide-isomerase (PDI),Endoplasmic reticulum,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pancreatic acinar cell;acinar cell;microfold cell of epithelium of small intestine;tracheobronchial serous cell;serous cell of epithelium of bronchus;lung secretory cell,GALECTIN,79.5,71.201,79.5,910512,831959,-0.159
PABPC4,,,no,True,ENSG00000090621,Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP),Cytoplasm,intestinal crypt stem cell of large intestine;pancreatic acinar cell;acinar cell;IgA plasma cell,,37.964,42.059,42.059,434796,491449,0.148
PDIA2,,,no,True,ENSG00000185615,Protein disulfide-isomerase A2,Endoplasmic reticulum lumen,pancreatic acinar cell;glandular epithelial cell;paneth cell;acinar cell;duodenum glandular cell,,38.416,31.583,38.416,439979,369042,-0.283
PDX1,,,no,True,ENSG00000139515,Pancreas/duodenum homeobox protein 1 (PDX-1) (Glucose-sensitive factor) (GSF) (Insulin promoter factor 1) (IPF-1) (Insulin upstream factor 1) (IUF-1) (Islet/duodenum homeobox-1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1),Nucleus;Cytoplasm,pancreatic ductal cell;pancreatic endocrine cell;type B pancreatic cell,,1.183,0.885,1.183,13551,10342,-0.419
