gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
CXCR4,,,no,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,0.9,4.239,4.239,10310,49526,2.235,curated,hypoxia_HIF,False
CYBB,,,no,ENSG00000165168,Cytochrome b-245 heavy chain,Cell membrane,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;immature neutrophil;leukocyte;professional antigen presenting cell;plasmacytoid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell;promonocyte;myelocyte;granulocytopoietic cell",,3.063,4.606,4.606,35082,53819,0.588,curated,hypoxia_HIF,False
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.975,1.594,1.594,11171,18628,0.709,curated,hypoxia_HIF,False
DTNA,,,no,ENSG00000134769,Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3),Cytoplasm;Synapse;Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast;astrocyte;Bergmann glial cell;mature astrocyte,,6.055,4.89,6.055,69353,57140,-0.308,curated,hypoxia_HIF,False
EDN1,,,no,ENSG00000078401,Endothelin-1 (Preproendothelin-1) (PPET1),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;endothelial cell of vascular tree;endothelial cell of uterus;cerebral cortex endothelial cell,EDN,2.22,1.82,2.22,25420,21270,-0.286,curated,hypoxia_HIF,False
EGF,,,no,ENSG00000138798,Pro-epidermal growth factor (EGF),Membrane,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell,EGF,9.107,11.806,11.806,104305,137953,0.374,curated,hypoxia_HIF,False
EGFR,,,no,ENSG00000146648,Epidermal growth factor receptor,Cell membrane,basal epithelial cell of prostatic duct;trophoblast giant cell;syncytiotrophoblast cell,EGF;EPGN,6.755,6.097,6.755,77364,71247,-0.148,curated,hypoxia_HIF,False
EGLN1,,,no,ENSG00000135766,Egl nine homolog 1,Cytoplasm,,,13.123,9.049,13.123,150296,105738,-0.536,curated,hypoxia_HIF,True
EGLN3,,,no,ENSG00000129521,Prolyl hydroxylase EGLN3,Nucleus,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;melanocyte of skin,,0.686,0.773,0.773,7860,9033,0.172,curated,hypoxia_HIF,False
EIF4E,,,no,ENSG00000151247,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Cytoplasm,,,8.075,5.819,8.075,92483,67991,-0.473,curated,hypoxia_HIF,True
