gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
STAT1,,,no,True,ENSG00000115415,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),Cytoplasm,"pancreatic A cell;lens fiber cell;secondary lens fiber;intermediate monocyte;T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human",,11.297,15.53,15.53,129387,181465,0.459
STAT2,,,no,True,ENSG00000170581,Signal transducer and activator of transcription 2 (p113),Cytoplasm,,,4.249,6.034,6.034,48659,70510,0.506
STAT3,,,no,True,ENSG00000168610,Signal transducer and activator of transcription 3 (Acute-phase response factor),Cytoplasm,,,24.177,23.625,24.177,276903,276050,-0.033
STAT4,,,no,True,ENSG00000138378,Signal transducer and activator of transcription 4,Cytoplasm;Nucleus,"T-helper 1 cell;activated CD8-positive, alpha-beta T cell",,0.588,0.813,0.813,6739,9502,0.467
STAT5A,,,no,True,ENSG00000126561,Signal transducer and activator of transcription 5A,Cytoplasm,"megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian;myeloid lineage restricted progenitor cell;common myeloid progenitor;subcutaneous fat cell",,3.094,4.484,4.484,35439,52395,0.535
STAT5B,,,no,True,ENSG00000173757,Signal transducer and activator of transcription 5B,Cytoplasm,,,3.789,3.777,3.789,43391,44139,-0.004
STAT6,,,no,True,ENSG00000166888,Signal transducer and activator of transcription 6 (IL-4 Stat),Cytoplasm;Nucleus,,,14.104,17.573,17.573,161529,205341,0.317
TRIM21,,,no,True,ENSG00000132109,E3 ubiquitin-protein ligase TRIM21,Cytoplasm,,,2.196,2.493,2.493,25152,29127,0.183
TRIM5,,,no,True,ENSG00000132256,Tripartite motif-containing protein 5,Cytoplasm,,,8.765,8.312,8.765,100385,97120,-0.077
TYK2,,,no,True,ENSG00000105397,Non-receptor tyrosine-protein kinase TYK2,,,,6.969,8.633,8.633,79812,100880,0.309
ZBP1,,,no,True,ENSG00000124256,Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors) (DAI) (Tumor stroma and activated macrophage protein DLM-1),Cytoplasm,"mature B cell;plasmablast;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-negative, CD56-bright natural killer cell, human",,0.042,0.144,0.144,477,1685,1.792
