gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
CR1,,,no,ENSG00000203710,Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35),Membrane,kidney glomerular epithelial cell;podocyte;follicular dendritic cell;blood cell;granulocyte;neutrophil;follicular B cell;immature innate lymphoid cell,,0.296,0.395,0.395,3395,4610,0.412,curated,complement_extended,False
CR2,,,no,ENSG00000117322,Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21),Cell membrane,follicular dendritic cell;mature B cell;memory B cell;follicular B cell;B cell,COMPLEMENT;CD23,0.059,0.05,0.059,679,586,-0.241,curated,complement_extended,False
CSRP1,,,no,ENSG00000159176,Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;smooth muscle cell;vascular associated smooth muscle cell;enteric smooth muscle cell;smooth muscle fiber of ileum;uterine smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;myofibroblast cell,,11.682,11.417,11.682,133795,133409,-0.033,curated,complement_extended,False
CTSC,,,no,ENSG00000109861,Dipeptidyl peptidase 1,Lysosome,"type II pneumocyte;club cell;alveolar macrophage;lung macrophage;Hofbauer cell;plasmacytoid dendritic cell, human;lung secretory cell",,6.391,6.951,6.951,73200,81219,0.121,curated,complement_extended,False
CTSH,,,no,ENSG00000103811,Pro-cathepsin H,Lysosome,"intrahepatic cholangiocyte;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;urothelial cell;bladder urothelial cell;follicular dendritic cell;conventional dendritic cell;myeloid dendritic cell, human;mature conventional dendritic cell;lung secretory cell;bladder cell",,5.948,6.342,6.342,68120,74106,0.093,curated,complement_extended,False
CTSL,,,no,ENSG00000135047,Procathepsin L,Lysosome,elicited macrophage;inflammatory macrophage;alternatively activated macrophage;lung macrophage;Hofbauer cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;leukocyte;myeloid leukocyte;mast cell;mucosal type mast cell;myeloid cell;fibroblast;pancreatic stellate cell;fibroblast of mammary gland;fibroblast of breast,,14.526,15.423,15.423,166367,180209,0.086,curated,complement_extended,False
DOCK9,,,no,ENSG00000088387,Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1),Endomembrane system,lung endothelial cell;endothelial cell;endothelial cell of vascular tree;dermis microvascular lymphatic vessel endothelial cell;cardiac endothelial cell,,2.857,2.977,2.977,32719,34785,0.059,curated,complement_extended,False
DPP4,,,no,ENSG00000197635,Dipeptidyl peptidase 4,Secreted,enterocyte of epithelium of small intestine;type EC enteroendocrine cell;enteroendocrine cell of small intestine;glutamatergic neuron;mesothelial fibroblast,,1.689,1.501,1.689,19339,17542,-0.17,curated,complement_extended,False
DUSP5,,,no,ENSG00000138166,Dual specificity protein phosphatase 5,Nucleus,epithelial cell of lacrimal sac;urothelial cell;bladder urothelial cell;club cell;epithelial cell of urethra;conjunctival epithelial cell;IgA plasma cell;bladder cell,,4.194,3.898,4.194,48035,45549,-0.106,curated,complement_extended,False
DUSP6,,,no,ENSG00000139318,Dual specificity protein phosphatase 6,Cytoplasm,classical monocyte;monocyte;group 2 innate lymphoid cell,,2.861,2.805,2.861,32772,32778,-0.029,curated,complement_extended,False
ELANE,,,no,ENSG00000197561,Neutrophil elastase,Cytoplasmic vesicle,bone marrow cell;granulocyte;neutrophil;immature neutrophil;promyelocyte;hematopoietic precursor cell;granulocytopoietic cell;common myeloid progenitor;reticular cell,,0.072,0.02,0.072,828,229,-1.883,curated,complement_extended,False
F2R,,,no,ENSG00000181104,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),Cell membrane,endothelial tip cell;endothelial cell of umbilical vein;endocardial cell;pancreatic stellate cell,PARs;KLK;PROCR,1.599,1.326,1.599,18309,15489,-0.27,curated,complement_extended,False
F2RL3,,,no,ENSG00000127533,Proteinase-activated receptor 4 (PAR-4) (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel,PARs,0.947,0.86,0.947,10846,10048,-0.139,curated,complement_extended,False
F5,,,no,ENSG00000198734,"Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor)",Secreted,non-pigmented ciliary epithelial cell;hepatocyte,,0.98,0.914,0.98,11225,10676,-0.101,curated,complement_extended,False
F8,,,no,ENSG00000185010,Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component),Secreted,squamous epithelial cell;blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;cardiac endothelial cell,,0.9,1.185,1.185,10303,13847,0.398,curated,complement_extended,False
FCN1,,,no,ENSG00000085265,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,0.158,0.296,0.296,1808,3459,0.907,curated,complement_extended,False
FCN2,,,no,ENSG00000160339,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),Secreted,endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid,,0.1,0.091,0.1,1149,1060,-0.145,curated,complement_extended,False
FDX1,,,no,ENSG00000137714,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",Mitochondrion matrix,glandular epithelial cell;cortical cell of adrenal gland;sperm;syncytiotrophoblast cell,,9.587,7.079,9.587,109796,82713,-0.438,curated,complement_extended,False
FYN,,,no,ENSG00000010810,Tyrosine-protein kinase Fyn,Cytoplasm,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;immature natural killer cell;DN1 thymic pro-T cell;brown preadipocyte;fibro/adipogenic progenitor cell,,2.617,3.046,3.046,29968,35596,0.219,curated,complement_extended,False
GATA3,,,no,ENSG00000107485,Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3),Nucleus,basal cell of epidermis;kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;taste receptor cell;kidney connecting tubule epithelial cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;T-helper 2 cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;early T lineage precursor;neuron;papillary tips cell;kidney collecting duct cell,,0.061,0.054,0.061,703,631,-0.185,curated,complement_extended,False
