gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
NUP214,,,no,ENSG00000126883,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),Nucleus,promonocyte,,2.171,2.283,2.283,24867,26679,0.073,curated,glycolysis_glucose_metabolism,False
NUP62,,,no,ENSG00000213024,Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62),Nucleus,,,2.366,2.856,2.856,27092,33367,0.272,curated,glycolysis_glucose_metabolism,True
NUP93,,,no,ENSG00000102900,Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93),Nucleus membrane,,,2.979,2.724,2.979,34124,31824,-0.13,curated,glycolysis_glucose_metabolism,True
NUP98,,,no,ENSG00000110713,Nuclear pore complex protein Nup98-Nup96,Nucleus membrane,,,9.126,9.056,9.126,104516,105815,-0.011,curated,glycolysis_glucose_metabolism,True
P4HA1,,,no,ENSG00000122884,Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1),Endoplasmic reticulum lumen,mesothelial fibroblast;osteoblast,,6.928,6.103,6.928,79341,71310,-0.183,curated,glycolysis_glucose_metabolism,False
PAM,,,no,ENSG00000145730,Peptidyl-glycine alpha-amidating monooxygenase (PAM),Cytoplasmic vesicle,pancreatic PP cell;PP cell;regular atrial cardiac myocyte;cardiac muscle myoblast,,11.053,8.75,11.053,126588,102238,-0.337,curated,glycolysis_glucose_metabolism,False
PC,,,no,ENSG00000173599,"Pyruvate carboxylase, mitochondrial",Mitochondrion matrix,,,1.5,2.073,2.073,17184,24218,0.466,curated,glycolysis_glucose_metabolism,True
PDHA1,,,no,ENSG00000131828,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell of colon,,13.818,13.22,13.818,158260,154471,-0.064,curated,glycolysis_glucose_metabolism,True
PDHB,,,no,ENSG00000168291,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B)",Mitochondrion matrix,epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte,,9.245,8.602,9.245,105879,100510,-0.104,curated,glycolysis_glucose_metabolism,False
PFKFB3,,,no,ENSG00000170525,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2)",,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney loop of Henle thin ascending limb epithelial cell;secondary lens fiber;kidney loop of Henle thin descending limb epithelial cell;inflammatory macrophage;liver dendritic cell;fat cell;subcutaneous fat cell;adipocyte of breast;kidney collecting duct cell,,4.454,5.828,5.828,51016,68099,0.388,curated,glycolysis_glucose_metabolism,False
