gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
MFAP5,,,no,True,ENSG00000197614,Microfibrillar-associated protein 5 (MFAP-5) (MP25) (Microfibril-associated glycoprotein 2) (MAGP-2),Secreted,mesenchymal stem cell;skeletal muscle fibroblast;extravillous trophoblast;syncytiotrophoblast cell;connective tissue cell;fibroblast;reticular cell;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;skin fibroblast;tendon cell;adventitial cell,,0.604,0.344,0.604,6918,4022,-0.811
MMP11,,,no,True,ENSG00000099953,Stromelysin-3 (SL-3) (ST3),Secreted,epithelial cell of uterus;uterine smooth muscle cell;trophoblast giant cell;stromal cell;stromal cell of ovary;interstitial cell of ovary,,0.226,0.222,0.226,2588,2597,-0.024
MMP12,,,no,True,ENSG00000262406,Macrophage metalloelastase (MME),Secreted,colon macrophage;mononuclear phagocyte,,0.037,0.011,0.037,421,125,-1.781
MMP13,,,no,True,ENSG00000137745,Collagenase 3,Secreted,respiratory basal cell;basal epithelial cell of tracheobronchial tree;preosteoblast,,0.044,,0.044,503,0,
MMP14,,,no,True,ENSG00000157227,Matrix metalloproteinase-14 (MMP-14),Membrane,endosteal cell;osteoclast;preosteoblast;extravillous trophoblast;decidual cell;connective tissue cell;fibroblast;keratocyte;pulmonary interstitial fibroblast;pancreatic stellate cell;fibroblast of lung;fibroblast of mammary gland,,20.536,21.743,21.743,235196,254059,0.082
MMP21,,,no,True,ENSG00000154485,Matrix metalloproteinase-21 (MMP-21),Secreted,,,0.159,0.059,0.159,1822,695,-1.419
MMP8,,,no,True,ENSG00000118113,Neutrophil collagenase,Cytoplasmic granule;Secreted,blood cell;granulocyte;immature neutrophil;myelocyte;granulocytopoietic cell,,0.049,0.015,0.049,556,178,-1.672
MMP9,,,no,True,ENSG00000100985,Matrix metalloproteinase-9 (MMP-9),Secreted,osteoclast;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;Langerhans cell;intermediate monocyte;myelocyte;granulocytopoietic cell,,0.037,0.076,0.076,419,884,1.048
SDC4,,,no,True,ENSG00000124145,Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein),Secreted,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell;serous cell of epithelium of trachea,ANGPTL;MK;PTN;COLLAGEN;FN1;THBS;TENASCIN,16.859,13.533,16.859,193090,158133,-0.317
SV2C,,,no,True,ENSG00000122012,Synaptic vesicle glycoprotein 2C,Cytoplasmic vesicle,retinal ganglion cell;visceromotor neuron,LAMININ,0.032,0.018,0.032,367,215,-0.8
TGM2,,,no,True,ENSG00000198959,Protein-glutamine gamma-glutamyltransferase 2,Cytoplasm,endocardial cell;bronchial smooth muscle cell;trophoblast giant cell;placental villous trophoblast;decidual cell;connective tissue cell;fibroblast;fibroblast of lung;myofibroblast cell;stromal cell;stromal cell of ovary,ADGRG,6.11,3.562,6.11,69980,41620,-0.779
THBS1,,,no,True,ENSG00000137801,Thrombospondin-1 (Glycoprotein G),Secreted,basal cell;myoepithelial cell;myoepithelial cell of mammary gland;pulmonary ionocyte;ionocyte;alternatively activated macrophage;myometrial cell;smooth muscle cell of prostate;intermediate monocyte;reticular cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;tendon cell;salivary gland cell,THBS,22.333,14.254,22.333,255784,166551,-0.648
THBS2,,,no,True,ENSG00000186340,Thrombospondin-2,,connective tissue cell;fibroblast;reticular cell;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of mammary gland;skin fibroblast;fibroblast of breast;mesothelial fibroblast;chondrocyte;inflammatory cell,THBS,1.823,1.682,1.823,20881,19657,-0.116
TIMP2,,,no,True,ENSG00000035862,Metalloproteinase inhibitor 2 (CSC-21K) (Tissue inhibitor of metalloproteinases 2) (TIMP-2),Secreted,mesenchymal stem cell;endosteal cell;surface ectodermal cell;trophoblast giant cell;connective tissue cell;fibroblast;keratocyte;reticular cell;skin fibroblast;tendon cell;adventitial cell,,16.32,11.934,16.32,186913,139447,-0.452
TIMP4,,,no,True,ENSG00000157150,Metalloproteinase inhibitor 4 (Tissue inhibitor of metalloproteinases 4) (TIMP-4),Secreted,capillary endothelial cell,,0.916,0.39,0.916,10492,4558,-1.232
TNC,,,no,True,ENSG00000041982,Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C),Secreted,respiratory basal cell;basal cell of epithelium of trachea;ependymal cell;preosteoblast;muscle cell;smooth muscle cell;astrocyte;connective tissue cell;fibroblast;fibroblast of lung;bronchus fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,TENASCIN,1.571,1.521,1.571,17995,17777,-0.046
TNR,,,no,True,ENSG00000116147,Tenascin-R (TN-R) (Janusin) (Restrictin),Secreted,neuron associated cell (sensu Vertebrata);oligodendrocyte precursor cell;retina horizontal cell;sympathetic neuron,TENASCIN,0.087,0.03,0.087,1001,353,-1.533
TNXB,,,no,True,ENSG00000168477,Tenascin-X (TN-X) (Hexabrachion-like protein),Secreted,endothelial cell of lymphatic vessel;endosteal cell;skeletal muscle fibroblast;connective tissue cell;fibroblast;keratocyte;reticular cell;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;adventitial cell;fibro/adipogenic progenitor cell,TENASCIN,1.069,1.959,1.959,12245,22891,0.874
