gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
INHBB,,,no,True,ENSG00000163083,Inhibin beta B chain (Activin beta-B chain),Secreted,Sertoli cell;mesothelial cell,ACTIVIN,1.79,2.391,2.391,20497,27943,0.418
LRP5,,,no,True,ENSG00000162337,Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7),Membrane,,WNT,4.784,4.444,4.784,54794,51928,-0.106
LRP6,,,no,True,ENSG00000070018,Low-density lipoprotein receptor-related protein 6 (LRP-6),Cell membrane,,WNT,11.025,8.638,11.025,126265,100934,-0.352
MCAM,,,no,True,ENSG00000076706,Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146),Membrane,blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;gut endothelial cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;bronchial smooth muscle cell;extravillous trophoblast;pericyte;renal interstitial pericyte;mural cell,ncWNT,6.168,4.668,6.168,70644,54548,-0.402
NOTCH1,,,no,True,ENSG00000148400,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1),Cell membrane,,CNTN;NOTCH,6.25,5.839,6.25,71582,68226,-0.098
NOTCH2,,,no,True,ENSG00000134250,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2),Nucleus,,CNTN;NOTCH,13.495,13.943,13.943,154560,162926,0.047
NOTCH3,,,no,True,ENSG00000074181,Neurogenic locus notch homolog protein 3 (Notch 3),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;smooth muscle cell of the pulmonary artery;myometrial cell;bronchial smooth muscle cell;smooth muscle myoblast;pericyte;renal interstitial pericyte;mural cell,NOTCH,2.55,2.695,2.695,29204,31490,0.08
NOTCH4,,,no,True,ENSG00000204301,Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of uterus;cardiac endothelial cell,NOTCH,1.477,2.53,2.53,16919,29568,0.776
TGFB1,,,no,True,ENSG00000105329,Transforming growth factor beta-1 proprotein,Secreted,"extravillous trophoblast;platelet;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;mucosal invariant T cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;osteoblast",TGFb,0.496,0.604,0.604,5679,7058,0.285
TGFB2,,,no,True,ENSG00000092969,Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF),Secreted,type I pneumocyte,TGFb,2.892,3.27,3.27,33127,38214,0.177
TGFB3,,,no,True,ENSG00000119699,Transforming growth factor beta-3 proprotein,Secreted,,TGFb,9.565,4.734,9.565,109550,55314,-1.015
TGFBR1,,,no,True,ENSG00000106799,TGF-beta receptor type-1 (TGFR-1),Cell membrane,kidney collecting duct principal cell;renal principal cell;microglial cell;mature microglial cell,TGFb;GDF;MSTN,7.479,7.001,7.479,85658,81804,-0.095
TGFBR2,,,no,True,ENSG00000163513,TGF-beta receptor type-2 (TGFR-2),Cell membrane,retinal blood vessel endothelial cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;surface ectodermal cell,TGFb;GDF,19.206,21.814,21.814,219971,254896,0.184
WNT1,,,no,True,ENSG00000125084,Proto-oncogene Wnt-1 (Proto-oncogene Int-1 homolog),Secreted,,WNT,0.019,0.01,0.019,213,117,-0.893
WNT2,,,no,True,ENSG00000105989,Protein Wnt-2 (Int-1-like protein 1) (Int-1-related protein) (IRP),Secreted,connective tissue cell;fibroblast;pulmonary interstitial fibroblast;fibroblast of lung;fibroblast of mammary gland;stromal cell;stromal cell of ovary;mesenchymal cell,WNT,0.058,0.053,0.058,667,623,-0.127
WNT3,,,no,True,ENSG00000108379,Proto-oncogene Wnt-3 (Proto-oncogene Int-4 homolog),Secreted,,WNT,0.702,0.338,0.702,8038,3944,-1.056
WNT3A,,,no,True,ENSG00000154342,Protein Wnt-3a,Secreted,,WNT,0.118,0.06,0.118,1350,703,-0.97
WNT4,,,no,True,ENSG00000162552,Protein Wnt-4,Secreted,type B pancreatic cell;endocrine cell;stromal cell;stromal cell of ovary,WNT,0.707,0.35,0.707,8100,4089,-1.015
WNT5A,,,no,True,ENSG00000114251,Protein Wnt-5a,Secreted,stromal cell of ovary,ncWNT,2.36,0.884,2.36,27031,10327,-1.417
WNT5B,,,no,True,ENSG00000111186,Protein Wnt-5b,Secreted,basal epithelial cell of prostatic duct;corneal endothelial cell,ncWNT,0.204,0.112,0.204,2332,1314,-0.857
