gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
NLRP3,,,no,True,ENSG00000162711,"NACHT, LRR and PYD domains-containing protein 3",Cytoplasm,"phagocyte;elicited macrophage;alternatively activated macrophage;colon macrophage;mononuclear phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell",,0.247,0.519,0.519,2828,6060,1.071
PMAIP1,,,no,True,ENSG00000141682,Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa),Mitochondrion,stem cell of epidermis;epithelial cell of lacrimal sac;keratinocyte;urothelial cell;bladder urothelial cell;epithelial cell of uterus;cortical thymic epithelial cell;epidermal cell;conjunctival epithelial cell;naive regulatory T cell;bladder cell,,1.459,0.36,1.459,16710,4201,-2.021
PYCARD,,,no,True,ENSG00000103490,Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1),Cytoplasm,"microfold cell of epithelium of small intestine;classical monocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;myeloid cell;promonocyte;pre-conventional dendritic cell",,1.739,1.942,1.942,19918,22691,0.159
RIPK1,,,no,True,ENSG00000137275,Receptor-interacting serine/threonine-protein kinase 1,Cytoplasm,,,5.558,5.625,5.625,63661,65728,0.017
RIPK3,,,no,True,ENSG00000129465,Receptor-interacting serine/threonine-protein kinase 3,Cytoplasm,,,0.709,1.079,1.079,8116,12611,0.607
TNFRSF10A,,,no,True,ENSG00000104689,Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261),Cell membrane,,,1.418,1.189,1.418,16245,13898,-0.254
TNFRSF10B,,,no,True,ENSG00000120889,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),Membrane,,TRAIL,8.196,8.887,8.887,93867,103842,0.117
TNFRSF10C,,,no,True,ENSG00000173535,Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263),Cell membrane,,,0.087,0.037,0.087,991,438,-1.207
TNFRSF10D,,,no,True,ENSG00000173530,Tumor necrosis factor receptor superfamily member 10D (Decoy receptor 2) (DcR2) (TNF-related apoptosis-inducing ligand receptor 4) (TRAIL receptor 4) (TRAIL-R4) (TRAIL receptor with a truncated death domain) (CD antigen CD264),Membrane,vasa recta ascending limb cell;vasa recta descending limb cell;kidney capillary endothelial cell;glomerular capillary endothelial cell,,1.854,1.174,1.854,21234,13720,-0.659
TNFRSF1A,,,no,True,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Cell membrane,mesothelial cell of pleura;follicular dendritic cell,TNF;LT,6.2,5.286,6.2,71006,61761,-0.23
TNFRSF1B,,,no,True,ENSG00000028137,Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept),Secreted,"phagocyte;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",TNF;LT,1.255,1.892,1.892,14372,22107,0.592
TP53,,,no,True,ENSG00000141510,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),Cytoplasm,,,9.256,9.212,9.256,106013,107635,-0.007
XIAP,,,no,True,ENSG00000101966,E3 ubiquitin-protein ligase XIAP,Cytoplasm,,,6.598,6.754,6.754,75572,78916,0.034
ZBP1,,,no,True,ENSG00000124256,Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors) (DAI) (Tumor stroma and activated macrophage protein DLM-1),Cytoplasm,"mature B cell;plasmablast;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-negative, CD56-bright natural killer cell, human",,0.042,0.144,0.144,477,1685,1.792
