gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
C15orf48,ENSG00000166920,3,1,Breast;Colon;Colon;Colon;Colon;General;Liver;Pancreas;Skin,Glandular cells;Distal enterocytes;Goblet cells;Paneth cells;Undifferentiated cells;Macrophages;Cholangiocytes;Endocrine cells;Langerhans cells
C1orf162,ENSG00000143110,8,1,General;General;General;Liver;Skin,B cells;Granulocytes;Macrophages;Kupffer cells;Langerhans cells
C1orf194,ENSG00000179902,4,1,Lung,Ciliated cells
C20orf85,ENSG00000124237,3,1,Lung,Ciliated cells
C5orf46,ENSG00000178776,6,1,Pancreas,Ductal cells
C6orf118,ENSG00000112539,8,1,Lung,Ciliated cells
C7,ENSG00000112936,4,1,General;General,Endothelial cells;Fibroblasts
CA4,ENSG00000167434,5,1,Breast;Colon;Colon;General;General;Kidney,Adipocytes;Distal enterocytes;Paneth cells;Endothelial cells;Smooth muscle cells;Proximal tubular cells
CAPN8,ENSG00000203697,8,1,Colon;Lung;Lung,Distal enterocytes;Alveolar Type II;Club cells
CAV1,ENSG00000105974,4,1,Breast;General;General;General;Liver;Lung;Skin,Adipocytes;Endothelial cells;Fibroblasts;Smooth muscle cells;Stellate cells;Alveolar Type I;Basal keratinocytes
CAVIN1,ENSG00000177469,8,1,Breast;General;General;General;Lung,Adipocytes;Endothelial cells;Fibroblasts;Smooth muscle cells;Alveolar Type I
CAVIN2,ENSG00000168497,8,1,Breast;General,Adipocytes;Endothelial cells
CCDC39,ENSG00000284862,8,1,Lung,Ciliated cells
CCDC78,ENSG00000162004,3,1,Lung,Ciliated cells
CCL19,ENSG00000172724,3,1,General;General;General,Fibroblasts;Monocytes;Smooth muscle cells
CCL27,ENSG00000213927,2,1,Skin;Skin,Basal keratinocytes;Suprabasal keratinocytes
CCL5,ENSG00000271503,5,1,Breast;General;Lung;Pancreas,Dendritic cells;T cells;Alveolar Type II;Ductal cells
CCNB2,ENSG00000157456,8,1,Colon;General;General,Undifferentiated cells;Proliferation markers;T cells
CCR2,ENSG00000121807,8,1,Liver,Kupffer cells
CCR7,ENSG00000126353,8,1,General;General;General;Skin,B cells;Monocytes;T cells;Langerhans cells
CD14,ENSG00000170458,8,1,Breast;Colon;General;General;Liver;Liver;Skin,Glandular cells;Distal enterocytes;Macrophages;Monocytes;Stellate cells;Kupffer cells;Langerhans cells
CD163,ENSG00000177575,4,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
CD19,ENSG00000177455,8,1,General,B cells
CD1A,ENSG00000158477,8,1,General;Skin,Dendritic cells;Langerhans cells
CD1C,ENSG00000158481,8,1,General;General;Skin,Dendritic cells;Macrophages;Langerhans cells
CD1E,ENSG00000158488,8,1,General;Skin,Macrophages;Langerhans cells
CD2,ENSG00000116824,8,1,General,T cells
CD247,ENSG00000198821,8,1,Breast;General;General;General,Dendritic cells;B cells;Natural killer cells;T cells
CD27,ENSG00000139193,5,1,General;General,B cells;T cells
CD274,ENSG00000120217,8,1,General,Immune checkpoint markers
CD28,ENSG00000178562,8,1,General;General,B cells;T cells
CD300E,ENSG00000186407,8,1,General;Liver,Macrophages;Kupffer cells
CD34,ENSG00000174059,8,1,Breast;General;General;Liver,Adipocytes;Endothelial cells;Fibroblasts;Stellate cells
CD3D,ENSG00000167286,5,1,Breast;General,Dendritic cells;T cells
CD3E,ENSG00000198851,8,1,General,T cells
CD4,ENSG00000010610,8,1,General;General;Liver;Liver;Skin,Macrophages;T cells;Stellate cells;Kupffer cells;Langerhans cells
CD5L,ENSG00000073754,8,1,Liver,Kupffer cells
CD68,ENSG00000129226,3,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
CD69,ENSG00000110848,8,1,General;General;General,B cells;Granulocytes;T cells
CD70,ENSG00000125726,2,1,General;General;General,B cells;Fibroblasts;Monocytes
CD79A,ENSG00000105369,4,1,General;Pancreas,B cells;Endocrine cells
CD83,ENSG00000112149,8,1,General;General;General;General;Heart;Liver;Lung;Skin,B cells;Granulocytes;Macrophages;Monocytes;Cardiomyocytes;Kupffer cells;Alveolar Type II;Langerhans cells
CD86,ENSG00000114013,8,1,General;General;Liver;Skin,Macrophages;Monocytes;Kupffer cells;Langerhans cells
CD8A,ENSG00000153563,8,1,Breast;General,Dendritic cells;T cells
CD93,ENSG00000125810,8,1,Breast;General;Liver;Liver,Adipocytes;Endothelial cells;Stellate cells;Kupffer cells
CDH16,ENSG00000166589,4,1,Kidney,Collecting duct cells
CDK1,ENSG00000170312,8,1,Colon;General;General,Undifferentiated cells;Proliferation markers;T cells
CENPF,ENSG00000117724,8,1,Colon;Colon;General;General,Distal enterocytes;Undifferentiated cells;Proliferation markers;T cells
CFAP53,ENSG00000172361,8,1,Lung,Ciliated cells
CFB,ENSG00000243649,8,1,General;Liver;Pancreas,Fibroblasts;Hepatocytes;Ductal cells
CFHR1,ENSG00000244414,4,1,General;Liver,Fibroblasts;Hepatocytes
CFHR3,ENSG00000116785,8,1,Liver,Hepatocytes
CFTR,ENSG00000001626,8,1,Colon;Colon;Pancreas,Distal enterocytes;Undifferentiated cells;Ductal cells
CHGA,ENSG00000100604,4,1,Colon;Pancreas,Endocrine cells;Endocrine cells
CLCA1,ENSG00000016490,8,1,Colon,Goblet cells
CLCA2,ENSG00000137975,8,1,Skin,Basal keratinocytes
CLEC10A,ENSG00000132514,8,1,General;Skin,Macrophages;Langerhans cells
CLEC14A,ENSG00000176435,8,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
CLEC4E,ENSG00000166523,8,1,General;Liver,Macrophages;Kupffer cells
CLECL1,ENSG00000184293,7,1,General,B cells
CLIC6,ENSG00000159212,8,1,Lung,Ciliated cells
CNN1,ENSG00000130176,6,1,Breast;General;Pancreas,Myoepithelial cells;Smooth muscle cells;Ductal cells
COCH,ENSG00000100473,8,1,General,Fibroblasts
COL17A1,ENSG00000065618,8,1,Breast;Colon;Skin,Myoepithelial cells;Distal enterocytes;Basal keratinocytes
COL5A2,ENSG00000204262,8,1,Colon;General;General,Endocrine cells;Fibroblasts;Smooth muscle cells
CPA3,ENSG00000163751,4,1,General,Granulocytes
CRHBP,ENSG00000145708,4,1,Breast;Liver,Adipocytes;Stellate cells
CRISPLD2,ENSG00000103196,8,1,General;General,Fibroblasts;Smooth muscle cells
CSF2RA,ENSG00000198223,8,1,General;General;Skin,Macrophages;Monocytes;Langerhans cells
CSF3,ENSG00000108342,7,1,General,Endothelial cells
CTLA4,ENSG00000163599,8,1,General;General;General,B cells;Immune checkpoint markers;T cells
CTSG,ENSG00000100448,3,1,General,Granulocytes
CTSK,ENSG00000143387,8,1,General,Fibroblasts
