gene,Ensemble ID,Num_Probesets,Codewords,Annotation
CXCL16,ENSG00000161921,5,1,Immune Cell Migration;Natural Killer T Cell
CXCL2,ENSG00000081041,3,1,Epithelial Cell;Tumor Differentiation
CXCL3,ENSG00000163734,6,1,Oncogene
CXCL5,ENSG00000163735,8,1,Macrophage;Chemokine
CXCL6,ENSG00000124875,8,1,Immune Cell Migration;Chemokine
CXCL9,ENSG00000138755,2,1,Immune Cell Migration;Chemokine
CXCR1,ENSG00000163464,8,1,Immune Cell Migration
CXCR2,ENSG00000180871,8,1,Immune Cell Migration
CXCR3,ENSG00000186810,5,1,Immune Cell Migration
CXCR4,ENSG00000121966,2,1,Immune Cell Migration
CXCR5,ENSG00000160683,8,1,Immune Cell Migration;Chemokine
CXCR6,ENSG00000172215,8,1,T Cell;CD8+;Effector Memory;Resident Memory
DCN,ENSG00000011465,5,1,Fibroblast;Lineage Marker
DERL3,ENSG00000099958,8,1,Plasma Cell
DGKA,ENSG00000065357,8,1,T Cell;Exhausted
DMBT1,ENSG00000187908,8,1,Tumor Suppression
DUSP2,ENSG00000158050,2,1,Tumorigenesis
EGF,ENSG00000138798,8,1,Macrophage;M2;Neutrophil;N2
EGFR,ENSG00000146648,8,1,Epithelial Cell;Oncogene
EGR3,ENSG00000179388,8,1,Metastasis
ENTPD1,ENSG00000138185,8,1,T Cell;Inhibitory
EOMES,ENSG00000163508,8,1,T Cell;CD8+
EPCAM,ENSG00000119888,8,1,Tumorigenesis
EPO,ENSG00000130427,6,1,
EPOR,ENSG00000187266,8,1,
ERBB2,ENSG00000141736,8,1,Oncogene
ERBB3,ENSG00000065361,8,1,Oncogene
ERBB4,ENSG00000178568,8,1,Oncogene
ESR1,ENSG00000091831,8,1,Oncogene
FABP3,ENSG00000121769,8,1,Dendritic Cell
FADD,ENSG00000168040,7,1,Apoptosis;Tumorigenesis
FAS,ENSG00000026103,8,1,T Cell
FASLG,ENSG00000117560,8,1,T Cell
FCER1A,ENSG00000179639,5,1,Dendritic Cell;Myeloid
FCER2,ENSG00000104921,7,1,TLS
FCGR1A,ENSG00000150337,3,1,Macrophage
FCGR2A,ENSG00000143226,2,1,
FCGR2B,ENSG00000072694,8,1,
FCGR3A,ENSG00000203747,2,1,Monocyte
FCMR,ENSG00000162894,8,1,B Cell
FCRL3,ENSG00000160856,8,1,
FEZ1,ENSG00000149557,8,1,Tumor Supression
FGF2,ENSG00000138685,8,1,Macrophage;M2;Neutrophil;N2
FGR,ENSG00000000938,8,1,Myeloid Cell;Oncogene
FHIT,ENSG00000189283,8,1,Tumor Supression
FKBP11,ENSG00000134285,5,1,Plasma Cell
FLT1,ENSG00000102755,8,1,Macrophage;Tumorigenesis;Metastasis
FLT3LG,ENSG00000090554,2,1,Dendritic Cell
FN1,ENSG00000115414,2,1,Fibroblast;Lineage Marker
FOS,ENSG00000170345,2,1,Proto-Oncogene
FOXP3,ENSG00000049768,7,1,T Cell;Regulatory
G0S2,ENSG00000123689,2,1,Cell Division
GATA2,ENSG00000179348,8,1,Oncogene
GATA3,ENSG00000107485,8,1,T Cell;Innate Lymphoid Cell;ILC2;Naive
GLIPR2,ENSG00000122694,8,1,Macrophage
GNLY,ENSG00000115523,5,1,T Cell;CD8+;Effector;Cytotoxic
GPR171,ENSG00000174946,8,1,T Cell
GPR183,ENSG00000169508,2,1,T Cell
GPR34,ENSG00000171659,5,1,Dendritic Cell
GZMA,ENSG00000145649,4,1,T Cell;Naive;CD8+
GZMB,ENSG00000100453,3,1,T Cell;Effector;CD8+
GZMH,ENSG00000100450,7,1,T Cell;Naive;CD8+
GZMK,ENSG00000113088,8,1,T Cell;Effector;CD8+;Exhausted
HAVCR2,ENSG00000135077,4,1,T Cell;Exhausted
HIF1A,ENSG00000100644,3,1,Oncogene
HLA-B,ENSG00000234745,2,1,
HPGDS,ENSG00000163106,8,1,Mast Cell
ICAM1,ENSG00000090339,6,1,Oncogene
ICOSLG,ENSG00000160223,8,1,T Cell;Dendritic Cell;Oncogene
ID1,ENSG00000125968,3,1,Tumorigenesis
ID2,ENSG00000115738,2,1,Tumorigenesis
ID4,ENSG00000172201,8,1,Tumorigenesis
IDO1,ENSG00000131203,8,1,Myeloid Cell;Suppression
IFIT2,ENSG00000119922,8,1,Tumorigenesis;Metastasis
IFIT3,ENSG00000119917,8,1,Tumorigenesis;Metastasis
IFITM3,ENSG00000142089,3,1,Tumorigenesis
IFNAR1,ENSG00000142166,8,1,Immune Signalling
IFNB1,ENSG00000171855,8,1,Immune Signalling
IFNGR1,ENSG00000027697,6,1,Immune Signalling
IFNL1,ENSG00000182393,4,1,Immune Signalling
IGFBP7,ENSG00000163453,7,1,Oncogene
