gene,Ensembl ID,Num_Probesets,Codewords,Annotation
MFAP4,ENSG00000166482,7,1,Mesenchymal Fibroblasts
MFAP5,ENSG00000197614,8,1,Secretory-reticular Fibroblasts
MGP,ENSG00000111341,8,1,Pro-inflammatory Fibroblasts
MIR205HG,ENSG00000230937,3,1,EpSC and Other Progenitors_1; TSK_basal
MITF,ENSG00000187098,8,1,Melanoma
MKI67,ENSG00000148773,8,1,T_proliferating
MLANA,ENSG00000120215,2,1,Melanocytes
MMP2,ENSG00000087245,8,1,Secretory-reticular Fibroblasts
MMP27,ENSG00000137675,8,1,Secretory-reticular Fibroblasts
MMRN1,ENSG00000138722,8,1,Lymphatic Endothelial Cells
MNDA,ENSG00000163563,8,1,DC_CD1C
MT1F,ENSG00000198417,3,1,CD4
MT1X,ENSG00000187193,2,1,TSK_cycling
MYC,ENSG00000136997,8,1,Melanoma
MYCT1,ENSG00000120279,8,1,Endothelial cells
MYH11,ENSG00000133392,8,1,Pericytes_1
MYL9,ENSG00000101335,6,1,Myofibroblasts; Pericytes_1
MZB1,ENSG00000170476,6,1,B cells; Erythrocytes
NDUFA4L2,ENSG00000185633,3,1,Myofibroblasts; Pericytes_2
NLGN4Y,ENSG00000165246,8,1,CD4_RGCC
NMB,ENSG00000197696,2,1,CD4_preexhausted
NOTCH3,ENSG00000074181,8,1,Spinous to Granular Cells
NR2F2,ENSG00000185551,8,1,Pericytes_2
NR4A2,ENSG00000153234,8,1,CD8_activated
NSG1,ENSG00000168824,8,1,Melanocytes
NUSAP1,ENSG00000137804,8,1,EpSC and Other Progenitors_2
PBXIP1,ENSG00000163346,8,1,CD4
PCDH7,ENSG00000169851,8,1,Keratinocytes
PDGFRA,ENSG00000134853,8,1,Fibroblasts
PKHD1L1,ENSG00000205038,8,1,B cells
PKIB,ENSG00000135549,8,1,DC_AXL_SIGLEC6
PLAC9,ENSG00000189129,3,1,Secretory-reticular Fibroblasts
PLP1,ENSG00000123560,8,1,Melanoma
PLVAP,ENSG00000130300,8,1,Endothelial cells
PMEL,ENSG00000185664,4,1,Melanocytes
POSTN,ENSG00000133110,8,1,Fibroblasts; Mesenchymal Fibroblasts
PROX1,ENSG00000117707,8,1,Lymphatic Endothelial Cells
PTGDS,ENSG00000107317,5,1,Secretory-papillary Fibroblasts
PTGER3,ENSG00000050628,8,1,DC_Langerhans cells
PTGR1,ENSG00000106853,8,1,TSK_cycling
PTN,ENSG00000105894,8,1,Pilosebaceous cells
PTPRCAP,ENSG00000213402,2,1,CD4_RGCC; T Cells
PTTG1,ENSG00000164611,8,1,EpSC and Other Progenitors_2; TSK_cycling
QPCT,ENSG00000115828,8,1,Melanocytes
RAMP2,ENSG00000131477,4,1,Endothelial cells
RASSF8,ENSG00000123094,8,1,CD8_naive
RGCC,ENSG00000102760,5,1,DC_CLEC9A; CD8_activated
RGS1,ENSG00000090104,8,1,Macrophages and DC_2
RGS5,ENSG00000143248,4,1,CD4_preexhausted; Myofibroblasts; Pericytes_2
RHOV,ENSG00000104140,5,1,TSK_differentiating
RNASE1,ENSG00000129538,6,1,Endothelial cells; Macrophages
RRM2,ENSG00000171848,8,1,T_proliferating
S100A13,ENSG00000189171,3,1,TSK_cycling
S100A14,ENSG00000189334,4,1,EpSC and Other Progenitors_2
S100B,ENSG00000160307,8,1,DC_AXL_SIGLEC6; Macrophages and DC_2
SELE,ENSG00000007908,8,1,Endothelial cells; Vascular Endothelial Cells
SERPINB2,ENSG00000197632,8,1,EpSC and Other Progenitors_1
SERPINB5,ENSG00000206075,8,1,Keratinocytes; BCC
SFRP1,ENSG00000104332,8,1,TSK_basal
SFRP2,ENSG00000145423,8,1,Secretory-papillary Fibroblasts
SLC25A37,ENSG00000147454,8,1,Erythrocytes
SLC25A39,ENSG00000013306,7,1,Erythrocytes
SLC2A3,ENSG00000059804,8,1,CD8_activated
SLC8A1,ENSG00000183023,8,1,DC_AXL_SIGLEC6
SLPI,ENSG00000124107,5,1,Secretory-reticular Fibroblasts
SNCA,ENSG00000145335,8,1,Erythrocytes
SOD3,ENSG00000109610,3,1,Secretory-papillary Fibroblasts
SOSTDC1,ENSG00000171243,8,1,Pilosebaceous cells
SOX15,ENSG00000129194,4,1,TSK_cycling
SOX17,ENSG00000164736,8,1,Vascular Endothelial Cells
SPARCL1,ENSG00000152583,8,1,Endothelial cells; Vascular Endothelial Cells
SPRY1,ENSG00000164056,8,1,Vascular Endothelial Cells
STMN1,ENSG00000117632,8,1,Macrophages and DC_3; T_proliferating
STRADB,ENSG00000082146,8,1,Erythrocytes
SYNPO2,ENSG00000172403,8,1,DC_CLEC9A_migrating
TACSTD2,ENSG00000184292,4,1,EpSC and Other Progenitors_1
TAGLN,ENSG00000149591,4,1,Myofibroblasts; Pericytes_1
TFAP2A,ENSG00000137203,8,1,TSK_basal
TFAP2B,ENSG00000008196,8,1,Melanocytes
TFF3,ENSG00000160180,3,1,Endothelial cells; Lymphatic Endothelial Cells
TFPI,ENSG00000003436,8,1,Lymphatic Endothelial Cells
TFPI2,ENSG00000105825,8,1,DC_CLEC9A_migrating
THBS2,ENSG00000186340,8,1,TSK_basal
THY1,ENSG00000154096,8,1,Mesenchymal Fibroblasts
TM4SF1,ENSG00000169908,3,1,Endothelial cells; Pilosebaceous cells; Vascular Endothelial Cells
TMEM150C,ENSG00000249242,8,1,DC_CD1C_migrating
TMEM176A,ENSG00000002933,8,1,DC_CD1C_migrating
TMEM45A,ENSG00000181458,4,1,Pilosebaceous cells
TNFRSF17,ENSG00000048462,8,1,B cells; Erythrocytes
TOP2A,ENSG00000131747,8,1,Cycling_2
TP63,ENSG00000073282,8,1,EpSC and Other Progenitors_1
TRPM1,ENSG00000134160,8,1,Melanocytes
TSC22D1,ENSG00000102804,8,1,Vascular Endothelial Cells
TSPAN33,ENSG00000158457,8,1,Macrophages and DC_1
TUBB2B,ENSG00000137285,8,1,DC_CLEC9A_migrating
TYMS,ENSG00000176890,8,1,Cycling_1; T_proliferating
TYR,ENSG00000077498,8,1,Melanocytes; Melanoma
TYROBP,ENSG00000011600,3,1,Macrophages and DC_1
TYRP1,ENSG00000107165,3,1,Melanocytes
UBE2C,ENSG00000175063,4,1,T_proliferating
VIM,ENSG00000026025,2,1,Fibroblasts
VWF,ENSG00000110799,8,1,Endothelial cells; Vascular Endothelial Cells
WDFY4,ENSG00000128815,8,1,DC_CLEC9A
ZNF667-AS1,ENSG00000166770,8,1,NK cells
