gene,Ensembl_ID,Num_Probesets,Codewords,Annotation
LYVE1,ENSG00000133800,8,1,Lymphatic endothelial cell
MALL,ENSG00000144063,4,1,Alveolar type 2 cell
MAP7,ENSG00000135525,8,1,Neuroendocrine cell
MARCO,ENSG00000019169,8,1,Macrophage
MCEMP1,ENSG00000183019,8,1,Macrophage
MEDAG,ENSG00000102802,8,1,Lipofibroblast
MET,ENSG00000105976,8,1,Club cell
MFAP5,ENSG00000197614,8,1,Fibroblast
MIS18BP1,ENSG00000129534,8,1,Nonclassical monocyte
MKI67,ENSG00000148773,8,1,Proliferation
MMP12,ENSG00000262406,4,1,Myeloid dendritic cell
MMP9,ENSG00000100985,6,1,Dendritic cell
MMRN1,ENSG00000138722,8,1,Lymphatic endothelial cell
MPEG1,ENSG00000197629,8,1,Plasmacytoid dendritic cell
MS4A1,ENSG00000156738,8,1,B cell
MS4A2,ENSG00000149534,8,1,Mast cell
MS4A4A,ENSG00000110079,8,1,Dendritic cell
MTUS1,ENSG00000129422,8,1,Lymphatic endothelial cell
MUC1,ENSG00000185499,4,1,Alveolar type 2 cell
MUC5B,ENSG00000117983,4,1,Goblet cell
MYC,ENSG00000136997,8,1,Cancer
MYH11,ENSG00000133392,4,1,Smooth muscle cell
MYO6,ENSG00000196586,8,1,Capillary cell
MZB1,ENSG00000170476,6,1,Plasma cell
NCEH1,ENSG00000144959,8,1,Megakaryocyte
NFKB1,ENSG00000109320,8,1,Cancer
NID1,ENSG00000116962,8,1,Pericyte
NKG7,ENSG00000105374,2,1,NK cell
NTN4,ENSG00000074527,4,1,Smooth muscle cell
NTRK2,ENSG00000148053,8,1,Capillary cell
OTUD7B,ENSG00000264522,8,1,Alveolar type 1 cell
P2RX1,ENSG00000108405,8,1,Mast cell
PAMR1,ENSG00000149090,8,1,Fibromyocyte
PCNA,ENSG00000132646,4,1,Proliferation
PCOLCE2,ENSG00000163710,8,1,Fibroblast
PDCD1,ENSG00000188389,2,1,Immune response
PDCD1LG2,ENSG00000197646,8,1,Capillary cell
PDGFRA,ENSG00000134853,8,1,Fibroblast
PDGFRB,ENSG00000113721,8,1,Pericyte
PDPN,ENSG00000162493,8,1,Alveolar type 1 cell
PEBP4,ENSG00000134020,6,1,Alveolar type 2 cell
PI3,ENSG00000124102,5,1,Mucous cell
PIM1,ENSG00000137193,8,1,Lipofibroblast
PIM2,ENSG00000102096,8,1,Plasma cell
PLA2G2A,ENSG00000188257,6,1,Mesothelial cell
PLA2G4F,ENSG00000168907,8,1,Alveolar type 2 cell
PLA2G7,ENSG00000146070,8,1,Dendritic cell
PLN,ENSG00000198523,8,1,Smooth muscle cell
PLVAP,ENSG00000130300,8,1,Endothelial cell
POU2AF1,ENSG00000110777,8,1,Plasma cell
PROX1,ENSG00000117707,8,1,Lymphatic endothelial cell
PTGS1,ENSG00000095303,8,1,Mast cell
RAMP2,ENSG00000131477,4,1,Capillary cell
RARRES1,ENSG00000118849,4,1,Lipofibroblast
RBP4,ENSG00000138207,8,1,Neuroendocrine cell
RERGL,ENSG00000111404,8,1,Smooth muscle cell
RETN,ENSG00000104918,1,1,Macrophage
RGS5,ENSG00000143248,4,1,Smooth muscle cell
RND1,ENSG00000172602,8,1,Alveolar type 2 cell
RUNX3,ENSG00000020633,8,1,NK cell
S100A12,ENSG00000163221,5,1,Classical monocyte
S100A7,ENSG00000143556,4,1,Mucous cell
S100B,ENSG00000160307,8,1,Myeloid dendritic cell
SAMD3,ENSG00000164483,8,1,NK cell
SCEL,ENSG00000136155,8,1,Alveolar type 1 cell
SEC11C,ENSG00000166562,8,1,Neuroendocrine cell
SELE,ENSG00000007908,8,1,Endothelial cell
SELL,ENSG00000188404,8,1,B cell
SELP,ENSG00000174175,8,1,Vein cell
SEMA3B,ENSG00000012171,4,1,Alveolar type 1 cell
SEMA3C,ENSG00000075223,8,1,Ionocyte
SERPINA3,ENSG00000196136,8,1,Mucous cell
SFRP2,ENSG00000145423,4,1,Fibroblast
SFTA2,ENSG00000196260,6,1,Alveolar type 2 cell
SFTPD,ENSG00000133661,8,1,Alveolar type 2 cell
SHANK3,ENSG00000251322,8,1,Capillary cell
SLC15A2,ENSG00000163406,8,1,Alveolar type 1 cell
SLC18A2,ENSG00000165646,8,1,Mast cell
SLC1A3,ENSG00000079215,8,1,Dendritic cell
