gene,Ensembl ID,Num_Probesets,Codewords,Annotation
MCEMP1,ENSG00000183019,8,1,monocyte
MEIS2,ENSG00000134138,8,1,mast cell
MKI67,ENSG00000148773,8,1,transit amplifying cell of colon; dendritic cell
MLPH,ENSG00000115648,8,1,colon goblet cell; mast cell
MS4A1,ENSG00000156738,8,1,memory B cell
MS4A12,ENSG00000071203,8,1,enterocyte of colon
MS4A2,ENSG00000149534,8,1,mast cell
MS4A7,ENSG00000166927,8,1,colon macrophage
MS4A8,ENSG00000166959,8,1,enteroendocrine cell of colon
MSLN,ENSG00000102854,5,1,paneth cell of colon
MT1A,ENSG00000205362,1,1,stem cell
MUC12,ENSG00000205277,2,1,enterocyte of colon; absorptive cell
MYH14,ENSG00000105357,7,1,enterocyte of colon
NEUROD1,ENSG00000162992,8,1,enteroendocrine cell of colon
NKG7,ENSG00000105374,2,1,natural killer cell
NKX2-2,ENSG00000125820,2,1,enteroendocrine cell of colon
NOSIP,ENSG00000142546,4,1,memory T cell
NOVA1,ENSG00000139910,8,1,enteroendocrine cell of colon
NXPE4,ENSG00000137634,8,1,absorptive cell
ODF2L,ENSG00000122417,8,1,T-helper 17 cell
OLFM4,ENSG00000102837,4,1,transit amplifying cell of colon
OTOP2,ENSG00000183034,8,1,paneth cell of colon; BEST4+ epithelial cell
PAX4,ENSG00000106331,8,1,enteroendocrine cell of colon
PAX5,ENSG00000196092,8,1,memory B cell
PBK,ENSG00000168078,8,1,transit amplifying cell of colon
PCLAF,ENSG00000166803,8,1,transit amplifying cell of colon
PDE4C,ENSG00000105650,8,1,paneth cell of colon
PDZK1IP1,ENSG00000162366,2,1,stem cell
PI3,ENSG00000124102,5,1,enterocyte of colon
PLCE1,ENSG00000138193,8,1,absorptive cell
PLPP2,ENSG00000141934,4,1,progenitor cell
PLXND1,ENSG00000004399,8,1,colon cancer
PPP1R1B,ENSG00000131771,7,1,progenitor cell
PRDX4,ENSG00000123131,8,1,progenitor cell; IgA plasma cell
PROX1,ENSG00000117707,8,1,colon cancer
PRPH,ENSG00000135406,8,1,enteroendocrine cell of colon
PSTPIP2,ENSG00000152229,8,1,tuft cell
PTGER4,ENSG00000171522,8,1,"CD4-positive, alpha-beta T cell"
PTTG1,ENSG00000164611,8,1,transit amplifying cell of colon
RAB26,ENSG00000167964,6,1,enteroendocrine cell of colon
