gene,HALLMARK,KEGG,REACTOME
ACTBL2,,,
ACTL6A,,Hepatocellular carcinoma;Thermogenesis,Chromatin Modifying Enzymes R-HSA-3247509;DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;HATs Acetylate Histones R-HSA-3214847;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;RMTs Methylate Histone Arginines R-HSA-3214858;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243;Transcriptional Regulation By RUNX1 R-HSA-8878171;UCH Proteinases R-HSA-5689603
ACTL7A,,,
ACTN4,Mitotic Spindle;Apical Junction,Adherens junction;Amoebiasis;Focal adhesion;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Shigellosis;Systemic lupus erythematosus;Tight junction;Viral carcinogenesis,"Cell-Cell Communication R-HSA-1500931;Hemostasis R-HSA-109582;Nephrin Family Interactions R-HSA-373753;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Degranulation R-HSA-114608;Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005"
ADAM9,Apical Junction;Complement;Coagulation,,Collagen Degradation R-HSA-1442490;Degradation Of Extracellular Matrix R-HSA-1474228;Extracellular Matrix Organization R-HSA-1474244
ADCYAP1R1,,Circadian entrainment;Insulin secretion;Neuroactive ligand-receptor interaction;Renin secretion;cAMP signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Activation Of TRKA Receptors R-HSA-187015;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class B/2 (Secretin Family Receptors) R-HSA-373080;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Glucagon-type Ligand Receptors R-HSA-420092;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;NGF-independant TRKA Activation R-HSA-187024;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934
ADD1,Apoptosis;heme Metabolism,,Apoptosis R-HSA-109581;Apoptotic Cleavage Of Cellular Proteins R-HSA-111465;Apoptotic Execution Phase R-HSA-75153;Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;IRE1alpha Activates Chaperones R-HSA-381070;Miscellaneous Transport And Binding Events R-HSA-5223345;Programmed Cell Death R-HSA-5357801;Transport Of Small Molecules R-HSA-382551;Unfolded Protein Response (UPR) R-HSA-381119;XBP1(S) Activates Chaperone Genes R-HSA-381038
ADGRA1,,,
ADGRA2,KRAS Signaling Up,,
ADGRA3,,,
ADGRB1,,p53 signaling pathway,
ADGRB2,,,
ADGRD2,,,
ADGRE1,Inflammatory Response,,Class B/2 (Secretin Family Receptors) R-HSA-373080;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADGRG5,,,
ADGRL1,,,
ADIPOR1,heme Metabolism,AMPK signaling pathway;Adipocytokine signaling pathway;Longevity regulating pathway;Non-alcoholic fatty liver disease,AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680;Integration Of Energy Metabolism R-HSA-163685;Metabolism R-HSA-1430728
ADNP,,,
ADORA1,,Morphine addiction;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Sphingolipid signaling pathway;cAMP signaling pathway;cGMP-PKG signaling pathway,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADORA2A,,Alcoholism;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Parkinson disease;Rap1 signaling pathway;Vascular smooth muscle contraction;cAMP signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Activation Of TRKA Receptors R-HSA-187015;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Metabolism Of Proteins R-HSA-392499;NGF-independant TRKA Activation R-HSA-187024;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Surfactant Metabolism R-HSA-5683826
ADORA2B,Hypoxia;Inflammatory Response;Glycolysis;UV Response Dn,Alcoholism;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Rap1 signaling pathway;Vascular smooth muscle contraction,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Metabolism Of Proteins R-HSA-392499;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Surfactant Metabolism R-HSA-5683826
