gene,HALLMARK,KEGG,REACTOME
MAPK14,G2-M Checkpoint;Apical Junction;UV Response Dn,"AGE-RAGE signaling pathway in diabetic complications;Adrenergic signaling in cardiomyocytes;Amyotrophic lateral sclerosis;C-type lectin receptor signaling pathway;Cellular senescence;Chagas disease;Coronavirus disease;Diabetic cardiomyopathy;Dopaminergic synapse;Epithelial cell signaling in Helicobacter pylori infection;Epstein-Barr virus infection;Fc epsilon RI signaling pathway;Fluid shear stress and atherosclerosis;FoxO signaling pathway;GnRH signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;IL-17 signaling pathway;Inflammatory mediator regulation of TRP channels;Kaposi sarcoma-associated herpesvirus infection;Leishmaniasis;Leukocyte transendothelial migration;Lipid and atherosclerosis;MAPK signaling pathway;NOD-like receptor signaling pathway;Neurotrophin signaling pathway;Neutrophil extracellular trap formation;Non-alcoholic fatty liver disease;Oocyte meiosis;Osteoclast differentiation;PD-L1 expression and PD-1 checkpoint pathway in cancer;Pathogenic Escherichia coli infection;Pathways of neurodegeneration;Pertussis;Platelet activation;Prion disease;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Proteoglycans in cancer;RIG-I-like receptor signaling pathway;Rap1 signaling pathway;Relaxin signaling pathway;Retrograde endocannabinoid signaling;Salmonella infection;Shigellosis;Signaling pathways regulating pluripotency of stem cells;Sphingolipid signaling pathway;T cell receptor signaling pathway;TNF signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation;Thermogenesis;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;VEGF signaling pathway;Yersinia infection","ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592;Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209;Activation Of AP-1 Family Of Transcription Factors R-HSA-450341;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Axon Guidance R-HSA-422475;CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytokine Signaling In Immune System R-HSA-1280215;DSCAM Interactions R-HSA-376172;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;ERK/MAPK Targets R-HSA-198753;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-17 Signaling R-HSA-448424;KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604;Leishmania Infection R-HSA-9658195;MAP Kinase Activation R-HSA-450294;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;Metabolism Of RNA R-HSA-8953854;Mitochondrial Biogenesis R-HSA-1592230;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Myogenesis R-HSA-525793;NOD1/2 Signaling Pathway R-HSA-168638;Nervous System Development R-HSA-9675108;Netrin-1 Signaling R-HSA-373752;Neutrophil Degranulation R-HSA-6798695;Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725;Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643;Organelle Biogenesis And Maintenance R-HSA-1852241;Oxidative Stress Induced Senescence R-HSA-2559580;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Homeostasis R-HSA-418346;Platelet Sensitization By LDL R-HSA-432142;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate NADPH Oxidases R-HSA-5668599;RNA Polymerase II Transcription R-HSA-73857;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;Signal Transduction R-HSA-162582;Signal Amplification R-HSA-392518;Signaling By Interleukins R-HSA-449147;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By VEGF R-HSA-194138;Signaling To ERKs R-HSA-187687;Signaling To RAS R-HSA-167044;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;Transcriptional Regulation By TP53 R-HSA-3700989;VEGFA-VEGFR2 Pathway R-HSA-4420097;Activated TAK1 Mediates P38 MAPK Activation R-HSA-450302;p38MAPK Events R-HSA-171007"
MAPK15,,IL-17 signaling pathway,
MAPK3,,"AGE-RAGE signaling pathway in diabetic complications;Acute myeloid leukemia;Adherens junction;Adrenergic signaling in cardiomyocytes;Alcoholism;Aldosterone-regulated sodium reabsorption;Alzheimer disease;Apelin signaling pathway;Apoptosis;Autophagy;Axon guidance;B cell receptor signaling pathway;Bladder cancer;Breast cancer;C-type lectin receptor signaling pathway;Cellular senescence;Central carbon metabolism in cancer;Chagas disease;Chemical carcinogenesis;Chemokine signaling pathway;Choline metabolism in cancer;Cholinergic synapse;Chronic myeloid leukemia;Circadian entrainment;Colorectal cancer;Coronavirus disease;Cushing syndrome;Endometrial cancer;ErbB signaling pathway;Estrogen signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;FoxO signaling pathway;Gap junction;Gastric cancer;Glioma;Glutamatergic synapse;GnRH secretion;GnRH signaling pathway;Growth hormone synthesis, secretion and action;HIF-1 signaling pathway;Hepatitis B;Hepatitis C;Hepatocellular carcinoma;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;IL-17 signaling pathway;Influenza A;Insulin signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Leishmaniasis;Lipid and atherosclerosis;Long-term depression;Long-term potentiation;MAPK signaling pathway;Melanogenesis;Melanoma;MicroRNAs in cancer;NOD-like receptor signaling pathway;Natural killer cell mediated cytotoxicity;Neurotrophin signaling pathway;Neutrophil extracellular trap formation;Non-small cell lung cancer;Oocyte meiosis;Osteoclast differentiation;Oxytocin signaling pathway;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Parathyroid hormone synthesis, secretion and action;Pathogenic Escherichia coli infection;Pathways in cancer;Pathways of neurodegeneration;Pertussis;Phospholipase D signaling pathway;Platelet activation;Prion disease;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Prostate cancer;Proteoglycans in cancer;Rap1 signaling pathway;Ras signaling pathway;Regulation of actin cytoskeleton;Relaxin signaling pathway;Renal cell carcinoma;Retrograde endocannabinoid signaling;Salmonella infection;Serotonergic synapse;Shigellosis;Signaling pathways regulating pluripotency of stem cells;Sphingolipid signaling pathway;T cell receptor signaling pathway;TGF-beta signaling pathway;TNF signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation;Thyroid cancer;Thyroid hormone signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;Type II diabetes mellitus;VEGF signaling pathway;Vascular smooth muscle contraction;Viral carcinogenesis;Yersinia infection;cAMP signaling pathway;cGMP-PKG signaling pathway;mTOR signaling pathway","Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755;Activation Of AP-1 Family Of Transcription Factors R-HSA-450341;Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415;Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410;Apoptosis R-HSA-109581;Apoptotic Factor-Mediated Response R-HSA-111471;Axon Guidance R-HSA-422475;CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Senescence R-HSA-2559583;Cellular Response To Heat Stress R-HSA-3371556;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytochrome C-Mediated Apoptotic Response R-HSA-111461;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795;ERK/MAPK Targets R-HSA-198753;ERKs Are Inactivated R-HSA-202670;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Extra-nuclear Estrogen Signaling R-HSA-9009391;FCERI Mediated MAPK Activation R-HSA-2871796;FCGR3A-mediated Phagocytosis R-HSA-9664422;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Formation Of Apoptosome R-HSA-111458;Frs2-mediated Activation R-HSA-170968;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658;Growth Hormone Receptor Signaling R-HSA-982772;Hemostasis R-HSA-109582;ISG15 Antiviral Mechanism R-HSA-1169408;Immune System R-HSA-168256;Infection With Mycobacterium Tuberculosis R-HSA-9635486;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Insulin Receptor Signaling Cascade R-HSA-74751;Interferon Signaling R-HSA-913531;Interleukin-17 Signaling R-HSA-448424;Intracellular Signaling By Second Messengers R-HSA-9006925;Intrinsic Pathway For Apoptosis R-HSA-109606;L1CAM Interactions R-HSA-373760;Leishmania Infection R-HSA-9658195;M Phase R-HSA-68886;MAP Kinase Activation R-HSA-450294;MAP2K And MAPK Activation R-HSA-5674135;MAPK Family Signaling Cascades R-HSA-5683057;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;MAPK1/MAPK3 Signaling R-HSA-5684996;MAPK3 (ERK1) Activation R-HSA-110056;Mitotic Prophase R-HSA-68875;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;NCAM Signaling For Neurite Out-Growth R-HSA-375165;Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499;Negative Regulation Of FGFR1 Signaling R-HSA-5654726;Negative Regulation Of FGFR2 Signaling R-HSA-5654727;Negative Regulation Of FGFR3 Signaling R-HSA-5654732;Negative Regulation Of FGFR4 Signaling R-HSA-5654733;Negative Regulation Of MAPK Pathway R-HSA-5675221;Negative Regulation Of PI3K/AKT Network R-HSA-199418;Nervous System Development R-HSA-9675108;Neuronal System R-HSA-112316;Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314;Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725;Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371;Oncogene Induced Senescence R-HSA-2559585;Oncogenic MAPK Signaling R-HSA-6802957;Oxidative Stress Induced Senescence R-HSA-2559580;PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955;Platelet Activation, Signaling And Aggregation R-HSA-76002;Post NMDA Receptor Activation Events R-HSA-438064;Programmed Cell Death R-HSA-5357801;Prolonged ERK Activation Events R-HSA-169893;RAF-independent MAPK1/3 Activation R-HSA-112409;RAF/MAP Kinase Cascade R-HSA-5673001;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate NADPH Oxidases R-HSA-5668599;RHO GTPases Activate WASPs And WAVEs R-HSA-5663213;RNA Polymerase I Promoter Clearance R-HSA-73854;RNA Polymerase I Promoter Opening R-HSA-73728;RNA Polymerase I Transcription R-HSA-73864;RNA Polymerase II Transcription R-HSA-73857;RSK Activation R-HSA-444257;RUNX2 Regulates Bone Development R-HSA-8941326;RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973;Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453;Regulation Of PTEN Gene Transcription R-HSA-8943724;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Response Of Mtb To Phagocytosis R-HSA-9637690;SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796;Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582;Signal Transduction R-HSA-162582;Signal Attenuation R-HSA-74749;Signal Transduction By L1 R-HSA-445144;Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370;Signaling By Activin R-HSA-1502540;Signaling By BRAF And RAF1 Fusions R-HSA-6802952;Signaling By FGFR R-HSA-190236;Signaling By FGFR1 R-HSA-5654736;Signaling By FGFR2 R-HSA-5654738;Signaling By FGFR3 R-HSA-5654741;Signaling By FGFR4 R-HSA-5654743;Signaling By GPCR R-HSA-372790;Signaling By Insulin Receptor R-HSA-74752;Signaling By Interleukins R-HSA-449147;Signaling By NODAL R-HSA-1181150;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By RAF1 Mutants R-HSA-9656223;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By TGF-beta Receptor Complex R-HSA-170834;Signaling By TGFB Family Members R-HSA-9006936;Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948;Signaling To ERKs R-HSA-187687;Spry Regulation Of FGF Signaling R-HSA-1295596;Suppression Of Apoptosis R-HSA-9635465;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793;Transcriptional Regulation By RUNX2 R-HSA-8878166;Transmission Across Chemical Synapses R-HSA-112315"
MAPK7,,Fluid shear stress and atherosclerosis;Gap junction;GnRH signaling pathway;IL-17 signaling pathway;MAPK signaling pathway;MicroRNAs in cancer;Neurotrophin signaling pathway;Oxytocin signaling pathway,Axon Guidance R-HSA-422475;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;ERK/MAPK Targets R-HSA-198753;ERKs Are Inactivated R-HSA-202670;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-17 Signaling R-HSA-448424;MAP Kinase Activation R-HSA-450294;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Nervous System Development R-HSA-9675108;Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725;RET Signaling R-HSA-8853659;Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By Interleukins R-HSA-449147;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898
MAPK8,PI3K/AKT/mTOR  Signaling,"AGE-RAGE signaling pathway in diabetic complications;Adipocytokine signaling pathway;Alzheimer disease;Apoptosis;Autophagy;C-type lectin receptor signaling pathway;Chagas disease;Choline metabolism in cancer;Colorectal cancer;Coronavirus disease;Diabetic cardiomyopathy;Dopaminergic synapse;Epithelial cell signaling in Helicobacter pylori infection;Epstein-Barr virus infection;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fluid shear stress and atherosclerosis;Focal adhesion;FoxO signaling pathway;GnRH signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human T-cell leukemia virus 1 infection;Human immunodeficiency virus 1 infection;Huntington disease;IL-17 signaling pathway;Inflammatory mediator regulation of TRP channels;Insulin resistance;Insulin signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;MAPK signaling pathway;Measles;Mitophagy;NOD-like receptor signaling pathway;Necroptosis;Neurotrophin signaling pathway;Non-alcoholic fatty liver disease;Osteoclast differentiation;Pancreatic cancer;Parkinson disease;Pathogenic Escherichia coli infection;Pathways in cancer;Pathways of neurodegeneration;Pertussis;Prion disease;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Protein processing in endoplasmic reticulum;RIG-I-like receptor signaling pathway;Ras signaling pathway;Relaxin signaling pathway;Retrograde endocannabinoid signaling;Salmonella infection;Shigellosis;Sphingolipid signaling pathway;Spinocerebellar ataxia;T cell receptor signaling pathway;TNF signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;Type II diabetes mellitus;Wnt signaling pathway;Yersinia infection;cAMP signaling pathway","Activation Of BH3-only Proteins R-HSA-114452;Activation Of AP-1 Family Of Transcription Factors R-HSA-450341;Apoptosis R-HSA-109581;Axon Guidance R-HSA-422475;Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytokine Signaling In Immune System R-HSA-1280215;DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;DSCAM Interactions R-HSA-376172;Death Receptor Signaling R-HSA-73887;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;FCERI Mediated MAPK Activation R-HSA-2871796;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-17 Signaling R-HSA-448424;Intrinsic Pathway For Apoptosis R-HSA-109606;JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321;Killing Mechanisms R-HSA-9664420;Leishmania Infection R-HSA-9658195;MAP Kinase Activation R-HSA-450294;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;NRAGE Signals Death Thru JNK R-HSA-193648;NRIF Signals Cell Death From Nucleus R-HSA-205043;Nervous System Development R-HSA-9675108;Netrin-1 Signaling R-HSA-373752;Oxidative Stress Induced Senescence R-HSA-2559580;Programmed Cell Death R-HSA-5357801;Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565;Signal Transduction R-HSA-162582;Signaling By Interleukins R-HSA-449147;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
MAPK8IP1,,MAPK signaling pathway,
MAPK8IP2,UV Response Up,MAPK signaling pathway,
MAPK8IP3,,MAPK signaling pathway,
MAPK9,PI3K/AKT/mTOR  Signaling,"AGE-RAGE signaling pathway in diabetic complications;Adipocytokine signaling pathway;Alzheimer disease;Apoptosis;Autophagy;C-type lectin receptor signaling pathway;Chagas disease;Choline metabolism in cancer;Colorectal cancer;Coronavirus disease;Diabetic cardiomyopathy;Dopaminergic synapse;Epithelial cell signaling in Helicobacter pylori infection;Epstein-Barr virus infection;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fluid shear stress and atherosclerosis;Focal adhesion;FoxO signaling pathway;GnRH signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human T-cell leukemia virus 1 infection;Human immunodeficiency virus 1 infection;Huntington disease;IL-17 signaling pathway;Inflammatory mediator regulation of TRP channels;Insulin resistance;Insulin signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;MAPK signaling pathway;Measles;Mitophagy;NOD-like receptor signaling pathway;Necroptosis;Neurotrophin signaling pathway;Non-alcoholic fatty liver disease;Osteoclast differentiation;Pancreatic cancer;Parkinson disease;Pathogenic Escherichia coli infection;Pathways in cancer;Pathways of neurodegeneration;Pertussis;Prion disease;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Protein processing in endoplasmic reticulum;RIG-I-like receptor signaling pathway;Ras signaling pathway;Relaxin signaling pathway;Retrograde endocannabinoid signaling;Salmonella infection;Shigellosis;Sphingolipid signaling pathway;Spinocerebellar ataxia;T cell receptor signaling pathway;TNF signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;Type II diabetes mellitus;Wnt signaling pathway;Yersinia infection;cAMP signaling pathway",Activation Of AP-1 Family Of Transcription Factors R-HSA-450341;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytokine Signaling In Immune System R-HSA-1280215;FCERI Mediated MAPK Activation R-HSA-2871796;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-17 Signaling R-HSA-448424;JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321;MAP Kinase Activation R-HSA-450294;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Oxidative Stress Induced Senescence R-HSA-2559580;Signaling By Interleukins R-HSA-449147;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898
MAPRE2,,,
MARK2,UV Response Up,,
MAS1,,Coronavirus disease;Neuroactive ligand-receptor interaction;Renin-angiotensin system,
MASP1,,Complement and coagulation cascades;Coronavirus disease;Staphylococcus aureus infection,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782;Complement Cascade R-HSA-166658;Creation Of C4 And C2 Activators R-HSA-166786;Disease R-HSA-1643685;Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Initial Triggering Of Complement R-HSA-166663;Innate Immune System R-HSA-168249;Lectin Pathway Of Complement Activation R-HSA-166662;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671;SARS-CoV-2-host Interactions R-HSA-9705683;Scavenging By Class A Receptors R-HSA-3000480;Vesicle-mediated Transport R-HSA-5653656
MASP2,Coagulation,Complement and coagulation cascades;Coronavirus disease;Staphylococcus aureus infection,Complement Cascade R-HSA-166658;Creation Of C4 And C2 Activators R-HSA-166786;Disease R-HSA-1643685;Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Initial Triggering Of Complement R-HSA-166663;Innate Immune System R-HSA-168249;Lectin Pathway Of Complement Activation R-HSA-166662;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671;SARS-CoV-2-host Interactions R-HSA-9705683
MAT1A,,Cysteine and methionine metabolism,"Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Ingested SeMet, Sec, MeSec Into H2Se R-HSA-2408508;Methylation R-HSA-156581;Phase II - Conjugation Of Compounds R-HSA-156580;Selenoamino Acid Metabolism R-HSA-2408522;Sulfur Amino Acid Metabolism R-HSA-1614635"
