gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
NCSTN,,,,Wnt-beta Catenin Signaling,Alzheimer disease;Notch signaling pathway,"Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948;Amyloid Fiber Formation R-HSA-977225;Axon Guidance R-HSA-422475;Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862;Death Receptor Signaling R-HSA-73887;Degradation Of Extracellular Matrix R-HSA-1474228;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Extracellular Matrix Organization R-HSA-1474244;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Metabolism Of Proteins R-HSA-392499;NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700;NRIF Signals Cell Death From Nucleus R-HSA-205043;Nervous System Development R-HSA-9675108;Neutrophil Degranulation R-HSA-6798695;Noncanonical Activation Of NOTCH3 R-HSA-9017802;Nuclear Signaling By ERBB4 R-HSA-1251985;Regulated Proteolysis Of p75NTR R-HSA-193692;Signal Transduction R-HSA-162582;Signaling By ERBB4 R-HSA-1236394;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH1 R-HSA-1980143;Signaling By NOTCH2 R-HSA-1980145;Signaling By NOTCH3 R-HSA-9012852;Signaling By NOTCH4 R-HSA-9013694;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
NECAB2,,,,,,
NEK1,,,,,,
NEK3,,,,,,
NEK4,,,,,,
NEK5,,,,,,
NEK8,,,,,,
NEMP1,,,,,,
NEPRO,,,,,,
NEURL4,,,,,,
NEUROG2,,,,,,
NGDN,,,,,,
NIFK,,,,,,
NIPSNAP1,,,,,,
NIPSNAP3A,,,,,,
NKAPD1,,,,,,
NKAPL,,,,,,
NKRF,,,,,,
NKX2-4,,,,,,
NKX2-8,,,,,,
NLE1,,,,,,
NLRP11,,,,,,
NLRP2,,,,,,
NLRP9,,,,,,
NMNAT1,,,,,Nicotinate and nicotinamide metabolism,Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Nicotinate Metabolism R-HSA-196807
NOA1,,,,,,
NOC3L,,,,,,
NOL4,,,,,,
NOL4L,,,,,,
NOM1,,,,,,
NOMO3,,,,,,
NOS1AP,,,,,Circadian entrainment,
NOTCH2NLA,,,,,,
NPAT,,,,,,
NPC1L1,,,,,Fat digestion and absorption,Digestion And Absorption R-HSA-8963743;Intestinal Absorption R-HSA-8963676
NRDE2,,,,,,
NRF1,,,,,Apelin signaling pathway;Huntington disease,Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Mitochondrial Biogenesis R-HSA-1592230;Organelle Biogenesis And Maintenance R-HSA-1852241;PPARA Activates Gene Expression R-HSA-1989781;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201
NRIP1,,,,Estrogen Response Early;Estrogen Response Late,,Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Circadian Clock R-HSA-400253;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Heme Signaling R-HSA-9707616;Metabolism Of Proteins R-HSA-392499;NR1H2 And NR1H3 Regulate Gene Expression Linked To Gluconeogenesis R-HSA-9632974;NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Transcription Cofactors R-HSA-3899300;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931
NRSN2,,,,,,
NSUN2,,,,,,Metabolism Of RNA R-HSA-8953854;tRNA Modification In Nucleus And Cytosol R-HSA-6782315;tRNA Processing R-HSA-72306
NSUN5,,,,,,
NT5DC2,,,,,,
NT5DC3,,,,,,
NTMT1,,,,,,
NTPCR,,,,,Purine metabolism;Thiamine metabolism,
NUAK2,,,,,,
NUDCD1,,,,,,
NUDCD2,,,,,,
NUDT16L1,,,,,Proteoglycans in cancer,
NUMB,,,,Wnt-beta Catenin Signaling,Notch signaling pathway,Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948;Axon Guidance R-HSA-422475;Degradation Of GLI1 By Proteasome R-HSA-5610780;Developmental Biology R-HSA-1266738;Hedgehog Off State R-HSA-5610787;Hedgehog On State R-HSA-5632684;L1CAM Interactions R-HSA-373760;Nervous System Development R-HSA-9675108;Recycling Pathway Of L1 R-HSA-437239;Signal Transduction R-HSA-162582;Signaling By Hedgehog R-HSA-5358351;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH1 R-HSA-1980143
NUTF2,,,,,,
NVL,,,,,Ribosome biogenesis in eukaryotes,
NYX,,,,,,
OBP2A,,,,,,
OCM2,,,,,,
OCRL,,,,Protein Secretion,Inositol phosphate metabolism;Phosphatidylinositol signaling system,"Clathrin-mediated Endocytosis R-HSA-8856828;Golgi Associated Vesicle Biogenesis R-HSA-432722;Inositol Phosphate Metabolism R-HSA-1483249;Membrane Trafficking R-HSA-199991;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PI Metabolism R-HSA-1483255;Phospholipid Metabolism R-HSA-1483257;RAC3 GTPase Cycle R-HSA-9013423;RHO GTPase Cycle R-HSA-9012999;RHOJ GTPase Cycle R-HSA-9013409;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Synthesis Of IP2, IP, And Ins In Cytosol R-HSA-1855183;Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204;Synthesis Of PIPs At Golgi Membrane R-HSA-1660514;Synthesis Of PIPs At Plasma Membrane R-HSA-1660499;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992"
ODR4,,,,,,
OGFR,,,,Interferon Alpha Response;Interferon Gamma Response,,
OLIG2,,,,,,
ONECUT3,,,,,,Developmental Biology R-HSA-1266738;Regulation Of Beta-Cell Development R-HSA-186712;Regulation Of Gene Expression In Early Pancreatic Precursor Cells R-HSA-210747;Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744
OPALIN,,,,,,
OSCP1,,,,,,
OSGIN2,,,,,,
OTOF,,,,,,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523;Protein Localization R-HSA-9609507;Sensory Perception R-HSA-9709957;Sensory Processing Of Sound R-HSA-9659379;Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360
OTUB1,,,,,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Ovarian Tumor Domain Proteases R-HSA-5689896;Post-translational Protein Modification R-HSA-597592;Ub-specific Processing Proteases R-HSA-5689880
OVOL2,,,,Estrogen Response Early;Estrogen Response Late,,
OXSM,,,,,Fatty acid biosynthesis,
PACC1,,,,,,
PANK2,,,,,Pantothenate and CoA biosynthesis,Coenzyme A Biosynthesis R-HSA-196783;Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Vitamin B5 (Pantothenate) Metabolism R-HSA-199220
PANX2,,,,,,Neuronal System R-HSA-112316
PANX3,,,,,,
PAPSS1,,,,,Purine metabolism;Selenocompound metabolism;Sulfur metabolism,Biological Oxidations R-HSA-211859;Cytosolic Sulfonation Of Small Molecules R-HSA-156584;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Glycosaminoglycan Metabolism R-HSA-1630316;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Carbohydrates R-HSA-71387;Oncogenic MAPK Signaling R-HSA-6802957;Phase II - Conjugation Of Compounds R-HSA-156580;Selenoamino Acid Metabolism R-HSA-2408522;Signaling By BRAF And RAF1 Fusions R-HSA-6802952;Transport And Synthesis Of PAPS R-HSA-174362
PARP11,,,,,,
PART1,,,,,,
PASD1,,,,,,
PAX7,,,,,Transcriptional misregulation in cancer,
PBDC1,,,,,,
PBX3,,,,,Transcriptional misregulation in cancer,
PCA3,,,,,,
PCBD2,,,,,Folate biosynthesis,
PCDH10,,,,,,
PCDH20,,,,,,
PCDH8,,,,,,
PCDHA1,,,,,,
PCDHA2,,,,,,
PCDHA9,,,,,,
PCDHB14,,,,,,
PCGEM1,,,,,,
PCID2,,,,,,
PCNX3,,,,,,
PDCD10,,,,,,
PDE4DIP,,,,Myogenesis,,
PDZD4,,,,,,
PDZD7,,,,,,
PEF1,,,,Coagulation,,
PELP1,,,,,,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;PTK6 Expression R-HSA-8849473;Signal Transduction R-HSA-162582;Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
PER2,,,,,Acute myeloid leukemia;Circadian entrainment;Circadian rhythm;Transcriptional misregulation in cancer,Circadian Clock R-HSA-400253
PGA3,,,,,Protein digestion and absorption,Metabolism Of Proteins R-HSA-392499;Surfactant Metabolism R-HSA-5683826
PGAP1,,,,,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Attachment Of GPI Anchor To uPAR R-HSA-162791;Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
PGAP2,,,,,,
PGBD1,,,,,,
PGGT1B,,,,,,
PHETA1,,,,,,
PHF10,,,,,Hepatocellular carcinoma,
PHF12,,,,,,
PHF21B,,,,,,
PHF23,,,,,,
PHF6,,,,,,
PHF7,,,,Spermatogenesis,,
PHLDB3,,,,,,
PI4KA,,,,,Inositol phosphate metabolism;Phosphatidylinositol signaling system,Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PI Metabolism R-HSA-1483255;Phospholipid Metabolism R-HSA-1483257;Synthesis Of PIPs At ER Membrane R-HSA-1483248;Synthesis Of PIPs At Golgi Membrane R-HSA-1660514
PIBF1,,,,,,
PIEZO1,,,,,,
PIGF,,,,,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592;Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710
PIH1D1,,,,,,
PIMREG,,,,,,
PKD2L1,,,,,Taste transduction,
PKIA,,,,Myogenesis,Alcoholism,
PLAGL2,,,,,,
PLEKHB2,,,,,,
PLIN5,,,,,PPAR signaling pathway,
PM20D2,,,,,,
PMFBP1,,,,,,
PMS1,,,,,,
PNMA2,,,,,,
PNPLA1,,,,,,
POGLUT2,,,,,,
POGZ,,,,,,
POLDIP2,,,,,,
POLR2M,,,,,,
POMGNT1,,,,,Mannose type O-glycan biosynthesis,Disease R-HSA-1643685;Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;O-linked Glycosylation R-HSA-5173105;Post-translational Protein Modification R-HSA-597592
POMT1,,,,,Mannose type O-glycan biosynthesis;Other types of O-glycan biosynthesis,Disease R-HSA-1643685;Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;O-linked Glycosylation R-HSA-5173105;Post-translational Protein Modification R-HSA-597592
POPDC3,,,,,,
PORCN,,,,,Wnt signaling pathway,Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;Signaling By WNT In Cancer R-HSA-4791275;WNT Ligand Biogenesis And Trafficking R-HSA-3238698
POTEI,,,,,,
POTEJ,,,,,,
POU1F1,,,,,"Growth hormone synthesis, secretion and action",
POU3F1,,,,,,Developmental Biology R-HSA-1266738;EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665;Nervous System Development R-HSA-9675108
POU3F4,,,,,,
PPIC,,,,,,
PPP1R15B,,,,Adipogenesis,,
PPP1R16B,,,,,,
PPP1R1C,,,,,,
PPP1R37,,,,,,
PPP1R7,,,,,,
PPP1R9B,,,,,,
PPP4R4,,,,,,
PRDM10,,,,,,
PRDM12,,,,,,
PRDM15,,,,,,
PREPL,,,,,,
PRKD3,,,,,Aldosterone synthesis and secretion;Rap1 signaling pathway,Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Sphingolipid De Novo Biosynthesis R-HSA-1660661;Sphingolipid Metabolism R-HSA-428157
PRMT8,,,,,,
PRNCR1,,,,,,
PROM2,,,,,,
PROSER1,,,,,,
PRPSAP1,,,,,,
PRR11,,,,,,
PRR13,,,,,,
PRR14L,,,,,,
PRRC2A,,,,,,
PRRG2,,,,,,
PRRT2,,,,,,
PSKH1,,,,,,
PSPC1,,,,,,
PTBP1,,,,,,FGFR2 Alternative Splicing R-HSA-6803529;Metabolism Of RNA R-HSA-8953854;Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203;Signal Transduction R-HSA-162582;Signaling By FGFR R-HSA-190236;Signaling By FGFR2 R-HSA-5654738;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;mRNA Splicing - Major Pathway R-HSA-72163;mRNA Splicing R-HSA-72172
PTCD1,,,,,,
PTCD3,,,,Adipogenesis,,Metabolism Of Proteins R-HSA-392499;Mitochondrial Translation R-HSA-5368287;Mitochondrial Translation Elongation R-HSA-5389840;Mitochondrial Translation Initiation R-HSA-5368286;Mitochondrial Translation Termination R-HSA-5419276;Translation R-HSA-72766
PTDSS1,,,,,Glycerophospholipid metabolism,Glycerophospholipid Biosynthesis R-HSA-1483206;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Phospholipid Metabolism R-HSA-1483257
PTGFRN,,,,,,
PTP4A1,,,,,,
PTPDC1,,,,,,
PTPRU,,,,,,Signal Transduction R-HSA-162582;Signaling By NTRK3 (TRKC) R-HSA-9034015;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By SCF-KIT R-HSA-1433557
PUM3,,,,,,
PURB,,,,,,
PUSL1,,,,,,
PWWP3A,,,,,,
QPCTL,,,,,,
R3HDM1,,,,,,
R3HDM2,,,,,,
RAB28,,,,,,
RAB6C,,,,,,
RABL2B,,,,,,
RABL3,,,,,,
RABL6,,,,,,
RAD18,,,,,,DNA Damage Bypass R-HSA-73893;DNA Repair R-HSA-73894;E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Protein Ubiquitination R-HSA-8852135;Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314
RAD54L2,,,,,,
RAI2,,,,,,
RALGPS1,,,,,,
RANBP3,,,,,Human T-cell leukemia virus 1 infection,
RAP2A,,,,,,
RASSF2,,,,,Hippo signaling pathway,
RASSF3,,,,,,
RASSF4,,,,,Hippo signaling pathway,
RAVER1,,,,,,
RBM10,,,,,,
RBM12,,,,,,
RBM15,,,,,,"RHO GTPase Cycle R-HSA-9012999;RHOBTB GTPase Cycle R-HSA-9706574;RHOBTB1 GTPase Cycle R-HSA-9013422;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
RBM19,,,,,,
RBM20,,,,,,
RBM23,,,,,,
RBM27,,,,,,
RBM34,,,,,,
RC3H1,,,,,,
RC3H2,,,,,,
RCOR3,,,,,,
RDM1,,,,,,
RECK,,,,,MicroRNAs in cancer,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
RECQL4,,,,,,
REEP4,,,,,,
REN,,,,,Diabetic cardiomyopathy;Renin secretion;Renin-angiotensin system,
REPS1,,,,,,"CDC42 GTPase Cycle R-HSA-9013148;Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;Membrane Trafficking R-HSA-199991;RAC1 GTPase Cycle R-HSA-9013149;RHO GTPase Cycle R-HSA-9012999;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Vesicle-mediated Transport R-HSA-5653656"
RETREG1,,,,Estrogen Response Early,,
RETREG3,,,,,,
RFPL3,,,,,,
RFX1,,,,,,
RFX4,,,,,,
RGN,,,,Coagulation,Ascorbate and aldarate metabolism;Pentose phosphate pathway,
RGPD1,,,,,,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Intra-Golgi Traffic R-HSA-6811438;Membrane Trafficking R-HSA-199991;RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198;Rab Regulation Of Trafficking R-HSA-9007101;Retrograde Transport At Trans-Golgi-Network R-HSA-6811440;Vesicle-mediated Transport R-HSA-5653656
RGPD6,,,,,,
RGPD8,,,,,,
RHBDD1,,,,,,
RHOXF2,,,,,,
RIC8A,,,,,,
RIMS3,,,,,,
RIMS4,,,,,,
RIOX1,,,,,,
RITA1,,,,,,
RLF,,,,,,
RMDN1,,,,,,
RMND1,,,,,,
RMND5A,,,,,,
RNF112,,,,,,
RNF121,,,,,,
RNF128,,,,,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Ovarian Tumor Domain Proteases R-HSA-5689896;Post-translational Protein Modification R-HSA-597592;Ub-specific Processing Proteases R-HSA-5689880
RNF180,,,,,,
RNF187,,,,,,
RNF26,,,,,,
RNF38,,,,,,
RNF43,,,,,Wnt signaling pathway,Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Regulation Of FZD By Ubiquitination R-HSA-4641263;Signal Transduction R-HSA-162582;Signaling By RNF43 Mutants R-HSA-5340588;Signaling By WNT R-HSA-195721;Signaling By WNT In Cancer R-HSA-4791275;TCF Dependent Signaling In Response To WNT R-HSA-201681
RO60,,,,,Systemic lupus erythematosus,Antimicrobial Peptides R-HSA-6803157;Immune System R-HSA-168256;Innate Immune System R-HSA-168249
RP1L1,,,,,,
RPAP1,,,,,,
RPAP3,,,,,,
RPF1,,,,,,
RPRML,,,,,,
RPUSD2,,,,,,
RRP15,,,,,,
RRP1B,,,,,,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
RRS1,,,,,,
RS1,,,,,,
RSBN1,,,,,,
RSPH9,,,,,,
RSPRY1,,,,,,
RSRC1,,,,,,
RTCB,,,,,,Metabolism Of RNA R-HSA-8953854;tRNA Processing R-HSA-72306;tRNA Processing In Nucleus R-HSA-6784531
RTL1,,,,,,
RTN4IP1,,,,,,
RUBCN,,,,,Autophagy,
RWDD1,,,,,,
RWDD4,,,,,,
S100A3,,,,,,
SAA4,,,,,,
SACS,,,,,,
SAFB,,,,,,Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Transcription Cofactors R-HSA-3899300
SALL4,,,,,,"Developmental Biology R-HSA-1266738;Intracellular Signaling By Second Messengers R-HSA-9006925;PIP3 Activates AKT Signaling R-HSA-1257604;POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247;PTEN Regulation R-HSA-6807070;Regulation Of PTEN Gene Transcription R-HSA-8943724;Signal Transduction R-HSA-162582;Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723"
SAMD5,,,,,,
SAPCD2,,,,,,
SART3,,,,,,
SAXO1,,,,,,
SBNO1,,,,,,
SCAMP4,,,,,,
SCAPER,,,,,,
SCFD2,,,,,,
SCGB1D1,,,,,,"LDL Clearance R-HSA-8964038;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Transport Of Small Molecules R-HSA-382551"
SCML2,,,,,,
SCN3A,,,,,Taste transduction,"Axon Guidance R-HSA-422475;Cardiac Conduction R-HSA-5576891;Developmental Biology R-HSA-1266738;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Muscle Contraction R-HSA-397014;Nervous System Development R-HSA-9675108;Phase 0 - Rapid Depolarisation R-HSA-5576892;Sensory Perception R-HSA-9709957;Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207;Sensory Perception Of Taste R-HSA-9717189"
SCN4B,,,,,Adrenergic signaling in cardiomyocytes,"Axon Guidance R-HSA-422475;Cardiac Conduction R-HSA-5576891;Developmental Biology R-HSA-1266738;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Muscle Contraction R-HSA-397014;Nervous System Development R-HSA-9675108;Phase 0 - Rapid Depolarisation R-HSA-5576892;Sensory Perception R-HSA-9709957;Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207;Sensory Perception Of Taste R-HSA-9717189"
SCN8A,,,,UV Response Dn,,Axon Guidance R-HSA-422475;Cardiac Conduction R-HSA-5576891;Developmental Biology R-HSA-1266738;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Muscle Contraction R-HSA-397014;Nervous System Development R-HSA-9675108;Phase 0 - Rapid Depolarisation R-HSA-5576892
SCRN1,,,,Protein Secretion,,
SDHAF3,,,,,,
SDK2,,,,,,Cell Junction Organization R-HSA-446728;Cell-Cell Communication R-HSA-1500931;Cell-cell Junction Organization R-HSA-421270
SEC16A,,,,,,Asparagine N-linked Glycosylation R-HSA-446203;COPII-mediated Vesicle Transport R-HSA-204005;ER To Golgi Anterograde Transport R-HSA-199977;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Transport To Golgi And Subsequent Modification R-HSA-948021;Vesicle-mediated Transport R-HSA-5653656
SEMA3F,,,,,Axon guidance,
SEMA4B,,,,,Axon guidance,
SEMA4C,,,,,Axon guidance,
SENP1,,,,,,"Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Processing And Activation Of SUMO R-HSA-3215018;RHO GTPase Cycle R-HSA-9012999;RHOF GTPase Cycle R-HSA-9035034;SUMO Is Proteolytically Processed R-HSA-3065679;SUMOylation R-HSA-2990846;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
SENP6,,,,,,
SEPTIN5,,,,,Parkinson disease;Pathways of neurodegeneration,
SERPINA12,,,,,,
SERPINA9,,,,,,
SERPINB7,,,,,,
SETD4,,,,,,
SFSWAP,,,,,,
SFXN2,,,,,,
SH3BGR,,,,Myogenesis,,
SH3BP5L,,,,,,
SH3TC2,,,,,,
SHBG,,,,,,
SHLD1,,,,,,
SHLD2,,,,,,
SHOX,,,,,,
SIAE,,,,,,
SIGIRR,,,,,,Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-37 Signaling R-HSA-9008059;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Signaling By Interleukins R-HSA-449147;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll-like Receptor Cascades R-HSA-168898
SIGLEC11,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
SIGLEC7,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
SIGLEC9,,,,,Neutrophil extracellular trap formation,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
SIGMAR1,,,,UV Response Up,Amyotrophic lateral sclerosis;Pathways of neurodegeneration,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Potential Therapeutics For SARS R-HSA-9679191;SARS-CoV Infections R-HSA-9679506
SIMC1,,,,,,
SIRT7,,,,,Nicotinate and nicotinamide metabolism,
SKA3,,,,,,
SLAMF8,,,,,,
SLC10A1,,,,,Bile secretion;Hepatitis B,Bile Acid And Bile Salt Metabolism R-HSA-194068;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Steroids R-HSA-8957322;Recycling Of Bile Acids And Salts R-HSA-159418
SLC12A6,,,,,,Cation-coupled Chloride Cotransporters R-HSA-426117;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393;Transport Of Small Molecules R-HSA-382551
SLC16A4,,,,,,
SLC22A9,,,,,,
SLC25A39,,,,,,
SLC25A40,,,,,,
SLC2A4RG,,,,,,
SLC35E1,,,,,,
SLC35G2,,,,,,
SLC38A7,,,,,,
SLC39A11,,,,,,
SLC39A9,,,,,,
SLC4A1AP,,,,,,
SLC5A2,,,,,,Cellular Hexose Transport R-HSA-189200;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Small Molecules R-HSA-382551
SLC6A17,,,,,,
SLCO1B1,,,,,Bile secretion,"Atorvastatin ADME R-HSA-9754706;Bile Acid And Bile Salt Metabolism R-HSA-194068;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Steroids R-HSA-8957322;Recycling Of Bile Acids And Salts R-HSA-159418;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Organic Anions R-HSA-879518;Transport Of Small Molecules R-HSA-382551;Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397"
