gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
ARID3B,,,,,,
ARL4D,,,,,,
ARL8B,,,,,Salmonella infection,
ARMC5,,,,,Cushing syndrome,
ARMC7,,,,,,
ARMH3,,,,,,
ART1,,,,,,
ART3,,,,Spermatogenesis,,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
ART4,,,,,,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
ASCC2,,,,,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
ASCC3,,,,,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
ASCL2,,,,,,
ASXL1,,,,,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;UCH Proteinases R-HSA-5689603
ATAD3A,,,,,,
ATL1,,,,,,
ATL3,,,,,,
ATOH7,,,,,,
ATPAF1,,,,,,
ATPSCKMT,,,,,,
ATXN1L,,,,,Notch signaling pathway;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN2L,,,,,Amyotrophic lateral sclerosis;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN7L2,,,,,,
AUNIP,,,,,,
AURKC,,,,,,
AXIN2,,,,Wnt-beta Catenin Signaling,Alzheimer disease;Basal cell carcinoma;Breast cancer;Colorectal cancer;Cushing syndrome;Endometrial cancer;Gastric cancer;Hepatocellular carcinoma;Hippo signaling pathway;Human papillomavirus infection;Pathways in cancer;Pathways of neurodegeneration;Signaling pathways regulating pluripotency of stem cells;Wnt signaling pathway,Beta-catenin Independent WNT Signaling R-HSA-3858494;Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364;Ca2+ Pathway R-HSA-4086398;Degradation Of AXIN R-HSA-4641257;Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253;Deubiquitination R-HSA-5688426;Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Repression Of WNT Target Genes R-HSA-4641265;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Ub-specific Processing Proteases R-HSA-5689880
B4GAT1,,,,,Mannose type O-glycan biosynthesis,Disease R-HSA-1643685;Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Glycosaminoglycan Metabolism R-HSA-1630316;Keratan Sulfate Biosynthesis R-HSA-2022854;Keratan Sulfate/Keratin Metabolism R-HSA-1638074;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387;Metabolism Of Proteins R-HSA-392499;O-linked Glycosylation R-HSA-5173105;Post-translational Protein Modification R-HSA-597592
BAG6,,,,,,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523;Protein Localization R-HSA-9609507
BAP1,,,,,,
BARHL2,,,,,,
BAZ2B,,,,,,
BCAR4,,,,,,
BCAS3,,,,,,
BCCIP,,,,,,
BCKDK,,,,,,Branched-chain Amino Acid Catabolism R-HSA-70895;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291
BCL2L12,,,,,,
BCL7B,,,,,,
BCL7C,,,,,,
BCORL1,,,,,,
BEAN1,,,,,Spinocerebellar ataxia,
BFSP1,,,,,,
BFSP2,,,,,,
BICRAL,,,,,,
BLOC1S2,,,,,,
BMI1,,,,,MicroRNAs in cancer;Signaling pathways regulating pluripotency of stem cells;Transcriptional misregulation in cancer,
BNC1,,,,,,
BRD3,,,,,,
BRD4,,,,,,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Potential Therapeutics For SARS R-HSA-9679191;SARS-CoV Infections R-HSA-9679506
BRI3BP,,,,,,
BRINP1,,,,,,
BRIX1,,,,,,
BRSK2,,,,,,
BSDC1,,,,,,
BTAF1,,,,,,
BTBD9,,,,,,
