gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
MACC1,no,7.163,5.198,82037,60733,-0.463
MAD1L1,no,3.344,4.067,38299,47527,0.283
MAD2L1,no,0.986,0.776,11295,9068,-0.346
MAEA,no,11.098,12.927,127100,151050,0.22
MAF,no,2.101,1.647,24058,19243,-0.351
MAFB,no,6.639,4.685,76036,54738,-0.503
MAFF,no,2.792,1.406,31971,16428,-0.99
MAGEA1,yes,0.015,,177,0,
MAGEA10,yes,0.036,,411,0,
MAGEA11,no,0.036,,410,0,
MAGEA12,yes,0.014,,162,0,
MAGEA3,yes,0.03,,349,0,
MAGEA4,yes,0.025,,285,0,
MAGEB2,no,0.044,,504,0,
MAGEC1,no,0.014,,160,0,
MAGEC2,no,0.025,,286,0,
MAGI1,no,4.44,4.638,50846,54190,0.063
MAGI3,no,3.289,2.809,37669,32819,-0.228
MAK,no,0.158,0.142,1813,1654,-0.161
MAL,no,0.12,0.084,1376,976,-0.524
MAL2,no,6.234,4.916,71397,57439,-0.343
MALL,no,4.019,2.13,46032,24889,-0.916
MALT1,no,3.482,3.533,39875,41286,0.021
MAML2,no,2.26,2.502,25887,29230,0.146
MAN1A1,no,27.64,25.525,316555,298256,-0.115
MAN1B1,no,9.868,11.973,113023,139903,0.279
MAN2B1,no,15.713,16.668,179958,194761,0.085
MANEA,no,3.358,2.016,38458,23557,-0.736
MAOA,no,15.652,14.953,179258,174718,-0.066
MAOB,no,3.29,4.212,37685,49218,0.356
MAP1A,no,0.726,0.56,8315,6540,-0.375
MAP1B,no,3.521,2.886,40330,33718,-0.287
MAP1LC3A,no,3.321,3.131,38033,36580,-0.085
MAP1LC3B,no,9.934,6.005,113776,70169,-0.726
MAP1S,no,3.631,4.378,41585,51150,0.27
MAP2,no,2.349,1.915,26899,22382,-0.294
MAP2K1,no,4.591,3.625,52585,42362,-0.341
MAP2K4,no,5.756,4.758,65928,55599,-0.275
MAP2K5,no,3.871,4.697,44332,54888,0.279
MAP3K1,no,6.146,8.665,70392,101251,0.496
MAP3K14,no,1.64,1.905,18784,22264,0.216
MAP3K15,no,0.603,0.308,6909,3598,-0.97
MAP3K20,no,3.54,3.03,40549,35408,-0.224
MAP3K5,no,5.551,4.769,63570,55719,-0.219
MAP3K7,no,7.362,8.034,84316,93876,0.126
MAP3K7CL,no,1.012,1.007,11587,11761,-0.007
MAP4,no,21.642,21.054,247864,246007,-0.04
MAP4K2,no,2.971,3.693,34030,43146,0.314
MAP4K3,no,4.416,4.552,50571,53188,0.044
MAP4K4,no,7.144,5.936,81815,69364,-0.267
MAP4K5,no,4.662,3.734,53395,43626,-0.32
MAP7,no,20.154,20.406,230818,238444,0.018
MAP7D1,no,6.318,6.538,72360,76392,0.049
MAPK1,no,12.287,10.624,140728,124144,-0.21
MAPK10,no,1.99,1.682,22794,19649,-0.243
MAPK11,no,0.727,0.909,8330,10624,0.322
MAPK12,no,0.309,0.469,3538,5484,0.603
MAPK14,no,5.16,6.672,59092,77955,0.371
MAPK15,no,0.208,0.389,2379,4549,0.906
MAPK3,no,8.17,12.041,93574,140692,0.559
MAPK7,no,1.421,1.599,16279,18688,0.17
MAPK8,no,4.446,4.116,50917,48090,-0.111
MAPK8IP1,no,7.489,7.416,85771,86659,-0.014
MAPK8IP2,no,0.886,0.948,10145,11072,0.097
MAPK8IP3,no,6.186,8.634,70845,100886,0.481
MAPK9,no,9.884,7.415,113205,86638,-0.415
MAPKAPK2,no,23.183,23.17,265509,270732,-0.001
MAPRE2,no,5.666,5.141,64893,60076,-0.14
MAPT,no,0.655,0.64,7501,7478,-0.033
MARCO,no,0.733,0.485,8392,5662,-0.597
MARK2,no,10.575,12.801,121115,149578,0.276
MAS1,no,0.018,,204,0,
MASP1,no,0.062,0.031,710,358,-1.017
MASP2,no,0.081,,923,0,
MAT1A,no,1.179,2.396,13500,27994,1.023
MAVS,no,11.258,13.182,128936,154031,0.228
MAX,no,5.721,5.229,65528,61102,-0.13
MBL2,no,0.037,,424,0,
MBNL1,no,8.831,8.597,101146,100449,-0.039
MC1R,no,0.221,0.27,2533,3154,0.287
MC3R,no,0.018,,208,0,
MC4R,no,0.029,,336,0,
MCAM,no,6.168,4.668,70644,54548,-0.402
MCCC1,no,16.068,14.964,184028,174847,-0.103
MCHR1,no,0.027,,307,0,
MCHR2,no,0.059,,671,0,
MCM2,no,1.351,1.499,15469,17516,0.15
MCM3,no,5.299,5.626,60685,65744,0.087
MCM3AP,no,8.676,11.775,99369,137589,0.441
MCM4,no,3.96,3.843,45352,44908,-0.043
MCM5,no,3.895,6.02,44606,70337,0.628
MCM6,no,1.864,1.852,21352,21639,-0.01
MCM7,no,6.862,7.165,78592,83723,0.062
MCM9,no,4.137,4.739,47376,55373,0.196
MCPH1,no,4.291,4.157,49147,48575,-0.046
MCTP2,no,6.546,7.025,74971,82083,0.102
MCTS1,no,8.48,7.464,97121,87211,-0.184
MDC1,no,3.053,2.757,34967,32219,-0.147
MDFIC,no,4.273,5.38,48938,62868,0.332
MDM1,no,1.878,2.029,21511,23707,0.111
MDM2,no,10.664,10.219,122134,119404,-0.062
MDM4,no,5.287,6.241,60556,72924,0.239
ME1,no,1.936,1.181,22170,13798,-0.713
MECOM,no,9.227,6.476,105678,75671,-0.511
MED1,no,4.488,4.138,51405,48347,-0.117
MED12,no,4.099,5.8,46943,67767,0.501
MED12L,no,0.12,0.071,1379,834,-0.754
MEF2A,no,7.276,7.004,83332,81845,-0.055
MEF2C,no,0.992,1.208,11359,14119,0.285
MEG3,no,15.323,10.334,175492,120745,-0.568
MEGF10,no,0.075,0.037,857,430,-1.024
MEGF8,no,2.46,2.719,28171,31767,0.144
MEIOB,yes,0.064,0.017,738,204,-1.884
MEIS1,no,12.616,15.568,144489,181912,0.303
MEIS2,no,3.354,4.147,38413,48453,0.306
MEIS3,no,4.787,4.222,54829,49330,-0.181
MELK,no,0.273,0.175,3131,2048,-0.641
MELTF,no,1.6,1.692,18326,19766,0.08
MEN1,no,4.387,5.226,50247,61067,0.252
MEPCE,no,4.921,5.617,56365,65636,0.191
MERTK,no,2.169,2.689,24842,31426,0.31
MEST,no,2.337,2.651,26770,30971,0.181
MET,no,5.275,3.472,60409,40564,-0.603
METRNL,no,2.41,2.221,27607,25957,-0.118
METTL16,no,3.603,4.164,41266,48650,0.209
METTL18,no,0.856,0.831,9799,9712,-0.042
METTL2A,no,4.499,4.152,51532,48518,-0.116
METTL3,no,9.112,11.792,104362,137791,0.372
MFAP5,no,0.604,0.344,6918,4022,-0.811
MFF,no,14.569,12.535,166854,146473,-0.217
MFGE8,no,4.735,3.452,54227,40333,-0.456
MFN2,no,5.72,5.283,65513,61734,-0.115
MFRP,no,0.02,,226,0,
MFSD5,no,1.954,1.865,22384,21790,-0.068
MGAM,no,0.106,0.08,1212,937,-0.4
MGMT,no,5.66,9.184,64822,107318,0.698
MIAT,no,0.086,0.128,990,1493,0.564
MICA,no,1.492,1.625,17090,18982,0.123
MICAL2,no,3.33,3.582,38142,41860,0.105
MICB,no,0.433,0.421,4956,4921,-0.039
MID2,no,5.069,5.411,58057,63224,0.094
MIEN1,no,2.924,2.403,33486,28079,-0.283
MIIP,no,4.49,4.747,51421,55465,0.08
MINDY1,no,4.785,6.045,54807,70637,0.337
MINDY2,no,3.864,4.735,44256,55328,0.293
MINPP1,no,3.716,3.645,42557,42593,-0.028
MIPOL1,no,3.186,4.397,36484,51380,0.465
MITD1,no,5.036,5.48,57679,64032,0.122
MITF,no,1.516,2.068,17357,24163,0.448
MKI67,no,0.406,0.307,4650,3590,-0.402
MKNK1,no,9.465,11.669,108400,136350,0.302
MKRN2,no,4.133,5.403,47333,63130,0.387
MKRN3,no,0.24,0.116,2745,1359,-1.043
MKX,no,0.098,0.063,1120,738,-0.631
MLANA,no,0.045,,519,0,
MLF1,no,1.504,1.243,17230,14520,-0.276
MLH1,no,3.423,4.064,39202,47481,0.248
MLPH,no,1.809,4.009,20721,46841,1.148
MLXIP,no,12.175,13.295,139438,155352,0.127
MLXIPL,no,2.319,2.819,26556,32935,0.282
MMACHC,no,1.484,1.428,17001,16683,-0.056
MMADHC,no,17.665,17.642,202314,206145,-0.002
MME,no,0.137,0.065,1565,764,-1.063
MMEL1,no,0.072,0.059,820,689,-0.28
MMP11,no,0.226,0.222,2588,2597,-0.024
MMP12,no,0.037,0.011,421,125,-1.781
MMP13,no,0.044,,503,0,
MMP14,no,20.536,21.743,235196,254059,0.082
MMP21,no,0.159,0.059,1822,695,-1.419
MMP8,no,0.049,0.015,556,178,-1.672
MMP9,no,0.037,0.076,419,884,1.048
MMRN2,no,1,1.488,11450,17383,0.573
MNS1,no,0.479,0.544,5482,6351,0.183
MNX1,no,3.387,5.034,38794,58817,0.571
MOB2,no,1.913,2.144,21904,25055,0.165
MOB4,no,2.758,1.907,31584,22285,-0.532
MOG,no,0.021,,239,0,
MON2,no,6.274,7.143,71856,83461,0.187
MOV10,no,5.332,7.284,61062,85110,0.45
MPDU1,no,9.205,7.766,105429,90747,-0.245
MPDZ,no,2.207,2.359,25276,27566,0.096
MPHOSPH9,no,3.149,2.876,36066,33606,-0.131
MPI,no,2.313,2.614,26487,30543,0.177
MPL,no,0.093,0.123,1063,1443,0.412
MPLKIP,no,0.812,0.477,9301,5570,-0.769
MPO,no,0.063,0.073,717,852,0.22
MPP7,no,8.247,7.602,94457,88826,-0.118
MPPED1,no,0.013,,152,0,
MPPED2,no,0.716,0.675,8204,7888,-0.086
MPZ,no,0.974,1.148,11160,13413,0.236
MPZL1,no,8.392,7.092,96117,82872,-0.243
MR1,no,1.342,1.148,15375,13410,-0.226
MRAP,no,0.021,,243,0,
MRAP2,no,2.306,1.123,26408,13117,-1.038
MRC1,no,3.876,4.012,44386,46879,0.05
MRC2,no,4.106,3.841,47024,44880,-0.096
MRE11,no,4.226,4.45,48403,52000,0.075
MRFAP1L1,no,15.104,11.684,172987,136521,-0.37
MRGPRX2,no,0.04,,456,0,
MRM3,no,2.241,2.469,25661,28846,0.14
MRPL45,no,11.329,12.174,129756,142246,0.104
MRTFA,no,2.809,3.95,32171,46155,0.492
MRTFB,no,5.87,6.536,67231,76366,0.155
MS4A1,no,0.09,0.111,1033,1297,0.299
MS4A2,no,0.093,0.111,1063,1299,0.26
MSC,no,1.69,0.905,19359,10572,-0.902
MSH2,no,4.479,3.991,51303,46633,-0.167
MSH3,no,6.113,7.147,70014,83509,0.225
MSH6,no,3.923,3.993,44925,46661,0.026
MSI1,no,2.046,2.125,23435,24825,0.054
MSI2,no,3.307,3.171,37880,37055,-0.061
MSN,no,16.053,19.967,183852,233314,0.315
MSR1,no,4.006,4.786,45875,55923,0.257
MST1,no,7.609,6.74,87141,78757,-0.175
MST1R,no,0.546,0.62,6252,7247,0.184
MSTN,no,0.079,0.024,900,280,-1.713
MT1A,no,0.266,0.128,3047,1496,-1.055
MTA1,no,12.38,15.878,141792,185525,0.359
MTA2,no,4.217,4.478,48294,52321,0.087
MTAP,no,7.682,7.278,87986,85036,-0.078
MTCH2,no,14.991,11.965,171688,139812,-0.325
MTCL1,no,4.158,2.909,47616,33989,-0.515
MTERF2,no,4.45,3.801,50970,44414,-0.228
MTFR1L,no,2.646,2.837,30306,33154,0.101
MTHFD1,no,7.567,6.905,86659,80683,-0.132
MTHFR,no,2.407,2.412,27563,28185,0.003
MTNR1A,no,0.53,0.391,6067,4572,-0.437
MTNR1B,no,0.023,,267,0,
MTOR,no,5.627,5.542,64450,64752,-0.022
MTPAP,no,4.519,4.754,51754,55545,0.073
MTR,no,9.784,11.886,112057,138883,0.281
MTRES1,no,2.706,2.541,30991,29696,-0.09
MTREX,no,10.267,9.832,117588,114889,-0.062
MTRF1,no,3.804,3.853,43572,45025,0.018
MUC1,no,7.475,10.505,85610,122752,0.491
MUC16,no,0.013,,153,0,
MUC19,no,0.092,0.014,1050,165,-2.699
MUC5AC,no,0.013,0.018,149,207,0.445
MUC5B,no,0.182,0.262,2079,3064,0.531
MUTYH,no,1.23,1.423,14088,16623,0.21
MVD,no,1.334,1.027,15279,11999,-0.378
MVP,no,28.191,34.584,322868,404106,0.295
MX1,no,3.997,3.217,45780,37585,-0.313
MXD1,no,1.533,1.641,17554,19170,0.098
MXRA7,no,29.7,15.1,340157,176440,-0.976
MYB,no,0.145,0.105,1662,1230,-0.463
MYBBP1A,no,4.902,6.494,56145,75880,0.406
MYBL2,no,3.288,2.79,37657,32599,-0.237
MYC,no,17.481,11.033,200213,128915,-0.664
MYCBP,no,10.612,8.062,121541,94201,-0.397
MYCL,no,2.501,3.87,28645,45216,0.63
MYCN,no,0.07,0.021,804,247,-1.732
MYD88,no,4.212,3.931,48242,45936,-0.1
MYEF2,no,5.469,5.715,62633,66775,0.063
MYH1,yes,0.027,,312,0,
MYH10,no,3.705,3.859,42434,45097,0.059
MYH13,yes,0.018,,210,0,
MYH2,yes,0.029,,330,0,
MYH4,yes,0.02,,232,0,
MYH9,no,63.504,61.585,727305,719603,-0.044
MYLIP,no,1.211,1.871,13866,21858,0.628
MYLK,no,2.07,2.896,23708,33834,0.484
MYLK2,no,0.482,0.577,5520,6737,0.259
MYLK3,no,0.098,0.076,1117,885,-0.365
MYNN,no,2.209,2.127,25302,24859,-0.054
MYO15A,no,0.183,0.195,2100,2277,0.088
MYO18B,no,0.466,0.044,5335,515,-3.402
MYO1B,no,21.186,20.844,242637,243557,-0.023
MYO1C,no,23.771,24.708,272248,288711,0.056
MYO1D,no,8.737,8.76,100059,102362,0.004
MYO1E,no,6.373,7.443,72991,86967,0.224
MYO1F,no,0.963,1.887,11034,22054,0.97
MYO5A,no,3.536,3.64,40495,42528,0.042
MYO5B,no,7.334,6.553,83993,76571,-0.162
MYO6,no,12.035,11.312,137836,132182,-0.089
MYOD1,yes,0.011,,125,0,
MYOF,no,5.229,5.756,59888,67261,0.139
MYOT,no,0.116,0.096,1333,1123,-0.276
MZB1,no,0.054,0.385,619,4497,2.832
MZF1,no,2.331,2.877,26697,33618,0.304
N4BP2,no,4.367,3.967,50010,46358,-0.138
NAA15,no,6.725,6.023,77024,70379,-0.159
NAA16,no,10.949,9.4,125393,109841,-0.22
NAA40,no,4.396,5.601,50350,65446,0.349
NAAA,no,2.612,2.901,29915,33896,0.151
NACC2,no,2.671,2.613,30593,30527,-0.032
NAIF1,no,1.047,0.944,11986,11028,-0.149
NAIP,no,6.092,11.523,69774,134645,0.919
NANOG,yes,0.193,0.109,2213,1269,-0.831
NAP1L3,no,0.469,0.297,5375,3468,-0.661
NAP1L4,no,11.328,12.844,129737,150078,0.181
NAP1L5,no,1.971,0.861,22569,10066,-1.194
NAT1,no,0.467,0.361,5345,4223,-0.369
NAT10,no,1.332,1.386,15255,16195,0.057
NAT2,no,0.041,,466,0,
NAV1,no,2.102,2.148,24072,25097,0.031
NAV2,no,3.723,4.052,42645,47345,0.122
NBL1,no,7.136,7.533,81728,88018,0.078
NBN,no,8.208,7.406,94010,86533,-0.148
NBPF3,no,0.26,0.34,2979,3970,0.385
NCAM1,no,0.984,1.405,11267,16422,0.515
NCBP1,no,6.557,6.304,75093,73656,-0.057
NCBP3,no,8.881,10.124,101709,118299,0.189
NCEH1,no,3.547,3.524,40627,41177,-0.01
NCF1,no,0.709,1.514,8121,17687,1.094
NCF2,no,1.758,2.19,20137,25588,0.317
NCF4,no,0.782,1.275,8952,14898,0.706
NCK1,no,6.711,7.088,76865,82818,0.079
NCLN,no,10.915,11.579,125008,135302,0.085
NCOA1,no,6.833,6.658,78254,77797,-0.037
NCOA2,no,4.565,4.907,52278,57339,0.104
NCOA3,no,5.617,5.999,64331,70095,0.095
NCOA4,no,18.143,16.985,207791,198469,-0.095
NCOR1,no,11.263,12.236,128992,142974,0.12
NCOR2,no,23.348,27.821,267399,325077,0.253
NCR1,no,0.024,0.019,270,221,-0.318
NCR2,no,0.017,,195,0,
NCR3,no,0.05,0.033,572,383,-0.608
NCS1,no,2.345,1.907,26860,22285,-0.298
NCSTN,no,11.413,11.819,130715,138104,0.05
NDNF,no,0.089,0.115,1019,1339,0.365
NDP,no,0.033,0.009,376,100,-1.94
NDRG1,no,16.842,17.238,192885,201421,0.034
NDRG2,no,10.596,11.249,121350,131438,0.086
NDRG4,no,1.114,0.52,12755,6077,-1.099
NDST4,no,0.123,0.025,1411,297,-2.277
NDUFA3,no,1.814,2.297,20771,26842,0.341
NDUFAB1,no,6.042,4.949,69204,57832,-0.288
NEBL,no,1.417,1.147,16226,13397,-0.305
NECAB2,no,0.354,0.585,4055,6836,0.725
NECTIN1,no,3.21,3.187,36763,37245,-0.01
NECTIN2,no,10.606,9.066,121473,105933,-0.226
NECTIN3,no,2.917,2.623,33407,30646,-0.153
NEDD4,no,1.941,1.795,22230,20976,-0.113
NEDD4L,no,6.216,5.657,71195,66100,-0.136
NEDD9,no,3.241,2.583,37117,30183,-0.327
NEFH,no,0.25,0.133,2860,1554,-0.909
NEFL,no,0.076,0.021,875,250,-1.836
NEFM,no,0.253,0.266,2894,3112,0.076
NEIL3,no,0.093,0.054,1060,630,-0.78
NEK1,no,3.441,3.387,39407,39573,-0.023
NEK11,no,1.641,2.043,18793,23867,0.316
NEK2,no,0.224,0.09,2566,1047,-1.322
NEK3,no,1.515,2.177,17347,25435,0.523
NEK4,no,4.438,4.077,50828,47639,-0.122
NEK5,no,0.139,0.113,1587,1326,-0.288
NEK6,no,10.099,12.292,115658,143630,0.284
NEK8,no,1.421,1.414,16269,16517,-0.007
NELL1,no,0.029,,337,0,
NEMP1,no,1.432,1.751,16397,20463,0.291
NEPRO,no,7.102,6.832,81342,79830,-0.056
NES,no,2.284,2.32,26154,27105,0.023
NETO1,no,0.151,0.066,1727,766,-1.202
NEURL4,no,3.513,4.845,40236,56607,0.464
NEUROD1,no,1.227,0.951,14050,11111,-0.367
NEUROD2,no,0.032,0.01,367,114,-1.716
NEUROG2,no,0.044,,509,0,
NEXN,no,1.098,1.486,12574,17358,0.436
NF1,no,7.066,6.599,80931,77113,-0.099
NF2,no,9.025,7.428,103367,86799,-0.281
NFAT5,no,5.281,5.703,60482,66635,0.111
NFATC1,no,1.318,1.555,15093,18175,0.239
NFATC2,no,1.293,1.217,14807,14226,-0.087
NFATC3,no,3.852,3.766,44120,44008,-0.033
NFATC4,no,1.719,1.732,19683,20243,0.012
NFE2L1,no,11.136,10.928,127537,127690,-0.027
NFE2L2,no,21.374,19.43,244796,227030,-0.138
NFE2L3,no,1.857,1.936,21263,22626,0.061
NFKB1,no,4.659,4.48,53358,52342,-0.057
NFKB2,no,9.249,11.489,105927,134241,0.313
NFX1,no,8.88,12.631,101701,147595,0.508
NGB,no,0.024,0.018,274,210,-0.413
NGDN,no,3.351,3.858,38382,45074,0.203
NGF,no,0.049,0.036,565,424,-0.443
NGFR,no,2.743,1.52,31415,17760,-0.852
NHLH2,no,0.095,0.016,1093,189,-2.561
NIBAN1,no,15.799,15.221,180945,177856,-0.054
NIFK,no,3.777,3.867,43261,45183,0.034
NIN,no,3.873,3.944,44362,46090,0.026
NINJ1,no,3.95,3.586,45242,41906,-0.139
NIPSNAP1,no,8.535,7.744,97749,90490,-0.14
NIPSNAP3A,no,3.665,2.695,41978,31488,-0.444
NKAPD1,no,5.713,5.144,65428,60112,-0.151
NKAPL,no,0.354,0.342,4059,4001,-0.05
NKRF,no,1.696,1.78,19421,20799,0.07
NKX2-1,no,0.045,,518,0,
NKX2-3,no,0.219,0.352,2509,4109,0.683
NKX2-4,no,0.048,,555,0,
NKX2-8,no,0.033,0.009,382,106,-1.878
NKX3-1,no,0.669,0.422,7659,4933,-0.664
NLE1,no,1.582,1.376,18114,16082,-0.201
NLGN3,no,0.043,0.036,492,421,-0.254
NLRC5,no,1.404,2.182,16081,25498,0.636
NLRP1,no,0.691,1.802,7909,21057,1.384
NLRP11,no,0.052,0.05,592,581,-0.056
NLRP2,no,0.863,1.06,9885,12386,0.296
NLRP3,no,0.247,0.519,2828,6060,1.071
NLRP5,yes,0.017,,200,0,
NLRP6,no,0.023,0.034,265,396,0.551
NLRP7,yes,0.017,0.009,189,102,-0.919
NLRP9,no,0.047,0.011,541,126,-2.131
NMB,no,1.233,1.157,14119,13515,-0.092
NME1,no,13.364,9.298,153055,108642,-0.523
NMNAT1,no,2.128,2.358,24375,27554,0.148
NMU,no,0.124,0.022,1417,258,-2.486
NNAT,no,0.066,0.027,759,314,-1.302
NOA1,no,10.116,10.502,115853,122718,0.054
NOC3L,no,4.225,4.319,48388,50463,0.032
NOD1,no,0.899,1.181,10291,13803,0.395
NOD2,no,0.111,0.207,1271,2413,0.896
NODAL,no,0.032,,365,0,
NOL4,no,0.381,0.29,4369,3389,-0.395
NOL4L,no,4.215,5.992,48277,70019,0.508
NOLC1,no,13.422,12.068,153722,141008,-0.153
NOM1,no,4.72,5.091,54060,59484,0.109
NOMO3,no,6.792,6.631,77790,77477,-0.035
NONO,no,43.553,43.032,498814,502823,-0.017
NOP2,no,3.299,3.066,37788,35829,-0.106
NORAD,no,24.342,23.362,278782,272981,-0.059
NOS1,no,0.87,0.821,9965,9597,-0.083
NOS1AP,no,0.315,0.279,3610,3259,-0.176
NOS2,no,0.032,0.011,370,123,-1.618
NOS3,no,1.286,1.835,14734,21444,0.513
NOSTRIN,no,11.572,10.017,132536,117043,-0.208
NOTCH1,no,6.25,5.839,71582,68226,-0.098
NOTCH2,no,13.495,13.943,154560,162926,0.047
NOTCH2NLA,no,18.638,20.451,213462,238970,0.134
NOTCH3,no,2.55,2.695,29204,31490,0.08
NOTCH4,no,1.477,2.53,16919,29568,0.776
NOX1,no,0.019,,223,0,
NOX4,no,0.301,0.189,3447,2206,-0.673
NPAS4,no,0.055,0.034,630,399,-0.688
NPAT,no,4.146,4.176,47481,48790,0.01
NPC1,no,2.764,2.718,31661,31757,-0.025
NPC1L1,no,0.164,0.087,1877,1012,-0.92
NPFFR2,no,0.038,0.012,433,143,-1.627
NPM3,no,10.173,8.638,116511,100934,-0.236
NPNT,no,8.501,7.076,97367,82684,-0.265
NPPA,yes,0.3,0.095,3433,1112,-1.655
NPPB,yes,0.026,,300,0,
NPPC,yes,0.092,0.013,1049,148,-2.854
NPR1,no,1.375,1.644,15752,19208,0.257
NPR3,no,0.163,0.242,1868,2827,0.569
NPSR1,no,0.031,,357,0,
NPTN,no,22.13,20.497,253456,239503,-0.111
NPTX2,no,2.099,1.007,24043,11762,-1.06
NPY1R,no,2.792,1.753,31979,20479,-0.672
NPY2R,no,0.026,0.009,295,102,-1.561
NQO1,no,0.903,1.089,10338,12730,0.271
NQO2,no,2.733,2.66,31301,31087,-0.039
NR0B1,no,0.336,0.106,3851,1238,-1.666
NR0B2,no,3.311,3.184,37921,37204,-0.056
NR1H2,no,13.08,13.019,149801,152120,-0.007
NR1H3,no,4.006,4.722,45876,55170,0.237
NR1H4,no,1.689,1.68,19347,19632,-0.008
NR1I2,no,0.057,0.06,651,704,0.084
NR1I3,no,0.03,,346,0,
NR2C2,no,4.139,5.585,47402,65265,0.432
NR2E3,yes,0.325,0.362,3721,4235,0.158
NR3C1,no,4.017,4.475,46011,52286,0.156
NR3C2,no,1.83,1.829,20954,21370,-0.001
NR4A1,no,13.472,14.389,154293,168137,0.095
NR4A3,no,2.019,0.455,23126,5318,-2.149
NR5A1,no,0.021,,244,0,
NR5A2,no,37.066,34.501,424518,403138,-0.103
NR6A1,no,1.611,2.235,18451,26117,0.472
NRAS,no,7.324,4.932,83886,57624,-0.571
NRDE2,no,1.736,2.27,19885,26520,0.386
NREP,no,2.572,1.639,29456,19155,-0.65
NRF1,no,1.324,1.589,15158,18568,0.264
NRIP1,no,7.68,6.29,87964,73498,-0.288
NRK,no,0.192,0.057,2204,668,-1.751
NRN1,no,1.054,1.47,12073,17181,0.48
NRP1,no,9.852,10.914,112831,127524,0.148
NRP2,no,0.303,0.339,3471,3962,0.162
NRROS,no,0.576,0.939,6593,10970,0.706
NRSN1,no,0.101,0.022,1152,255,-2.204
NRSN2,no,1.457,1.168,16690,13648,-0.319
NRXN2,no,1.102,1.165,12624,13611,0.08
NSD2,no,6.299,5.784,72143,67582,-0.123
NSUN2,no,6.67,6.375,76386,74485,-0.065
NSUN5,no,8.753,10.577,100249,123589,0.273
NT5C2,no,7.345,9.409,84127,109937,0.357
NT5DC2,no,3.73,3.18,42722,37155,-0.23
NT5DC3,no,1.258,1.002,14407,11708,-0.328
NT5E,no,0.882,0.966,10099,11285,0.131
NTF3,no,0.082,0.068,940,793,-0.274
NTMT1,no,3.937,4.222,45095,49335,0.101
NTN1,no,1.445,1.174,16550,13713,-0.3
NTN4,no,16.581,15.892,189897,185694,-0.061
NTNG2,no,0.29,0.152,3321,1771,-0.936
NTPCR,no,5.722,4.373,65534,51098,-0.388
NTRK1,no,0.39,0.071,4465,832,-2.453
NTRK2,no,3.893,5.039,44589,58874,0.372
NTS,no,0.064,0.029,728,338,-1.136
NTSR1,no,0.024,0.012,275,135,-1.055
NTSR2,no,0.015,0.014,175,163,-0.131
NUAK2,no,4.965,8.234,56861,96214,0.73
NUCB2,no,39.986,33.989,457957,397154,-0.234
NUDCD1,no,3.477,3.15,39827,36806,-0.143
NUDCD2,no,6.213,4.562,71161,53310,-0.446
NUDT1,no,1.819,1.562,20836,18250,-0.22
NUDT16L1,no,1.998,2.162,22884,25267,0.114
NUDT21,no,7.404,5.888,84802,68800,-0.331
NUMA1,no,18.232,26.873,208812,314002,0.56
NUMB,no,7.312,7.871,83748,91976,0.106
NUP107,no,2.518,2.6,28844,30376,0.046
NUP153,no,4.315,3.911,49414,45699,-0.142
NUP214,no,2.171,2.283,24867,26679,0.073
NUP62,no,2.366,2.856,27092,33367,0.272
NUP93,no,2.979,2.724,34124,31824,-0.13
NUP98,no,9.126,9.056,104516,105815,-0.011
NUSAP1,no,0.434,0.38,4970,4440,-0.192
NUTF2,no,13.652,11.32,156361,132269,-0.27
NVL,no,2.42,3.136,27716,36647,0.374
NXF1,no,8.09,11.417,92660,133403,0.497
NXF3,no,0.068,0.034,779,402,-0.983
NXN,no,6.117,7.398,70058,86449,0.274
NXPH2,no,0.054,0.011,623,125,-2.346
NXPH4,no,0.87,0.154,9967,1803,-2.496
NXT2,no,2.221,1.352,25435,15795,-0.716
NYX,no,0.025,,287,0,
OAS1,no,0.53,0.713,6073,8336,0.428
OAS3,no,1.628,1.975,18647,23079,0.279
OBP2A,no,0.019,0.009,213,101,-1.105
OCLN,no,18.515,14.318,212049,167305,-0.371
OCM2,no,0.03,0.02,347,230,-0.622
OCRL,no,4.965,4.776,56862,55807,-0.056
ODF2L,no,3.549,3.838,40650,44846,0.113
ODR4,no,8.187,8.045,93771,94007,-0.025
OGDH,no,10.837,9.672,124112,113017,-0.164
OGFR,no,5.888,7.702,67435,89997,0.387
OGG1,no,0.461,0.398,5279,4650,-0.212
OGT,no,18.638,25.623,213457,299397,0.459
OIT3,no,0.061,0.043,695,503,-0.495
OLFM1,no,2.479,2.076,28388,24255,-0.256
OLFM2,no,0.919,0.618,10521,7222,-0.572
OLFML3,no,6.477,6.57,74183,76765,0.02
OLIG1,no,0.058,0.017,666,201,-1.757
OLIG2,no,0.05,0.019,569,227,-1.355
OLR1,no,0.469,0.76,5367,8877,0.697
ONECUT3,no,0.019,,216,0,
OPALIN,no,0.027,,306,0,
OPN1LW,yes,0.022,,254,0,
OPRD1,no,0.148,0.065,1700,758,-1.194
OPRK1,no,0.027,,314,0,
OPRL1,no,0.201,0.269,2298,3138,0.421
OPRM1,no,0.068,0.048,784,558,-0.519
OPRPN,no,0.045,,511,0,
OPTN,no,11.981,10.83,137216,126551,-0.146
ORAI2,no,2.264,2.21,25928,25827,-0.035
