gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
AP3B2,no,0.529,0.538,6055,6283,0.024
AP3D1,no,17.299,19.204,198129,224393,0.151
AP3M2,no,0.504,0.639,5771,7470,0.343
AP5B1,no,5.088,4.826,58272,56393,-0.076
APAF1,no,2.69,3.132,30809,36599,0.22
APC,no,2.242,1.79,25676,20918,-0.325
APCDD1,no,4.864,3.441,55704,40207,-0.499
APELA,no,0.032,,368,0,
APEX1,no,16.68,16.64,191030,194432,-0.003
APEX2,no,1.521,1.799,17417,21018,0.242
APH1B,no,1.934,1.925,22149,22492,-0.007
API5,no,12.976,11.907,148614,139128,-0.124
APLF,no,2.679,1.68,30688,19625,-0.674
APLN,no,0.182,0.065,2085,758,-1.489
APLNR,no,0.195,0.181,2233,2119,-0.105
APMAP,no,8.848,7.818,101340,91354,-0.179
APOB,no,0.084,0.046,963,539,-0.866
APOBEC3B,no,0.255,0.223,2922,2606,-0.194
APOBEC3C,no,2.812,2.273,32208,26558,-0.307
APOBEC3D,no,0.112,0.164,1281,1920,0.555
APOBEC3F,no,0.385,0.325,4405,3798,-0.243
APOBEC3G,no,0.489,0.712,5599,8315,0.542
APOL1,no,2.976,3.829,34087,44740,0.363
APOL2,no,5.605,5.386,64194,62930,-0.058
APOL3,no,1.127,1.638,12904,19141,0.54
APOL6,no,4.177,3.899,47842,45556,-0.1
APOM,no,0.442,0.447,5058,5221,0.017
APP,no,50.114,50.835,573949,593997,0.021
APPBP2,no,6.49,6.647,74331,77668,0.034
APTX,no,5.88,5.166,67349,60362,-0.187
AQP4,no,0.111,0.065,1270,765,-0.76
AQP5,no,0.12,0.059,1377,688,-1.03
AQP7,no,1.301,1.59,14895,18582,0.29
AQP8,no,23.06,30.156,264108,352363,0.387
AQP9,no,0.293,0.248,3352,2892,-0.242
AR,no,0.412,0.481,4715,5625,0.226
ARC,no,0.061,0.07,695,817,0.204
ARF1,no,31.315,26.707,358646,312064,-0.23
ARF6,no,11.185,8.344,128105,97494,-0.423
ARFIP1,no,3.469,3.636,39728,42491,0.068
ARG1,yes,0.126,0.057,1444,664,-1.15
ARG2,no,0.298,0.093,3414,1088,-1.679
ARHGAP35,no,10.331,10.862,118320,126919,0.072
ARHGAP36,no,0.022,,251,0,
ARHGEF2,no,4.689,7.396,53702,86415,0.657
ARHGEF7,no,2.982,3.78,34157,44169,0.342
ARID1A,no,8.211,9.872,94035,115347,0.266
ARID3B,no,1.125,1.341,12886,15669,0.253
ARL4D,no,0.418,0.337,4783,3939,-0.309
ARL8B,no,14.948,12.581,171199,147010,-0.249
ARMC5,no,0.437,0.44,5000,5145,0.012
ARMC7,no,0.674,0.768,7715,8969,0.188
ARMH3,no,3.464,4.542,39668,53072,0.391
ARNT,no,7.834,8.125,89721,94936,0.053
ARNTL,no,2.412,3.3,27620,38561,0.453
ARR3,yes,0.019,,214,0,
ARRB1,no,6.23,6.741,71356,78769,0.114
ARRB2,no,9.204,10.614,105415,124023,0.206
ARRDC3,no,11.7,5.116,133995,59781,-1.193
ART1,no,0.014,,160,0,
ART3,no,0.82,0.104,9392,1211,-2.984
ART4,no,0.322,0.321,3685,3747,-0.005
ARX,no,0.408,0.396,4677,4622,-0.046
ASCC2,no,5.019,5.787,57478,67616,0.205
ASCC3,no,6.651,6.108,76177,71373,-0.123
ASCL1,no,0.092,0.068,1052,794,-0.435
ASCL2,no,0.182,0.23,2085,2685,0.336
ASF1B,no,0.248,0.148,2836,1731,-0.741
ASH2L,no,5.713,5.882,65435,68725,0.042
ASIC1,no,0.317,0.398,3633,4655,0.329
ASPM,no,0.215,0.128,2463,1491,-0.753
ASPN,no,0.982,0.979,11244,11440,-0.004
ASTN2,no,1.454,1.297,16655,15150,-0.166
ASXL1,no,7.207,8.381,82542,97927,0.218
ATAD3A,no,2.293,2.216,26266,25893,-0.05
ATF1,no,2.801,2.686,32075,31387,-0.06
ATF2,no,7.302,6.753,83635,78904,-0.113
ATF3,no,5.902,2.359,67595,27560,-1.323
ATF4,no,51.875,47.634,594118,556593,-0.123
ATF6,no,14.434,14.665,165310,171358,0.023
ATG10,no,1.372,1.118,15712,13061,-0.296
ATG16L1,no,2.21,2.376,25308,27765,0.105
ATG2A,no,2.455,3.748,28120,43792,0.61
ATG5,no,4.701,4.044,53843,47254,-0.217
ATG7,no,1.781,2.171,20399,25366,0.285
ATIC,no,10.254,10.1,117438,118013,-0.022
ATL1,no,1.164,1.282,13333,14976,0.139
ATL2,no,4.971,5.374,56927,62796,0.113
ATL3,no,12.335,11.606,141271,135617,-0.088
ATM,no,9.108,10.276,104310,120077,0.174
ATOH1,no,0.032,,362,0,
ATOH7,no,0.146,0.09,1672,1049,-0.701
ATOH8,no,0.433,0.872,4954,10188,1.011
ATP10D,no,3.528,2.767,40402,32333,-0.35
ATP13A2,no,7.647,8.152,87584,95256,0.092
ATP1A1,no,56.009,55.094,641463,643760,-0.024
ATP2A2,no,14.018,12.195,160553,142491,-0.201
ATP2B1,no,4.903,4.146,56153,48450,-0.242
ATP5F1A,no,53.407,52.883,611667,617920,-0.014
ATP5F1C,no,23.016,20.941,263606,244694,-0.136
ATP6V1B1,no,0.42,0.459,4806,5363,0.129
ATP6V1H,no,3.994,4.168,45738,48703,0.062
ATP7A,no,2.574,2.479,29484,28964,-0.055
ATP7B,no,0.706,1.014,8086,11851,0.523
ATPAF1,no,6.095,5.911,69810,69066,-0.044
ATPSCKMT,no,2.464,1.903,28219,22233,-0.373
ATR,no,3.923,3.607,44927,42144,-0.121
ATRX,no,11.521,10.23,131955,119531,-0.172
ATXN1,no,4.209,5.024,48208,58700,0.255
ATXN1L,no,3.495,3.155,40033,36861,-0.148
ATXN2,no,7.638,8.796,87481,102778,0.204
ATXN2L,no,16.601,20.651,190127,241303,0.315
ATXN3,no,6.574,6.332,75297,73982,-0.054
ATXN7L2,no,0.546,0.7,6257,8181,0.358
AUNIP,no,0.121,0.045,1389,529,-1.422
AURKA,no,0.499,0.361,5715,4224,-0.465
AURKB,no,0.305,0.272,3488,3183,-0.161
AURKC,no,0.23,0.202,2631,2363,-0.184
AVPR1A,no,0.435,0.432,4979,5048,-0.009
AVPR1B,no,0.165,0.169,1893,1978,0.034
AVPR2,no,0.153,0.292,1751,3409,0.932
AXIN1,no,6.194,7.19,70937,84013,0.215
AXIN2,no,1.089,1.71,12475,19983,0.651
AXL,no,3.909,3.951,44774,46171,0.015
B3GAT1,no,0.122,0.08,1395,940,-0.598
B4GAT1,no,5.564,5.516,63725,64448,-0.013
BAALC,no,1.359,1.377,15568,16086,0.018
BAAT,yes,0.184,0.091,2112,1069,-1.011
BACE1,no,21.772,20.142,249355,235357,-0.112
BACE2,no,22.264,25.449,254988,297366,0.193
BACH2,no,1.134,1.187,12990,13869,0.066
BAD,no,0.348,0.301,3987,3518,-0.209
BAG2,no,1.324,1.035,15159,12097,-0.354
BAG3,no,4.188,4.916,47963,57439,0.231
BAG6,no,13.313,14.949,152470,174673,0.167
BAIAP2,no,0.783,1.127,8963,13167,0.526
BAK1,no,3.058,2.46,35028,28744,-0.314
BANK1,no,0.233,0.132,2664,1543,-0.817
BAP1,no,7.501,8.33,85910,97337,0.151
BARD1,no,1.286,0.969,14726,11317,-0.409
BARHL2,no,0.113,0.078,1295,916,-0.528
BARX2,no,2.063,1.33,23622,15546,-0.632
BATF,no,0.664,0.516,7602,6029,-0.363
BATF3,no,0.311,0.386,3567,4512,0.31
BAX,no,1.317,1.334,15080,15593,0.019
BAZ2B,no,4.726,5.315,54121,62109,0.17
BBC3,no,1.991,2.122,22808,24790,0.091
BCAM,no,7.253,10.178,83066,118932,0.489
BCAN,no,0.043,0.011,492,126,-1.994
BCAR1,no,1.48,1.141,16949,13338,-0.375
BCAR3,no,0.807,1.096,9244,12808,0.442
BCAR4,no,0.029,,328,0,
BCAS3,no,4.26,4.701,48791,54927,0.142
BCCIP,no,12.009,10.404,137536,121564,-0.207
BCHE,no,0.193,0.124,2212,1451,-0.637
BCKDK,no,8.539,8.785,97800,102648,0.041
BCL10,no,4.167,3.776,47720,44124,-0.142
BCL11A,no,2.776,2.232,31797,26079,-0.315
BCL11B,no,0.083,0.146,949,1708,0.819
