source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
thymus,07_thymocyte_DP,CD1A,DP,both,0.119,0.269,0.269,
thymus,07_thymocyte_DP,CD1B,DP,both,0.136,0.348,0.348,
thymus,07_thymocyte_DP,CD1E,DP,both,0.256,0.657,0.657,
thymus,07_thymocyte_DP,CD3E,,both,33.355,24.568,33.355,
thymus,07_thymocyte_DP,CD3G,,both,4.184,3.243,4.184,
thymus,07_thymocyte_DP,CD4,CD4,both,11.554,6.913,11.554,
thymus,07_thymocyte_DP,CD5,,cellxgene,5.523,5.293,5.523,
thymus,07_thymocyte_DP,CD8A,CD8,both,10.524,22.256,22.256,
thymus,07_thymocyte_DP,CD8B,CD8,both,1.438,1.578,1.578,
thymus,07_thymocyte_DP,DNTT,DN,both,0.348,0.396,0.396,
thymus,07_thymocyte_DP,LAT,,cellxgene,7.312,9.725,9.725,
thymus,07_thymocyte_DP,LCK,,both,6.358,6.631,6.631,
thymus,07_thymocyte_DP,LEF1,,cellxgene,14.048,12.949,14.048,
thymus,07_thymocyte_DP,NEIL3,,cellxgene,0.17,0.193,0.193,
thymus,07_thymocyte_DP,PTPN2,,cellxgene,5.979,5.823,5.979,
thymus,07_thymocyte_DP,RAG1,DN,both,0.169,0.27,0.27,
thymus,07_thymocyte_DP,RAG2,DN,canonical,0.086,0.185,0.185,
thymus,07_thymocyte_DP,RORC,DP,canonical,1.427,1.199,1.427,
thymus,07_thymocyte_DP,SATB1,,cellxgene,12.443,11.726,12.443,
thymus,07_thymocyte_DP,SH2D1A,,cellxgene,4.341,5.498,5.498,
thymus,07_thymocyte_DP,SLC29A1,,cellxgene,3.226,2.599,3.226,
thymus,07_thymocyte_DP,TCF7,,cellxgene,8.886,10.967,10.967,
thymus,07_thymocyte_DP,THEMIS,,cellxgene,2.223,1.777,2.223,
thymus,07_thymocyte_DP,ZAP70,,both,6.348,7.71,7.71,
thymus,08_thymocyte_SP,AP3M2,,cellxgene,0.492,0.442,0.492,
thymus,08_thymocyte_SP,APOL2,,cellxgene,4.081,4.157,4.157,
thymus,08_thymocyte_SP,BCL11B,,cellxgene,3.184,3.17,3.184,
thymus,08_thymocyte_SP,CCDC86,,cellxgene,0.791,0.763,0.791,
thymus,08_thymocyte_SP,CCR4,,cellxgene,1.19,0.793,1.19,
thymus,08_thymocyte_SP,CCR6,,cellxgene,1.509,0.817,1.509,
thymus,08_thymocyte_SP,CCR9,,cellxgene,3.038,1.99,3.038,
thymus,08_thymocyte_SP,CD160,,cellxgene,0.078,0.132,0.132,
thymus,08_thymocyte_SP,CD1A,DP,both,0.119,0.269,0.269,
thymus,08_thymocyte_SP,CD1B,DP,both,0.136,0.348,0.348,
thymus,08_thymocyte_SP,CD1E,DP,both,0.256,0.657,0.657,
thymus,08_thymocyte_SP,CD2,,both,5.87,6.687,6.687,
thymus,08_thymocyte_SP,CD28,,cellxgene,3.111,4.378,4.378,
thymus,08_thymocyte_SP,CD3E,,both,33.355,24.568,33.355,
thymus,08_thymocyte_SP,CD3G,,both,4.184,3.243,4.184,
thymus,08_thymocyte_SP,CD4,CD4,both,11.554,6.913,11.554,
thymus,08_thymocyte_SP,CD40LG,,cellxgene,0.795,0.799,0.799,
thymus,08_thymocyte_SP,CD5,,cellxgene,5.523,5.293,5.523,
thymus,08_thymocyte_SP,CD6,,cellxgene,4.666,5.481,5.481,
thymus,08_thymocyte_SP,CD7,,both,4.6,4.922,4.922,
thymus,08_thymocyte_SP,CD70,,cellxgene,0.914,0.532,0.914,
thymus,08_thymocyte_SP,CD8A,CD8,both,10.524,22.256,22.256,
thymus,08_thymocyte_SP,CD8B,CD8,both,1.438,1.578,1.578,
thymus,08_thymocyte_SP,CORO1B,,cellxgene,3.426,3.297,3.426,
thymus,08_thymocyte_SP,CRTAM,,cellxgene,0.254,0.321,0.321,
thymus,08_thymocyte_SP,CTLA4,Treg,both,3.159,1.655,3.159,
thymus,08_thymocyte_SP,CXCR3,,cellxgene,1.154,0.571,1.154,
thymus,08_thymocyte_SP,CXCR6,,cellxgene,0.299,0.212,0.299,
thymus,08_thymocyte_SP,DNTT,DN,both,0.348,0.396,0.396,
thymus,08_thymocyte_SP,EIF2AK2,,cellxgene,3.569,3.153,3.569,
thymus,08_thymocyte_SP,ETS1,,cellxgene,11.402,7.083,11.402,
thymus,08_thymocyte_SP,FASLG,,cellxgene,0.073,0.132,0.132,
thymus,08_thymocyte_SP,FGFBP2,,cellxgene,0.176,0.214,0.214,
thymus,08_thymocyte_SP,FLT3LG,,cellxgene,2.997,3.893,3.893,
thymus,08_thymocyte_SP,FOXP3,Treg,both,1.612,1.067,1.612,
thymus,08_thymocyte_SP,GIMAP5,,cellxgene,4.046,2.385,4.046,
thymus,08_thymocyte_SP,GZMA,,cellxgene,0.236,0.334,0.334,
thymus,08_thymocyte_SP,GZMH,,cellxgene,0.051,0.072,0.072,
thymus,08_thymocyte_SP,GZMK,,cellxgene,0.19,0.203,0.203,
thymus,08_thymocyte_SP,ICOS,,cellxgene,1.231,1.175,1.231,
thymus,08_thymocyte_SP,IFITM1,,cellxgene,9.07,7.691,9.07,
thymus,08_thymocyte_SP,IFNG,,cellxgene,0.073,0.156,0.156,
thymus,08_thymocyte_SP,IL17F,,cellxgene,0.029,0.055,0.055,
thymus,08_thymocyte_SP,IL2,,cellxgene,0.08,0.113,0.113,
thymus,08_thymocyte_SP,IL22,,cellxgene,0.112,0.174,0.174,
thymus,08_thymocyte_SP,IL2RA,Treg,both,1.198,0.508,1.198,
thymus,08_thymocyte_SP,IL9,,cellxgene,0.052,0.065,0.065,
thymus,08_thymocyte_SP,ITGAL,,cellxgene,5.327,5.696,5.696,
thymus,08_thymocyte_SP,ITK,,cellxgene,3.247,1.75,3.247,
thymus,08_thymocyte_SP,KLRG1,,cellxgene,1.026,1.01,1.026,
thymus,08_thymocyte_SP,KLRK1,,cellxgene,1.444,1.266,1.444,
thymus,08_thymocyte_SP,LAG3,,cellxgene,0.963,0.273,0.963,
thymus,08_thymocyte_SP,LAIR2,,cellxgene,1.493,0.921,1.493,
thymus,08_thymocyte_SP,LAT,,cellxgene,7.312,9.725,9.725,
thymus,08_thymocyte_SP,LCK,,both,6.358,6.631,6.631,
thymus,08_thymocyte_SP,LEF1,,cellxgene,14.048,12.949,14.048,
thymus,08_thymocyte_SP,LEPROTL1,,cellxgene,2.562,2.329,2.562,
thymus,08_thymocyte_SP,LTA,,cellxgene,0.482,0.656,0.656,
thymus,08_thymocyte_SP,NEIL3,,cellxgene,0.17,0.193,0.193,
thymus,08_thymocyte_SP,PDCD1,,cellxgene,0.752,1.466,1.466,
thymus,08_thymocyte_SP,PMCH,,cellxgene,0.152,0.22,0.22,
thymus,08_thymocyte_SP,PRF1,,cellxgene,0.389,0.446,0.446,
thymus,08_thymocyte_SP,PTGER2,,cellxgene,0.191,0.199,0.199,
thymus,08_thymocyte_SP,PTPN2,,cellxgene,5.979,5.823,5.979,
thymus,08_thymocyte_SP,PTPN22,,cellxgene,1.099,1.772,1.772,
thymus,08_thymocyte_SP,RAG1,DN,both,0.169,0.27,0.27,
thymus,08_thymocyte_SP,RNF167,,cellxgene,6.696,5.354,6.696,
thymus,08_thymocyte_SP,S1PR5,,cellxgene,0.303,0.437,0.437,
thymus,08_thymocyte_SP,SATB1,,cellxgene,12.443,11.726,12.443,
thymus,08_thymocyte_SP,SEMA4D,,cellxgene,14.816,8.981,14.816,
thymus,08_thymocyte_SP,SH2D1A,,cellxgene,4.341,5.498,5.498,
thymus,08_thymocyte_SP,SHFL,,cellxgene,3.406,1.933,3.406,
thymus,08_thymocyte_SP,SIRPG,,cellxgene,3.173,3.302,3.302,
thymus,08_thymocyte_SP,SLAMF6,,cellxgene,1.234,0.789,1.234,
thymus,08_thymocyte_SP,SLC29A1,,cellxgene,3.226,2.599,3.226,
