source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,03_immune_T_cell,RNF167,,cellxgene,10.551,10.534,10.551,
shared,03_immune_T_cell,S1PR5,,cellxgene,0.385,0.503,0.503,
shared,03_immune_T_cell,SATB1,,cellxgene,8.1,7.843,8.1,
shared,03_immune_T_cell,SEMA4D,,cellxgene,3.699,4.466,4.466,
shared,03_immune_T_cell,SH2D1A,,cellxgene,0.103,0.133,0.133,
shared,03_immune_T_cell,SHFL,,cellxgene,1.023,1.357,1.357,
shared,03_immune_T_cell,SIRPG,,cellxgene,0.042,0.057,0.057,
shared,03_immune_T_cell,SLAMF6,,cellxgene,0.124,0.172,0.172,
shared,03_immune_T_cell,SLC29A1,,cellxgene,11.521,14.179,14.179,
shared,03_immune_T_cell,SLFN5,,cellxgene,3.048,3.097,3.097,
shared,03_immune_T_cell,STAT4,,cellxgene,0.588,0.813,0.813,
shared,03_immune_T_cell,TCF7,,cellxgene,2.151,2.482,2.482,
shared,03_immune_T_cell,THEMIS,,both,0.073,0.156,0.156,
shared,03_immune_T_cell,TIGIT,,cellxgene,0.037,0.053,0.053,
shared,03_immune_T_cell,TNF,,cellxgene,0.21,0.071,0.21,
shared,03_immune_T_cell,TNFRSF9,,cellxgene,0.281,0.148,0.281,
shared,03_immune_T_cell,TNFSF14,,cellxgene,0.595,1.029,1.029,
shared,03_immune_T_cell,TRAF3IP3,,cellxgene,0.25,0.531,0.531,
shared,03_immune_T_cell,TREX1,,cellxgene,0.989,1.199,1.199,
shared,03_immune_T_cell,TSHR,,cellxgene,0.082,0.027,0.082,
shared,03_immune_T_cell,ZAP70,,both,0.145,0.338,0.338,
shared,03_immune_T_cell,ZC3H12D,,cellxgene,0.136,0.179,0.179,
shared,03_immune_T_cell,ZNF683,,cellxgene,0.249,0.471,0.471,
shared,04_immune_B_plasma,AICDA,,cellxgene,0.046,0.01,0.046,
shared,04_immune_B_plasma,AIM2,,cellxgene,0.059,0.081,0.081,
shared,04_immune_B_plasma,ANKRD13A,,cellxgene,10.661,11.19,11.19,
shared,04_immune_B_plasma,AP1B1,,cellxgene,15.918,16.628,16.628,
shared,04_immune_B_plasma,BACH2,,cellxgene,1.134,1.187,1.187,
shared,04_immune_B_plasma,BANK1,,both,0.233,0.132,0.233,
shared,04_immune_B_plasma,BLK,,both,0.026,0.046,0.046,
shared,04_immune_B_plasma,BTLA,,cellxgene,0.069,0.046,0.069,
shared,04_immune_B_plasma,CD19,,both,0.078,0.132,0.132,
shared,04_immune_B_plasma,CD22,,both,0.214,0.261,0.261,
shared,04_immune_B_plasma,CD38,plasma,both,0.382,0.421,0.421,
shared,04_immune_B_plasma,CD72,,both,0.163,0.189,0.189,
shared,04_immune_B_plasma,CD79A,,both,0.084,0.154,0.154,
shared,04_immune_B_plasma,CD79B,,both,0.112,0.243,0.243,
shared,04_immune_B_plasma,CNR2,,cellxgene,0.04,0.02,0.04,
shared,04_immune_B_plasma,CR2,,both,0.059,0.05,0.059,
shared,04_immune_B_plasma,CXCR5,,cellxgene,0.022,0.023,0.023,
shared,04_immune_B_plasma,CYBC1,,cellxgene,3.823,4.88,4.88,
shared,04_immune_B_plasma,DERL3,plasma,both,3.463,7.242,7.242,
shared,04_immune_B_plasma,DTX1,,cellxgene,1.584,1.907,1.907,
shared,04_immune_B_plasma,EBF1,,canonical,1.03,1.309,1.309,
shared,04_immune_B_plasma,FCER2,,both,0.081,0.072,0.081,
shared,04_immune_B_plasma,FCRL1,,both,0.025,0.028,0.028,
shared,04_immune_B_plasma,FCRL2,,cellxgene,0.03,0.023,0.03,
shared,04_immune_B_plasma,FCRL3,,cellxgene,0.04,0.032,0.04,
shared,04_immune_B_plasma,FCRL5,,both,0.034,0.099,0.099,
shared,04_immune_B_plasma,FCRLA,,cellxgene,0.025,0.0,0.025,
shared,04_immune_B_plasma,FKBP11,plasma,both,15.625,14.172,15.625,
shared,04_immune_B_plasma,HYOU1,,cellxgene,30.078,28.907,30.078,
shared,04_immune_B_plasma,IGHE,,cellxgene,0.011,0.0,0.011,
shared,04_immune_B_plasma,KLHL14,,cellxgene,0.053,0.037,0.053,
shared,04_immune_B_plasma,LY9,,cellxgene,0.078,0.118,0.118,
shared,04_immune_B_plasma,MS4A1,,both,0.09,0.111,0.111,
shared,04_immune_B_plasma,MZB1,plasma,both,0.054,0.385,0.385,
