source,subpanel,gene,lineage_hint,cl_terms
shared,16_epithelial_general,ABCA3,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,ABCC3,Epithelial,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;paneth cell of epithelium of small intestine;hepatocyte;periportal region hepatocyte
shared,16_epithelial_general,ABCC8,Epithelial,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular secretory epithelial cell;enteroendocrine cell
shared,16_epithelial_general,ABHD11,Epithelial,fallopian tube secretory epithelial cell
shared,16_epithelial_general,ABTB2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell
shared,16_epithelial_general,ACE,Epithelial,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
shared,16_epithelial_general,ACE2,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell
shared,16_epithelial_general,ACSL4,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell
shared,16_epithelial_general,ADAMTS19,Epithelial,interstitial cell of Cajal;taste receptor cell;cortical cell of adrenal gland;kidney glomerular epithelial cell;podocyte
shared,16_epithelial_general,AGER,Epithelial,epithelial cell;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,AGR3,Epithelial,epithelial cell;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;intestine goblet cell
shared,16_epithelial_general,AIRE,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,AKR1C3,Epithelial,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;intrahepatic cholangiocyte;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell
shared,16_epithelial_general,AMH,Epithelial,duct epithelial cell;Sertoli cell;squamous epithelial cell;mesothelial cell
shared,16_epithelial_general,ANKRD30A,Epithelial,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell
shared,16_epithelial_general,ANPEP,Epithelial,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,ANXA2,Epithelial,basal cell of epithelium of bronchus;pancreatic ductal cell;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;bronchial epithelial cell;epithelial cell of urethra
shared,16_epithelial_general,APOB,Epithelial,epithelial cell;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,APOL6,Epithelial,respiratory tract epithelial cell;epithelial cell of lower respiratory tract;club cell
shared,16_epithelial_general,APOM,Epithelial,epithelial cell of proximal tubule
shared,16_epithelial_general,AQP5,Epithelial,epithelial cell;epithelial cell of lacrimal sac;glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell
shared,16_epithelial_general,ARG2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell
shared,16_epithelial_general,ATF3,Epithelial,ileal goblet cell;paneth cell of epithelium of small intestine;epithelial cell of uterus
shared,16_epithelial_general,ATOH8,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell
shared,16_epithelial_general,ATP1A1,Epithelial,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;pancreatic ductal cell;intrahepatic cholangiocyte;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,BACE2,Epithelial,basal epithelial cell of prostatic duct;lung goblet cell;luminal cell of prostate epithelium
shared,16_epithelial_general,BAIAP2,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,BBC3,Epithelial,duct epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell
shared,16_epithelial_general,BCAM,Epithelial,pulmonary neuroendocrine cell;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pancreatic PP cell;pancreatic epsilon cell;PP cell
shared,16_epithelial_general,BCL10,Epithelial,luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell;epithelial cell of urethra
shared,16_epithelial_general,BCL2L13,Epithelial,corneal epithelial cell
shared,16_epithelial_general,BNIP3,Epithelial,pancreatic acinar cell;cortical thymic epithelial cell;ovarian surface epithelial cell
shared,16_epithelial_general,C5,Epithelial,intrahepatic cholangiocyte;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte
shared,16_epithelial_general,CA12,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell
shared,16_epithelial_general,CA4,Epithelial,paneth cell;paneth cell of colon;epithelial cell of large intestine;colon epithelial cell;kidney loop of Henle thin ascending limb epithelial cell
shared,16_epithelial_general,CA9,Epithelial,ovarian surface epithelial cell
shared,16_epithelial_general,CASP7,Epithelial,respiratory tract epithelial cell;epithelial cell of lower respiratory tract;club cell
shared,16_epithelial_general,CASR,Epithelial,pancreatic D cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell
shared,16_epithelial_general,CBR1,Epithelial,enterocyte;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;pulmonary ionocyte;paneth cell of epithelium of small intestine
shared,16_epithelial_general,CCDC170,Epithelial,ciliated epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;respiratory tract epithelial cell;epithelial cell of lower respiratory tract;bronchial epithelial cell
shared,16_epithelial_general,CCL15,Epithelial,enterocyte of epithelium of large intestine;colonocyte;intestine goblet cell;large intestine goblet cell;colon goblet cell;paneth cell
shared,16_epithelial_general,CCL20,Epithelial,pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;paneth cell;M cell of gut;club cell;epithelial cell of urethra
shared,16_epithelial_general,CCL25,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,CCNO,Epithelial,goblet cell;respiratory tract goblet cell;tracheal goblet cell;respiratory tract epithelial cell;epithelial cell of lower respiratory tract;club cell
shared,16_epithelial_general,CD55,Epithelial,epithelial cell of lacrimal sac;pulmonary alveolar type 1 cell;respiratory tract goblet cell;tracheal goblet cell;paneth cell of epithelium of small intestine;urothelial cell
shared,16_epithelial_general,CDH16,Epithelial,epithelial cell;duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;columnar/cuboidal epithelial cell
shared,16_epithelial_general,CDH3,Epithelial,basal epithelial cell of prostatic duct;myoepithelial cell;basal-myoepithelial cell of mammary gland;epithelial cell of thymus;medullary thymic epithelial cell
shared,16_epithelial_general,CDHR2,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
shared,16_epithelial_general,CDX1,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;intestine goblet cell;large intestine goblet cell
shared,16_epithelial_general,CDX2,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;intestine goblet cell;large intestine goblet cell
shared,16_epithelial_general,CFAP43,Epithelial,ciliated epithelial cell;ependymal cell;choroid plexus epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;columnar/cuboidal epithelial cell
shared,16_epithelial_general,CFAP47,Epithelial,ependymal cell;columnar/cuboidal epithelial cell
shared,16_epithelial_general,CFB,Epithelial,duct epithelial cell;luminal epithelial cell of mammary gland;mesothelial cell of pleura;goblet cell;respiratory tract goblet cell;tracheal goblet cell
shared,16_epithelial_general,CFTR,Epithelial,intestinal crypt stem cell of colon;pancreatic ductal cell;cholangiocyte;columnar/cuboidal epithelial cell;pulmonary ionocyte;lung goblet cell
shared,16_epithelial_general,CGNL1,Epithelial,lens epithelial cell;anterior lens cell;renal beta-intercalated cell;epithelial cell of lung;pulmonary alveolar type 1 cell;kidney loop of Henle ascending limb epithelial cell
shared,16_epithelial_general,CLCN5,Epithelial,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron
shared,16_epithelial_general,CLDN1,Epithelial,basal cell of epidermis;pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of lacrimal sac;mesothelial cell of pleura;corneal epithelial cell
shared,16_epithelial_general,CLDN18,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell;paneth cell;paneth cell of epithelium of small intestine
shared,16_epithelial_general,CLEC4M,Epithelial,Sertoli cell;mesothelial cell;ovarian surface epithelial cell
shared,16_epithelial_general,CLIC6,Epithelial,ependymal cell;choroid plexus epithelial cell;retinal pigment epithelial cell
shared,16_epithelial_general,CLNK,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte
shared,16_epithelial_general,COL18A1,Epithelial,pancreatic ductal cell;kidney loop of Henle thin ascending limb epithelial cell
shared,16_epithelial_general,COL4A3,Epithelial,lens epithelial cell;anterior lens cell;epithelial cell of lung;pulmonary alveolar type 1 cell;kidney loop of Henle thin ascending limb epithelial cell;lens fiber cell
shared,16_epithelial_general,COL4A5,Epithelial,basal epithelial cell of prostatic duct;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber
shared,16_epithelial_general,CP,Epithelial,non-pigmented ciliary epithelial cell;respiratory tract goblet cell;tracheal goblet cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte
shared,16_epithelial_general,CPA6,Epithelial,basal epithelial cell of prostatic duct;pigmented epithelial cell;interstitial cell of Cajal;epithelial cell of prostate;basal cell of prostate epithelium
shared,16_epithelial_general,CPEB3,Epithelial,epithelial cell of sweat gland;lens fiber cell
shared,16_epithelial_general,CPS1,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte
shared,16_epithelial_general,CRB2,Epithelial,parietal epithelial cell
shared,16_epithelial_general,CRNDE,Epithelial,multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;luminal epithelial cell of mammary gland;pulmonary neuroendocrine cell;bronchial epithelial cell;mammary gland epithelial cell
shared,16_epithelial_general,CRNN,Epithelial,stratified epithelial cell;respiratory tract epithelial cell;epithelial cell of lower respiratory tract;club cell
shared,16_epithelial_general,CRYGS,Epithelial,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber
shared,16_epithelial_general,CRYZ,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,CSPP1,Epithelial,ciliated epithelial cell;ependymal cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree
shared,16_epithelial_general,CTBP2,Epithelial,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber
shared,16_epithelial_general,CTDSPL,Epithelial,kidney glomerular epithelial cell;podocyte
shared,16_epithelial_general,CTNNA1,Epithelial,epithelial cell
shared,16_epithelial_general,CTRL,Epithelial,pancreatic acinar cell;glandular secretory epithelial cell;acinar cell
shared,16_epithelial_general,CUBN,Epithelial,ciliated epithelial cell;epithelial cell of proximal tubule;columnar/cuboidal epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron
shared,16_epithelial_general,CUZD1,Epithelial,pancreatic acinar cell;glandular secretory epithelial cell;acinar cell
shared,16_epithelial_general,CXCL11,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,CXCL6,Epithelial,pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of prostate;basal cell of prostate epithelium;club cell
shared,16_epithelial_general,CXCL9,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,CYFIP2,Epithelial,kidney collecting duct principal cell;renal principal cell;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell
shared,16_epithelial_general,CYHR1,Epithelial,fallopian tube secretory epithelial cell
shared,16_epithelial_general,CYP17A1,Epithelial,epithelial cell;neuroendocrine cell;chromaffin cell;glandular secretory epithelial cell;cortical cell of adrenal gland
shared,16_epithelial_general,CYP2D6,Epithelial,enterocyte of epithelium of large intestine;colon epithelial cell
shared,16_epithelial_general,CYP3A5,Epithelial,enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;cholangiocyte;intrahepatic cholangiocyte;paneth cell of epithelium of small intestine;hepatocyte
shared,16_epithelial_general,DEPTOR,Epithelial,kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell
shared,16_epithelial_general,DGAT1,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
shared,16_epithelial_general,DIRAS3,Epithelial,pancreatic A cell;pancreatic D cell;pancreatic PP cell;PP cell;intestinal enteroendocrine cell;granulosa cell
shared,16_epithelial_general,DMKN,Epithelial,basal cell of epidermis;keratinocyte;epithelial cell of uterus;epidermal cell
shared,16_epithelial_general,DMRT2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;epithelial cell of thymus
shared,16_epithelial_general,DNAH10,Epithelial,ciliated epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree
shared,16_epithelial_general,DNAH11,Epithelial,ependymal cell;choroid plexus epithelial cell;lung multiciliated epithelial cell
shared,16_epithelial_general,DNAH12,Epithelial,ciliated epithelial cell;ependymal cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;respiratory tract epithelial cell;epithelial cell of lower respiratory tract
shared,16_epithelial_general,DNAH5,Epithelial,ciliated epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;bronchial epithelial cell;lung multiciliated epithelial cell
shared,16_epithelial_general,DNAH7,Epithelial,ciliated epithelial cell;ependymal cell;choroid plexus epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;lung multiciliated epithelial cell
shared,16_epithelial_general,DNAH9,Epithelial,ciliated epithelial cell;ependymal cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;lung multiciliated epithelial cell
shared,16_epithelial_general,DRAM1,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,DSG2,Epithelial,intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;intestinal tuft cell;tuft cell of colon
shared,16_epithelial_general,DUOX2,Epithelial,glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell;respiratory tract epithelial cell;epithelial cell of lower respiratory tract
shared,16_epithelial_general,DUOXA1,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,DUOXA2,Epithelial,glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell;epithelial cell of urethra
shared,16_epithelial_general,DUSP5,Epithelial,epithelial cell of lacrimal sac;urothelial cell;bladder urothelial cell;club cell;epithelial cell of urethra;conjunctival epithelial cell
shared,16_epithelial_general,ECEL1,Epithelial,epithelial cell of lung
shared,16_epithelial_general,EFHC1,Epithelial,ependymal cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;bronchial epithelial cell;lung multiciliated epithelial cell
shared,16_epithelial_general,EIF4G1,Epithelial,fallopian tube secretory epithelial cell
shared,16_epithelial_general,EMP2,Epithelial,keratinocyte;stratified epithelial cell;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,ENKUR,Epithelial,multiciliated epithelial cell;bronchial epithelial cell
shared,16_epithelial_general,ENOSF1,Epithelial,non-pigmented ciliary epithelial cell
shared,16_epithelial_general,ENPEP,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;epithelial cell of proximal tubule;columnar/cuboidal epithelial cell;M cell of gut
shared,16_epithelial_general,ENPP3,Epithelial,cortical cell of adrenal gland;epithelial cell of prostate;basal cell of prostate epithelium
shared,16_epithelial_general,EPHA2,Epithelial,basal cell of epithelium of bronchus;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;club cell;basal epithelial cell of tracheobronchial tree
shared,16_epithelial_general,EPHX2,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal epithelial cell;epithelial cell of small intestine
shared,16_epithelial_general,EPS8L3,Epithelial,enterocyte of epithelium of small intestine;tuft cell;intestinal tuft cell;intestinal epithelial cell;epithelial cell of large intestine;epithelial cell of small intestine
shared,16_epithelial_general,ERP27,Epithelial,kidney collecting duct intercalated cell;type B pancreatic cell;pancreatic acinar cell;acinar cell;parietal epithelial cell
shared,16_epithelial_general,ERRFI1,Epithelial,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;epithelial cell of lacrimal sac;mesothelial cell of pleura;hepatocyte
shared,16_epithelial_general,ESRRG,Epithelial,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;epithelial cell of sweat gland;kidney distal convoluted tubule epithelial cell
shared,16_epithelial_general,ETV5,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,F11R,Epithelial,urothelial cell;bladder urothelial cell;epithelial cell of urethra
shared,16_epithelial_general,F5,Epithelial,non-pigmented ciliary epithelial cell;hepatocyte
shared,16_epithelial_general,FABP2,Epithelial,epithelial cell;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,FAS,Epithelial,basal cell of prostate epithelium;medullary thymic epithelial cell
shared,16_epithelial_general,FCGBP,Epithelial,goblet cell;intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;ileal goblet cell
shared,16_epithelial_general,FGF1,Epithelial,kidney glomerular epithelial cell;podocyte
shared,16_epithelial_general,FGFR2,Epithelial,basal cell of epidermis;choroid plexus epithelial cell;cholangiocyte;intrahepatic cholangiocyte;pigmented epithelial cell;non-pigmented ciliary epithelial cell
shared,16_epithelial_general,FHAD1,Epithelial,ciliated epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree
shared,16_epithelial_general,FLRT3,Epithelial,basal epithelial cell of prostatic duct;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;basal cell of prostate epithelium
shared,16_epithelial_general,FMO5,Epithelial,cholangiocyte;pulmonary alveolar type 2 cell;epithelial cell of sweat gland
shared,16_epithelial_general,FOLH1,Epithelial,enterocyte of epithelium of small intestine;paneth cell of epithelium of small intestine;luminal cell of prostate epithelium;epithelial cell of small intestine
shared,16_epithelial_general,FOSL1,Epithelial,myoepithelial cell;basal-myoepithelial cell of mammary gland;basal cell of prostate epithelium;epithelial cell of urethra
shared,16_epithelial_general,FOXA1,Epithelial,brush cell of bronchus
shared,16_epithelial_general,FOXA2,Epithelial,pulmonary neuroendocrine cell;pancreatic PP cell;large intestine goblet cell;colon goblet cell;PP cell
shared,16_epithelial_general,FOXJ1,Epithelial,ciliated epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;lung multiciliated epithelial cell
shared,16_epithelial_general,FOXN1,Epithelial,epithelial cell of thymus
shared,16_epithelial_general,FREM1,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;taste receptor cell
shared,16_epithelial_general,FZD6,Epithelial,basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree
shared,16_epithelial_general,GABRA5,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,GABRP,Epithelial,lung goblet cell;glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell;tuft cell
shared,16_epithelial_general,GAS6,Epithelial,myoepithelial cell;basal-myoepithelial cell of mammary gland;epithelial cell of thymus;cortical thymic epithelial cell
shared,16_epithelial_general,GBP1,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,GIPC1,Epithelial,keratinocyte;stratified epithelial cell
shared,16_epithelial_general,GLS,Epithelial,kidney collecting duct principal cell;renal principal cell;pancreatic A cell;kidney connecting tubule epithelial cell
shared,16_epithelial_general,GPBP1,Epithelial,cortical thymic epithelial cell
shared,16_epithelial_general,GRHL2,Epithelial,basal cell of epidermis;basal epithelial cell of prostatic duct;taste receptor cell;epithelial cell of prostate;luminal cell of prostate epithelium;kidney loop of Henle thin descending limb epithelial cell
shared,16_epithelial_general,GSTM3,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;pancreatic D cell
shared,16_epithelial_general,GTF2I,Epithelial,epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;enteroendocrine cell of small intestine;fallopian tube secretory epithelial cell;brush cell of bronchus
shared,16_epithelial_general,HBEGF,Epithelial,ileal goblet cell;paneth cell of epithelium of small intestine;epithelial cell of prostate;basal cell of prostate epithelium;endosteal cell;epithelial cell of urethra
shared,16_epithelial_general,HCAR2,Epithelial,epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell
shared,16_epithelial_general,HNF1B,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell
shared,16_epithelial_general,HNF4A,Epithelial,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;transit amplifying cell of small intestine
shared,16_epithelial_general,HNRNPLL,Epithelial,non-pigmented ciliary epithelial cell
shared,16_epithelial_general,HOXB13,Epithelial,enteroendocrine cell of colon;epithelial cell of prostate;luminal cell of prostate epithelium
shared,16_epithelial_general,HPD,Epithelial,epithelial cell of proximal tubule;columnar/cuboidal epithelial cell;kidney epithelial cell;kidney cortex tubule cell
shared,16_epithelial_general,HRH1,Epithelial,parietal epithelial cell
shared,16_epithelial_general,HS6ST2,Epithelial,chromaffin cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell
shared,16_epithelial_general,HSD11B2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;renal intercalated cell;intestine goblet cell
shared,16_epithelial_general,HSD17B6,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell;periportal region hepatocyte;midzonal region hepatocyte
shared,16_epithelial_general,HTR2C,Epithelial,ependymal cell;choroid plexus epithelial cell;columnar/cuboidal epithelial cell;pigmented ciliary epithelial cell
shared,16_epithelial_general,IFNGR2,Epithelial,epithelial cell of urethra
shared,16_epithelial_general,IFT57,Epithelial,multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;pancreatic epsilon cell;lung multiciliated epithelial cell
shared,16_epithelial_general,IL18,Epithelial,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;corneal epithelial cell;conjunctival epithelial cell
shared,16_epithelial_general,INHA,Epithelial,duct epithelial cell;Sertoli cell;squamous epithelial cell;mesothelial cell;cortical cell of adrenal gland;granulosa cell
shared,16_epithelial_general,IQGAP2,Epithelial,pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;renal beta-intercalated cell;podocyte
shared,16_epithelial_general,IRX1,Epithelial,myoepithelial cell;basal-myoepithelial cell of mammary gland;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;kidney loop of Henle thin ascending limb epithelial cell
shared,16_epithelial_general,ITGA2,Epithelial,luminal epithelial cell of mammary gland;basal epithelial cell of prostatic duct;myoepithelial cell;basal-myoepithelial cell of mammary gland;epithelial cell of prostate;basal cell of prostate epithelium
shared,16_epithelial_general,ITGA3,Epithelial,myoepithelial cell;basal-myoepithelial cell of mammary gland;kidney glomerular epithelial cell;podocyte;parietal epithelial cell
shared,16_epithelial_general,ITGAV,Epithelial,pigmented ciliary epithelial cell;type B pancreatic cell;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell
shared,16_epithelial_general,ITGB6,Epithelial,epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,JAZF1,Epithelial,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber
shared,16_epithelial_general,JUP,Epithelial,epithelial cell;keratinocyte;stratified epithelial cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell
shared,16_epithelial_general,KCNJ15,Epithelial,epithelial cell of proximal tubule;cholangiocyte;kidney collecting duct principal cell;renal principal cell;pulmonary alveolar type 2 cell;kidney epithelial cell
shared,16_epithelial_general,KCNJ16,Epithelial,epithelial cell;epithelial cell of proximal tubule;kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney distal convoluted tubule epithelial cell
shared,16_epithelial_general,KCNK15,Epithelial,glandular secretory epithelial cell
shared,16_epithelial_general,KHK,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
shared,16_epithelial_general,KITLG,Epithelial,kidney collecting duct principal cell;renal principal cell;granulosa cell;kidney connecting tubule epithelial cell
shared,16_epithelial_general,KL,Epithelial,kidney distal convoluted tubule epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell
shared,16_epithelial_general,KLF5,Epithelial,basal cell of epithelium of bronchus;epithelial cell of lacrimal sac;corneal epithelial cell;urothelial cell;bladder urothelial cell;microfold cell of epithelium of small intestine
shared,16_epithelial_general,KLHL13,Epithelial,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney cortex tubule cell;kidney loop of Henle epithelial cell
shared,16_epithelial_general,KMO,Epithelial,lens epithelial cell;anterior lens cell
shared,16_epithelial_general,KRT20,Epithelial,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
