gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
CDKN1B,,,no,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,11.379,10.381,11.379,52808,25090,-0.132,HALLMARK,Apoptosis,False
CFLAR,,,no,ENSG00000003402,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin),,epithelial cell of lacrimal sac;inflammatory macrophage,,14.127,7.631,14.127,65561,18444,-0.888,HALLMARK,Apoptosis,False
CREBBP,,,no,ENSG00000005339,CREB-binding protein (Histone lysine acetyltransferase CREBBP),Cytoplasm,,,11.775,8.518,11.775,54648,20586,-0.467,HALLMARK,Apoptosis,True
CTH,,,no,ENSG00000116761,Cystathionine gamma-lyase (CGL) (CSE),Cytoplasm,,,0.212,0.374,0.374,982,904,0.822,HALLMARK,Apoptosis,True
CTNNB1,,,no,ENSG00000168036,Catenin beta-1 (Beta-catenin),Cytoplasm,melanocyte;serous cell of epithelium of trachea,,12.033,8.943,12.033,55845,21613,-0.428,HALLMARK,Apoptosis,True
CYLD,,,no,ENSG00000083799,Ubiquitin carboxyl-terminal hydrolase CYLD,Cytoplasm,"mononuclear cell;lymphocyte;T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human",,12.205,11.006,12.205,56642,26601,-0.149,HALLMARK,Apoptosis,False
DAP,,,no,ENSG00000112977,Death-associated protein 1 (DAP-1),,,,6.048,5.954,6.048,28070,14389,-0.023,HALLMARK,Apoptosis,True
DAP3,,,no,ENSG00000132676,"Small ribosomal subunit protein mS29 (28S ribosomal protein S29, mitochondrial) (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein)",Mitochondrion,,,11.959,7.805,11.959,55502,18863,-0.616,HALLMARK,Apoptosis,True
DDIT3,,,no,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,,0.739,0.738,0.739,3428,1783,-0.002,HALLMARK,Apoptosis,False
DIABLO,,,no,ENSG00000184047,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)",Mitochondrion,,,0.388,0.342,0.388,1800,826,-0.183,HALLMARK,Apoptosis,True
DNAJA1,,,no,ENSG00000086061,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2),Membrane,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;cortical thymic epithelial cell;gut endothelial cell;skeletal muscle satellite cell;fibroblast of connective tissue of nonglandular part of prostate;tendon cell,,7.585,7.144,7.585,35202,17267,-0.086,HALLMARK,Apoptosis,False
