gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
SRPX,,,no,ENSG00000101955,Sushi repeat-containing protein SRPX,Cell surface,mesenchymal stem cell;lung microvascular endothelial cell;lung endothelial cell;preosteoblast;decidual cell;connective tissue cell;fibroblast;preadipocyte;brown preadipocyte;pancreatic stellate cell;fibroblast of mammary gland;fibroblast of breast;white fat cell;myofibroblast cell,,1.183,0.605,1.183,5492,1463,-0.967,HALLMARK,Hypoxia,False
STC2,,,no,ENSG00000113739,Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP),Secreted,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell,,0.077,0.1,0.1,357,242,0.38,HALLMARK,Hypoxia,True
TES,,,no,ENSG00000135269,Testin (TESS),Cytoplasm;Cell junction,myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;salivary gland cell,,5.954,4.625,5.954,27634,11179,-0.364,HALLMARK,Hypoxia,True
TGFB3,,,no,ENSG00000119699,Transforming growth factor beta-3 proprotein,Secreted,,TGFb,1.838,2.317,2.317,8529,5600,0.334,HALLMARK,Hypoxia,True
TGM2,,,no,ENSG00000198959,Protein-glutamine gamma-glutamyltransferase 2,Cytoplasm,endocardial cell;bronchial smooth muscle cell;trophoblast giant cell;placental villous trophoblast;decidual cell;connective tissue cell;fibroblast;fibroblast of lung;myofibroblast cell;stromal cell;stromal cell of ovary,ADGRG,0.702,0.825,0.825,3257,1995,0.234,HALLMARK,Hypoxia,False
TIPARP,,,no,ENSG00000163659,Protein mono-ADP-ribosyltransferase TIPARP,Nucleus,basal cell;urothelial cell;bladder urothelial cell;liver dendritic cell;group 3 innate lymphoid cell;bladder cell,,2.297,1.46,2.297,10658,3529,-0.653,HALLMARK,Hypoxia,False
TKTL1,,,no,ENSG00000007350,Transketolase-like protein 1,Cytoplasm,"innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;forebrain radial glial cell",,0.061,0.108,0.108,284,260,0.814,HALLMARK,Hypoxia,False
TMEM45A,,,no,ENSG00000181458,Transmembrane protein 45A (DNA polymerase-transactivated protein 4) (Dermal papilla-derived protein 7),Membrane,lung goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;decidual cell;sebaceous gland cell,,1.118,0.95,1.118,5189,2297,-0.234,HALLMARK,Hypoxia,False
TNFAIP3,,,no,,,,,,8.128,3.275,8.128,37722,7915,-1.311,HALLMARK,Hypoxia,False
TPBG,,,no,ENSG00000146242,Trophoblast glycoprotein (5T4 oncofetal antigen) (5T4 oncofetal trophoblast glycoprotein) (5T4 oncotrophoblast glycoprotein) (M6P1) (Wnt-activated inhibitory factor 1) (WAIF1),Cell membrane,mesothelial cell of pleura,,0.59,0.668,0.668,2736,1615,0.181,HALLMARK,Hypoxia,True
VEGFA,,,no,ENSG00000112715,"Vascular endothelial growth factor A, long form (L-VEGF) (Vascular permeability factor) (VPF)",Secreted,intestinal crypt stem cell of large intestine;type I pneumocyte;type B pancreatic cell;club cell;kidney glomerular epithelial cell;podocyte;elicited macrophage;inflammatory macrophage;liver dendritic cell;subcutaneous fat cell,VEGF,0.435,0.797,0.797,2018,1926,0.874,HALLMARK,Hypoxia,False
VHL,,,no,ENSG00000134086,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),Cytoplasm,,,4.047,3.713,4.047,18782,8974,-0.124,HALLMARK,Hypoxia,True
VLDLR,,,no,ENSG00000147852,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),Cell membrane,,RELN,0.402,0.621,0.621,1866,1501,0.627,HALLMARK,Hypoxia,True
XPNPEP1,,,no,ENSG00000108039,Xaa-Pro aminopeptidase 1,Cytoplasm,,,4.681,4.009,4.681,21722,9690,-0.223,HALLMARK,Hypoxia,True
