gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
COL6A1,,,no,,,,,,9.285,8.151,9.285,43091,19699,-0.188,HALLMARK,IL-2/STAT5 Signaling,False
CSF1,,,no,ENSG00000184371,Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF),Cell membrane,blood cell;granulocyte;mast cell,CSF,1.916,1.908,1.916,8891,4611,-0.006,HALLMARK,IL-2/STAT5 Signaling,True
CSF2,,,no,ENSG00000164400,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),Secreted,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,0.041,0.053,0.053,189,127,0.368,HALLMARK,IL-2/STAT5 Signaling,False
CST7,,,no,ENSG00000077984,Cystatin-F (Cystatin-7) (Cystatin-like metastasis-associated protein) (CMAP) (Leukocystatin),Secreted,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature NK T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;exhausted T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human",,0.315,0.288,0.315,1461,697,-0.126,HALLMARK,IL-2/STAT5 Signaling,False
CTLA4,,,no,ENSG00000163599,Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152),Cell membrane,"CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell;DN3 thymocyte;DN4 thymocyte;double negative T regulatory cell",CD80;CD86;ICOS,3.159,1.655,3.159,14659,3999,-0.933,HALLMARK,IL-2/STAT5 Signaling,False
CXCL10,,,no,ENSG00000169245,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10),Secreted,medullary thymic epithelial cell;early T lineage precursor,CXCL,0.492,0.691,0.691,2285,1669,0.488,HALLMARK,IL-2/STAT5 Signaling,False
DRC1,,,no,ENSG00000157856,Dynein regulatory complex protein 1 (Coiled-coil domain-containing protein 164),Cytoplasm,,,0.108,0.102,0.108,499,246,-0.079,HALLMARK,IL-2/STAT5 Signaling,True
EMP1,,,no,ENSG00000134531,Epithelial membrane protein 1 (EMP-1) (CL-20) (Protein B4B) (Tumor-associated membrane protein),Membrane,epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;corneal epithelial cell;conjunctival epithelial cell;tendon cell,,0.746,0.788,0.788,3464,1905,0.079,HALLMARK,IL-2/STAT5 Signaling,False
ENPP1,,,no,ENSG00000197594,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1),Secreted,,,3.335,1.161,3.335,15476,2805,-1.523,HALLMARK,IL-2/STAT5 Signaling,True
EOMES,,,no,ENSG00000163508,Eomesodermin homolog (T-box brain protein 2) (T-brain-2) (TBR-2),Nucleus,"CD8-positive, alpha-beta memory T cell;type I NK T cell;mucosal invariant T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;neuronal brush cell",,0.183,0.201,0.201,847,486,0.14,HALLMARK,IL-2/STAT5 Signaling,False
FAM126B,,,no,ENSG00000155744,,,"CD14-positive, CD16-negative classical monocyte",,1.753,1.726,1.753,8137,4171,-0.023,HALLMARK,IL-2/STAT5 Signaling,False
