gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
GCH1,,,no,ENSG00000131979,GTP cyclohydrolase 1,Cytoplasm,type EC enteroendocrine cell;pancreatic D cell;pancreatic PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon;sympathetic neuron,,1.318,1.548,1.548,6119,3741,0.231,HALLMARK,Interferon Gamma Response,True
GZMA,,,no,ENSG00000145649,Granzyme A,Secreted,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;memory T cell;cytotoxic T cell;exhausted T cell;intraepithelial lymphocyte;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",PARs,0.236,0.334,0.334,1094,807,0.502,HALLMARK,Interferon Gamma Response,False
HERC6,,,no,ENSG00000138642,Probable E3 ubiquitin-protein ligase HERC6,Cytoplasm,"activated CD4-positive, alpha-beta T cell, human",,3.26,2.621,3.26,15131,6335,-0.315,HALLMARK,Interferon Gamma Response,False
HIF1A,,,no,ENSG00000100644,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),Cytoplasm,elicited macrophage;inflammatory macrophage;blood cell;myeloid cell;brown preadipocyte;mesothelial fibroblast,,8.39,7.508,8.39,38939,18147,-0.16,HALLMARK,Interferon Gamma Response,False
ICAM1,,,no,ENSG00000090339,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),Membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;type I pneumocyte;medullary thymic epithelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree,ICAM,1.178,1.086,1.178,5468,2624,-0.118,HALLMARK,Interferon Gamma Response,False
IDO1,,,no,ENSG00000131203,"Indoleamine 2,3-dioxygenase 1 (IDO-1)",Cytoplasm,"lens epithelial cell;anterior lens cell;mononuclear phagocyte;hematopoietic cell;blood cell;granulocyte;leukocyte;CD141-positive myeloid dendritic cell;Langerhans cell;myeloid dendritic cell, human;myeloid leukocyte;myeloid cell",,1.655,0.868,1.655,7681,2098,-0.931,HALLMARK,Interferon Gamma Response,False
IFI35,,,no,ENSG00000068079,Interferon-induced 35 kDa protein (IFP 35) (Ifi-35),Cytoplasm,,,3.891,2.912,3.891,18057,7039,-0.418,HALLMARK,Interferon Gamma Response,True
IFI44L,,,no,ENSG00000137959,Interferon-induced protein 44-like,Cytoplasm,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;decidual natural killer cell, human",,6.488,5.796,6.488,30109,14009,-0.163,HALLMARK,Interferon Gamma Response,False
IFIH1,,,no,ENSG00000115267,Interferon-induced helicase C domain-containing protein 1,Cytoplasm,,,2.327,1.998,2.327,10799,4829,-0.22,HALLMARK,Interferon Gamma Response,True
IFIT1,,,no,ENSG00000185745,Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Interferon-induced 56 kDa protein) (IFI-56K) (P56),Cytoplasm,lung endothelial cell;endothelial cell;endothelial cell of vascular tree,,4.426,3.116,4.426,20541,7530,-0.507,HALLMARK,Interferon Gamma Response,False
IFIT2,,,no,ENSG00000119922,Interferon-induced protein with tetratricopeptide repeats 2 (IFIT-2) (ISG-54 K) (Interferon-induced 54 kDa protein) (IFI-54K) (P54),Cytoplasm,,,2.429,2.591,2.591,11274,6261,0.093,HALLMARK,Interferon Gamma Response,True
IFIT3,,,no,ENSG00000119917,Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G),Cytoplasm,"epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;T cell;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,5.552,5.088,5.552,25766,12296,-0.126,HALLMARK,Interferon Gamma Response,False
IFITM2,,,no,,,,,,5.655,4.643,5.655,26244,11221,-0.285,HALLMARK,Interferon Gamma Response,True
IFITM3,,,no,,,,,,11.453,11.183,11.453,53151,27027,-0.034,HALLMARK,Interferon Gamma Response,True
IFNAR2,,,no,ENSG00000159110,Interferon alpha/beta receptor 2 (IFN-R-2) (IFN-alpha binding protein) (IFN-alpha/beta receptor 2) (Interferon alpha binding protein) (Type I interferon receptor 2),Secreted,plasma cell;IgG plasma cell;IgM plasma cell,IFN-I,1.394,1.912,1.912,6468,4620,0.456,HALLMARK,Interferon Gamma Response,False
IL10RA,,,no,ENSG00000110324,Interleukin-10 receptor subunit alpha (IL-10 receptor subunit alpha) (IL-10R subunit alpha) (IL-10RA) (CDw210a) (Interleukin-10 receptor subunit 1) (IL-10R subunit 1) (IL-10R1) (CD antigen CD210),Cell membrane,"leukocyte;memory regulatory T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;regulatory T cell;group 2 innate lymphoid cell",IL10,4.249,3.605,4.249,19720,8713,-0.237,HALLMARK,Interferon Gamma Response,False
IL15,,,no,ENSG00000164136,Interleukin-15 (IL-15),Cytoplasm;Nucleus,decidual cell;glutamatergic neuron;stromal cell,IL2,1.075,0.847,1.075,4991,2048,-0.344,HALLMARK,Interferon Gamma Response,False
