gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
GRIN2D,,,no,ENSG00000105464,"Glutamate receptor ionotropic, NMDA 2D (GluN2D) (EB11) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)",Cell membrane,,Glutamate,0.084,0.091,0.091,392,219,0.101,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
HBEGF,,,no,ENSG00000113070,Proheparin-binding EGF-like growth factor,Cell membrane,ileal goblet cell;paneth cell of epithelium of small intestine;epithelial cell of prostate;basal cell of prostate epithelium;endosteal cell;epithelial cell of urethra;liver dendritic cell,EGF,0.104,0.168,0.168,484,405,0.684,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
HRAS,,,no,ENSG00000174775,GTPase HRas,Cell membrane,,,2.705,1.498,2.705,12553,3620,-0.853,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
IGF2BP1,,,no,ENSG00000159217,Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1),Nucleus;Cytoplasm;Cytoplasm,megakaryocyte-erythroid progenitor cell,,0.09,0.087,0.09,420,211,-0.052,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
IL2,,,no,ENSG00000109471,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin),Secreted,"T cell;CD4-positive helper T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell",IL2,0.08,0.113,0.113,371,274,0.504,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL2RA,,,no,ENSG00000134460,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25),Membrane,"T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 17 cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;mature T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",IL2,1.198,0.508,1.198,5560,1228,-1.238,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL2RB,,,no,ENSG00000100385,Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122),Cell membrane,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 3 innate lymphoid cell",IL2,1.707,1.65,1.707,7924,3989,-0.049,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL2RG,,,no,ENSG00000147168,Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T-helper 17 cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;exhausted T cell;intraepithelial lymphocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;hematopoietic multipotent progenitor cell;early T lineage precursor",IL2,6.388,5.975,6.388,29647,14441,-0.096,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL3,,,no,ENSG00000164399,Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor),Secreted,,IL4,0.025,0.041,0.041,115,100,0.74,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
IL3RA,,,no,ENSG00000185291,Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123),Membrane,"prostate gland microvascular endothelial cell;gut endothelial cell;granulocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor",IL4,0.868,1.123,1.123,4027,2713,0.371,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
