gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
GBE1,,,no,ENSG00000114480,"1,4-alpha-glucan-branching enzyme",,skeletal muscle fiber;cell of skeletal muscle;preadipocyte;brown preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,2.037,1.685,2.037,9455,4073,-0.274,HALLMARK,mTORC1 Signaling,True
GLA,,,no,ENSG00000102393,Alpha-galactosidase A,Lysosome,fibroblast of connective tissue of nonglandular part of prostate,,1.617,1.531,1.617,7505,3700,-0.079,HALLMARK,mTORC1 Signaling,False
GMPS,,,no,ENSG00000163655,GMP synthase [glutamine-hydrolyzing],Cytoplasm,,,3.471,3.294,3.471,16108,7960,-0.076,HALLMARK,mTORC1 Signaling,True
GOT1,,,no,ENSG00000120053,"Aspartate aminotransferase, cytoplasmic (cAspAT)",Cytoplasm,retinal ganglion cell,,2.854,2.056,2.854,13243,4968,-0.473,HALLMARK,mTORC1 Signaling,True
GSK3B,,,no,ENSG00000082701,Glycogen synthase kinase-3 beta (GSK-3 beta),Cytoplasm,brown fat cell,,1.651,1.489,1.651,7661,3598,-0.149,HALLMARK,mTORC1 Signaling,True
GSR,,,no,ENSG00000104687,"Glutathione reductase, mitochondrial (GR) (GRase)",Cytoplasm,,,4.715,3.43,4.715,21881,8291,-0.459,HALLMARK,mTORC1 Signaling,True
HK2,,,no,ENSG00000159399,Hexokinase-2,Mitochondrion outer membrane,white fat cell,,1.778,0.842,1.778,8253,2035,-1.079,HALLMARK,mTORC1 Signaling,True
HMGCR,,,no,ENSG00000113161,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase),Endoplasmic reticulum membrane,cortical cell of adrenal gland;Leydig cell;sebaceous gland cell,,1.979,1.805,1.979,9184,4362,-0.133,HALLMARK,mTORC1 Signaling,True
HPRT1,,,no,ENSG00000165704,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase),Cytoplasm,Sertoli cell;macrophage dendritic cell progenitor,,0.637,0.612,0.637,2955,1480,-0.056,HALLMARK,mTORC1 Signaling,False
HSPA4,,,no,ENSG00000170606,Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2),Cytoplasm,,,2.509,2.046,2.509,11642,4944,-0.294,HALLMARK,mTORC1 Signaling,True
