gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
HCAR2,,,no,True,ENSG00000182782,Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor),Cell membrane,epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell,,0.629,1.072,1.072,2918,2592,0.77
HCAR3,,,no,True,ENSG00000255398,Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2),Cell membrane,stem cell of epidermis;epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell;basophil,,0.314,0.422,0.422,1456,1019,0.426
HSPB8,,,no,True,ENSG00000152137,Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Protein kinase H11) (Small stress protein-like protein HSP22),Cytoplasm,pancreatic D cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;slow muscle cell;syncytiotrophoblast cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,2.574,1.946,2.574,11946,4704,-0.403
ICAM1,,,no,True,ENSG00000090339,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),Membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;type I pneumocyte;medullary thymic epithelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree,ICAM,1.178,1.086,1.178,5468,2624,-0.118
IRF1,,,no,True,ENSG00000125347,Interferon regulatory factor 1 (IRF-1),Nucleus,"vasa recta ascending limb cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;gut endothelial cell;surface ectodermal cell;IgG-negative class switched memory B cell;mature alpha-beta T cell;mucosal invariant T cell;CD16-negative, CD56-bright natural killer cell, human;group 2 innate lymphoid cell, human",,8.914,10.206,10.206,41368,24666,0.195
KRT14,,,no,False,,,,,,11.92,8.983,11.92,55319,21712,-0.408
LTBR,,,no,True,ENSG00000111321,Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III),Membrane,,LT;LIGHT,2.855,3.281,3.281,13250,7930,0.201
LY75,,,no,True,ENSG00000054219,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),Membrane,epithelial cell of thymus,,8.255,4.299,8.255,38312,10391,-0.941
MAP3K14,,,no,True,ENSG00000006062,Mitogen-activated protein kinase kinase kinase 14,Cytoplasm,,,2.2,1.412,2.2,10212,3412,-0.64
NFKB2,,,no,True,ENSG00000077150,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10),Nucleus;Cytoplasm,medullary thymic epithelial cell;IgG memory B cell;group 2 innate lymphoid cell,,4.79,5.174,5.174,22228,12504,0.111
PAX1,,,no,True,ENSG00000125813,Paired box protein Pax-1 (HuP48),Nucleus,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,6.094,5.692,6.094,28282,13758,-0.098
PDPN,,,no,True,ENSG00000162493,Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A),Cytoplasm,mesothelial cell of pleura;medullary thymic epithelial cell;endothelial cell of lymphatic vessel;connective tissue cell;fibroblast;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,,1.493,1.336,1.493,6928,3229,-0.16
PLTP,,,no,True,ENSG00000100979,Phospholipid transfer protein (Lipid transfer protein II),Secreted,ciliated epithelial cell;multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;endosteal cell;alternatively activated macrophage;Hofbauer cell;keratocyte,,6.705,5.342,6.705,31116,12910,-0.328
PRSS16,,,no,True,ENSG00000112812,Thymus-specific serine protease,Cytoplasmic vesicle,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,8.255,0.916,8.255,38312,2213,-3.172
RELB,,,no,True,ENSG00000104856,Transcription factor RelB (I-Rel),Nucleus,luminal epithelial cell of mammary gland;medullary thymic epithelial cell;follicular dendritic cell;fibroblast of mammary gland,,1.712,1.957,1.957,7944,4729,0.193
SIX1,,,no,True,ENSG00000126778,Homeobox protein SIX1 (Sine oculis homeobox homolog 1),Nucleus,brush cell of trachebronchial tree;brush cell of bronchus;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,1.086,1.547,1.547,5038,3740,0.511
SPIB,,,no,True,ENSG00000269404,Transcription factor Spi-B,Cytoplasm,"paneth cell;paneth cell of colon;brush cell;intestinal tuft cell;tuft cell of colon;M cell of gut;microfold cell of epithelium of small intestine;follicular dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;IgG memory B cell;germinal center B cell;small pre-B-II cell;common dendritic progenitor",,1.097,0.7,1.097,5089,1693,-0.647
THY1,,,no,True,ENSG00000154096,Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90),Cell membrane,glioblast;Schwann cell precursor;interstitial cell of Cajal;pancreatic D cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;neuron;glycinergic neuron,THY1;ADGRE,1.359,1.66,1.66,6305,4012,0.289
TNFAIP3,,,no,False,,,,,,8.128,3.275,8.128,37722,7915,-1.311
TNFRSF11A,,,no,True,ENSG00000141655,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Cell membrane,,RANKL,1.294,0.871,1.294,6005,2106,-0.57
TNFRSF1A,,,no,True,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Cell membrane,mesothelial cell of pleura;follicular dendritic cell,TNF;LT,3.164,3.399,3.399,14684,8216,0.104
TRIB1,,,no,True,ENSG00000173334,Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1),,skeletal muscle satellite stem cell;ileal goblet cell;medullary thymic epithelial cell;skeletal muscle satellite cell;IgA plasma cell,,0.408,0.384,0.408,1894,928,-0.088
UBD,,,no,True,ENSG00000213886,Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10),Nucleus,lung goblet cell;medullary thymic epithelial cell;follicular dendritic cell,,2.794,1.026,2.794,12965,2479,-1.446
VCAM1,,,no,True,ENSG00000162692,Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106),Secreted,vasa recta ascending limb cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;follicular dendritic cell;connective tissue cell;fibroblast;fibroblast of lung;mesothelial fibroblast,VCAM,3.646,1.896,3.646,16920,4582,-0.943
ZC3H12A,,,no,True,ENSG00000163874,Endoribonuclease ZC3H12A,Nucleus,medullary thymic epithelial cell,,1.855,1.685,1.855,8610,4072,-0.139
