gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
PML,,,no,ENSG00000140464,Protein PML (E3 SUMO-protein ligase PML),Nucleus;Nucleus,,,4.727,4.195,4.727,21939,10139,-0.172,KEGG,Ubiquitin mediated proteolysis,True
PRKN,,,no,ENSG00000185345,E3 ubiquitin-protein ligase parkin (Parkin),Cytoplasm,regular atrial cardiac myocyte;regular ventricular cardiac myocyte,,0.185,0.186,0.186,860,449,0.004,KEGG,Ubiquitin mediated proteolysis,True
PRPF19,,,no,ENSG00000110107,Pre-mRNA-processing factor 19,Nucleus,,,2.192,1.845,2.192,10171,4458,-0.249,KEGG,Ubiquitin mediated proteolysis,True
RBX1,,,no,ENSG00000100387,E3 ubiquitin-protein ligase RBX1,Cytoplasm,erythroid lineage cell,,1.086,0.684,1.086,5040,1653,-0.667,KEGG,Ubiquitin mediated proteolysis,True
SIAH1,,,no,ENSG00000196470,E3 ubiquitin-protein ligase SIAH1,Cytoplasm;Nucleus,syncytiotrophoblast cell,,2.241,1.824,2.241,10399,4409,-0.297,KEGG,Ubiquitin mediated proteolysis,True
SKP1,,,no,ENSG00000113558,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),,sperm,,3.057,3.406,3.406,14187,8232,0.156,KEGG,Ubiquitin mediated proteolysis,True
SKP2,,,no,ENSG00000145604,S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/LRR-repeat protein 1) (p45skp2),Cytoplasm,,,1.436,1.32,1.436,6664,3191,-0.121,KEGG,Ubiquitin mediated proteolysis,True
SMURF1,,,no,ENSG00000198742,E3 ubiquitin-protein ligase SMURF1 (hSMURF1),Cytoplasm,,,4.224,3.159,4.224,19604,7636,-0.419,KEGG,Ubiquitin mediated proteolysis,True
SMURF2,,,no,ENSG00000108854,E3 ubiquitin-protein ligase SMURF2 (hSMURF2),Nucleus,,,2.986,3.82,3.82,13856,9232,0.355,KEGG,Ubiquitin mediated proteolysis,True
SOCS1,,,no,ENSG00000185338,Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3),Nucleus,"intestinal crypt stem cell of large intestine;epithelial cell of thymus;basophil;mast cell;mucosal type mast cell;T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;DN1 thymic pro-T cell",,4.789,2.159,4.789,22226,5219,-1.149,KEGG,Ubiquitin mediated proteolysis,False
SOCS3,,,no,ENSG00000184557,Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3),,mesenchymal stem cell;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;gut endothelial cell;endothelial cell of uterus;tongue muscle cell;decidual cell;myofibroblast cell;tendon cell,,2.437,4.266,4.266,11309,10311,0.808,KEGG,Ubiquitin mediated proteolysis,False
STUB1,,,no,ENSG00000103266,E3 ubiquitin-protein ligase CHIP,Cytoplasm,,,7.582,4.279,7.582,35187,10343,-0.825,KEGG,Ubiquitin mediated proteolysis,True
