gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
EIF1B,,,no,True,ENSG00000114784,Eukaryotic translation initiation factor 1b (eIF1b) (Protein translation factor SUI1 homolog GC20),,pancreatic epsilon cell;intestinal tuft cell;tuft cell of colon;enucleated reticulocyte,,2.384,2.631,2.631,11064,6358,0.142
EIF3C,,,no,True,ENSG00000184110,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),Cytoplasm,basal cell of epithelium of trachea;lung neuroendocrine cell,,22.666,17.413,22.666,105189,42085,-0.38
EPCAM,,,no,True,ENSG00000119888,Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),Lateral cell membrane,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;ciliated cell of the bronchus;lung neuroendocrine cell;type I pneumocyte;type II pneumocyte;pulmonary ionocyte;ileal goblet cell;paneth cell of colon;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of large intestine;epithelial cell of small intestine;club cell;basal epithelial cell of tracheobronchial tree;erythroid lineage cell;transit amplifying cell of colon;transit amplifying cell of small intestine;lung ciliated cell,,1.555,1.083,1.555,7218,2617,-0.522
EPS8L3,,,no,True,ENSG00000198758,Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3),Cytoplasm,enterocyte of epithelium of small intestine;brush cell;intestinal tuft cell;intestinal epithelial cell;epithelial cell of large intestine;epithelial cell of small intestine,,0.09,0.061,0.09,420,148,-0.564
EYA1,,,no,True,ENSG00000104313,Eyes absent homolog 1,Cytoplasm,ependymal cell;neuroendocrine cell;chromaffin cell,,3.405,2.692,3.405,15803,6507,-0.339
FAM131C,,,no,True,ENSG00000185519,Protein FAM131C,,pulmonary ionocyte;ionocyte,,0.259,0.193,0.259,1201,467,-0.421
FEV,,,no,True,ENSG00000163497,Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1),Nucleus,neuroendocrine cell;chromaffin cell;type EC enteroendocrine cell;pancreatic A cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon,,0.054,0.06,0.06,250,146,0.165
FOLR1,,,no,True,ENSG00000110195,"Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)",Cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;pulmonary ionocyte;fallopian tube secretory epithelial cell;club cell;placental villous trophoblast;syncytiotrophoblast cell;kidney collecting duct cell;tracheobronchial serous cell;lung secretory cell,,0.06,0.082,0.082,279,198,0.446
FOXA2,,,no,True,ENSG00000125798,Hepatocyte nuclear factor 3-beta (HNF-3-beta) (HNF-3B) (Forkhead box protein A2) (Transcription factor 3B) (TCF-3B),Nucleus,lung neuroendocrine cell;pancreatic PP cell;large intestine goblet cell;colon goblet cell;PP cell,,0.056,0.127,0.127,262,306,1.165
FOXI1,,,no,True,ENSG00000168269,Forkhead box protein I1 (Forkhead-related protein FKHL10) (Forkhead-related transcription factor 6) (FREAC-6) (Hepatocyte nuclear factor 3 forkhead homolog 3) (HFH-3) (HNF-3/fork-head homolog 3),Nucleus,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;ionocyte,,0.161,0.09,0.161,748,218,-0.837
FOXP4,,,no,True,ENSG00000137166,Forkhead box protein P4 (Fork head-related protein-like A),Nucleus,lung neuroendocrine cell,,3.351,2.17,3.351,15554,5244,-0.627
FURIN,,,no,True,ENSG00000140564,Furin,Golgi apparatus,acinar cell of salivary gland;brush cell;intestinal tuft cell;tuft cell of colon,,4.439,2.598,4.439,20601,6279,-0.773
GABRB2,,,no,True,ENSG00000145864,Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2),Postsynaptic cell membrane,pulmonary ionocyte;ionocyte;neural cell;neuron;inhibitory interneuron;granule cell;cerebellar granule cell;Purkinje cell;GABAergic neuron,,0.042,0.054,0.054,197,131,0.353
GABRP,,,no,True,ENSG00000094755,Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi),Postsynaptic cell membrane,respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;lung goblet cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;brush cell;intestinal tuft cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,0.974,0.657,0.974,4518,1588,-0.567
GAP43,,,no,True,ENSG00000172020,Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46),Cell membrane,neuroendocrine cell;chromaffin cell;group 2 innate lymphoid cell;enteric neuron;ganglion interneuron;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;visceromotor neuron;glutamatergic neuron;peripheral nervous system neuron,,0.056,0.098,0.098,262,236,0.79
GNAT3,,,no,True,ENSG00000214415,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain),Cytoplasm,brush cell;intestinal tuft cell,,0.073,0.122,0.122,338,296,0.75
GRIA1,,,no,True,ENSG00000155511,"Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)",Cell membrane,neuroendocrine cell;chromaffin cell;neural cell;astrocyte;Bergmann glial cell;neuron;interneuron;bipolar neuron;inhibitory interneuron;Purkinje cell;visceromotor neuron;GABAergic neuron;glutamatergic neuron;alveolar type 2 fibroblast cell,Glutamate,0.033,0.048,0.048,151,117,0.573
GRK5,,,no,True,ENSG00000198873,G protein-coupled receptor kinase 5,Cytoplasm;Nucleus;Cell membrane,cortical cell of adrenal gland;intestinal tuft cell;smooth muscle myoblast;hepatic stellate cell;fibroblast of cardiac tissue;pericyte;fibro/adipogenic progenitor cell,,2.008,1.962,2.008,9317,4741,-0.033
GRP,,,no,True,ENSG00000134443,Gastrin-releasing peptide (GRP),Secreted,stem cell;basal cell;neuroendocrine cell;lung neuroendocrine cell;enteric neuron,GPR;GRP,0.039,0.076,0.076,180,183,0.965
H19,,,no,True,ENSG00000130600,,,hepatoblast;skeletal muscle satellite stem cell;neuroendocrine cell;chromaffin cell;mesothelial cell of pleura;mesothelial cell of visceral pleura;taste receptor cell;glandular epithelial cell;acinar cell;cortical cell of adrenal gland;granulosa cell;club cell;ovarian surface epithelial cell;tongue muscle cell;skeletal muscle satellite cell;trophoblast giant cell;sympathetic neuron;stromal cell;stromal cell of ovary;interstitial cell of ovary;mesangial cell;mesenchymal cell,,3.579,3.423,3.579,16612,8274,-0.064
HCK,,,no,True,ENSG00000101336,Tyrosine-protein kinase HCK,Cell membrane,"brush cell;intestinal tuft cell;tuft cell of colon;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",,2.646,2.512,2.646,12279,6072,-0.075
HES6,,,no,True,ENSG00000144485,Transcription cofactor HES-6 (C-HAIRY1) (Class B basic helix-loop-helix protein 41) (bHLHb41) (Hairy and enhancer of split 6),Nucleus,lung neuroendocrine cell;intestine goblet cell;colon goblet cell;small intestine goblet cell;paneth cell;brush cell of trachebronchial tree;brush cell of trachea;brush cell of bronchus;forebrain radial glial cell;neural progenitor cell,,0.702,0.718,0.718,3259,1735,0.032
