gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
FZR1,,,no,ENSG00000105325,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),Cytoplasm,,,4.495,5.923,5.923,20859,14316,0.398,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
HERC2,,,no,ENSG00000128731,E3 ubiquitin-protein ligase HERC2,Cytoplasm;Cytoplasm,,,5.42,5.615,5.615,25156,13570,0.051,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
HERC6,,,no,ENSG00000138642,Probable E3 ubiquitin-protein ligase HERC6,Cytoplasm,"activated CD4-positive, alpha-beta T cell, human",,3.26,2.621,3.26,15131,6335,-0.315,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
HUWE1,,,no,ENSG00000086758,E3 ubiquitin-protein ligase HUWE1,Cytoplasm,Sertoli cell,,6.666,6.033,6.666,30938,14580,-0.144,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
IKBKB,,,no,ENSG00000104365,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB),Cytoplasm,,,6.533,5.319,6.533,30318,12855,-0.297,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
IKBKG,,,no,ENSG00000269335,NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier),Cytoplasm,,,5.586,2.413,5.586,25926,5831,-1.211,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ITCH,,,no,ENSG00000078747,E3 ubiquitin-protein ligase Itchy homolog (Itch),Cell membrane,preadipocyte,,5.147,4.62,5.147,23887,11167,-0.156,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ITGAV,,,no,ENSG00000138448,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51),Cell membrane,pigmented ciliary epithelial cell;type B pancreatic cell;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell,NRG;IGF;SPP1;ANGPTL;PTN;PERIOSTIN;COLLAGEN;FN1;LAMININ;THBS;VTN;TENASCIN;DSPP;VWF;BSP;DMP1;CD23;JAM;L1CAM;THY1;ADGRA;ADGRB;ADGRE;MMP,1.289,1.144,1.289,5982,2765,-0.172,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
ITGB5,,,no,ENSG00000082781,Integrin beta-5,Cell membrane,,SPP1;PERIOSTIN;VTN;BSP;ADGRB,4.185,2.55,4.185,19424,6162,-0.715,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
KEAP1,,,no,ENSG00000079999,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),Cytoplasm,,,1.359,0.725,1.359,6306,1752,-0.906,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
KLHL13,,,no,ENSG00000003096,Kelch-like protein 13 (BTB and kelch domain-containing protein 2),,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney cortex tubule cell;kidney loop of Henle epithelial cell;mesangial cell,,0.26,0.292,0.292,1205,705,0.168,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
LY96,,,no,ENSG00000154589,Lymphocyte antigen 96 (Ly-96) (ESOP-1) (Protein MD-2),Secreted,macrophage;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;IgA plasma cell,,1.93,1.815,1.93,8956,4387,-0.088,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
MRC1,,,no,ENSG00000260314,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),Endosome membrane,endothelial cell of lymphatic vessel;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;Kupffer cell;alveolar macrophage;microglial cell;colon macrophage;lung macrophage;Hofbauer cell;mononuclear phagocyte;surface ectodermal cell;professional antigen presenting cell;immature innate lymphoid cell,CD45,3.535,2.99,3.535,16406,7226,-0.242,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
MRC2,,,no,ENSG00000011028,C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280),Membrane,endosteal cell;preosteoblast;connective tissue cell;fibroblast;keratocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;osteoblast;tendon cell,,2.601,2.598,2.601,12069,6278,-0.002,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
MYD88,,,no,ENSG00000172936,Myeloid differentiation primary response protein MyD88,Cytoplasm,dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;non-classical monocyte,,3.966,3.207,3.966,18406,7750,-0.307,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
MYLIP,,,no,ENSG00000007944,E3 ubiquitin-protein ligase MYLIP,Cytoplasm,T-helper 1 cell,,1.076,1.054,1.076,4994,2548,-0.03,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
NCF1,,,no,ENSG00000158517,Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox),Cytoplasm,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;immature neutrophil;leukocyte;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;mature B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;plasmablast;myeloid leukocyte;monocyte;CD14-positive monocyte;B cell;immature B cell;small pre-B-II cell;pre-B-I cell;myelocyte",,7.028,5.147,7.028,32617,12440,-0.449,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
NCF2,,,no,ENSG00000116701,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),Cytoplasm,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",,1.758,1.886,1.886,8158,4559,0.102,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
NCF4,,,no,ENSG00000100365,Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (SH3 and PX domain-containing protein 4) (p40-phox) (p40phox),Cytoplasm,colon macrophage;Hofbauer cell;hematopoietic cell;granulocyte;eosinophil;neutrophil;leukocyte;intermediate monocyte;basophil mast progenitor cell;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,2.183,1.483,2.183,10132,3585,-0.558,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
NEDD4,,,no,ENSG00000069869,E3 ubiquitin-protein ligase NEDD4,Cytoplasm,skeletal muscle fiber;slow muscle cell;fast muscle cell;cell of skeletal muscle,,1.495,1.057,1.495,6936,2554,-0.5,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
NEDD4L,,,no,ENSG00000049759,E3 ubiquitin-protein ligase NEDD4-like,Cytoplasm,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;luminal cell of prostate epithelium;retinal pigment epithelial cell;papillary tips cell;lung secretory cell,,0.577,0.422,0.577,2679,1020,-0.452,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PDIA3,,,no,ENSG00000167004,Protein disulfide-isomerase A3,Endoplasmic reticulum,preosteoblast;serous cell of epithelium of trachea;serous cell of epithelium of bronchus;lung secretory cell,,8.388,7.012,8.388,38929,16948,-0.258,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
